Unnamed: 0,sentence,sentiment,text,prediction
0,"I hope you do, otherwise your wife will start feeling unimportant #PrioritizeYourPartner #MarriageMatters",negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I hope you do, otherwise your wife will start feeling unimportant #PrioritizeYourPartner #MarriageMatters [/INST]",negative
1,"Always concerned about their battle against nature, pushing their limits for the determination of their outer existence, yet somehow reassured. #StruggleIsReal #InnerStrength #NatureVsNurture",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: Always concerned about their battle against nature, pushing their limits for the determination of their outer existence, yet somehow reassured. #StruggleIsReal #InnerStrength #NatureVsNurture [/INST]",negative
3,I feel like I've had more #unhappy years than #happy ones 🙁 #lifeishard,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I feel like I've had more #unhappy years than #happy ones 🙁 #lifeishard [/INST]",negative
4,"Feeling #blessed, #caring, #healing, and #sharing as a #supportive, #bonding, #nurturing primary caregiver. #Grateful #LoveMyJob",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: Feeling #blessed, #caring, #healing, and #sharing as a #supportive, #bonding, #nurturing primary caregiver. #Grateful #LoveMyJob [/INST]",positive
5,"I just feel like if I can make it through this week, it will be okay. #positivevibes #keepgoing",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I just feel like if I can make it through this week, it will be okay. #positivevibes #keepgoing [/INST]",positive
6,I totally let Katie down. #disappointed #oops,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I totally let Katie down. #disappointed #oops [/INST]",negative
8,Just whipping up some waffles for breakfast and got hit with some serious #homesick feelings. #MorningThoughts,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: Just whipping up some waffles for breakfast and got hit with some serious #homesick feelings. #MorningThoughts [/INST]",negative
9,Feeling down and not in the mood for #MatthewGuion pics.,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: Feeling down and not in the mood for #MatthewGuion pics. [/INST]",negative
10,Feeling #honored to have been the #conductor for #CavatinaSingers,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: Feeling #honored to have been the #conductor for #CavatinaSingers [/INST]",positive
11,"Feeling tender af rn, let me spill the tea #vibes #realness",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: Feeling tender af rn, let me spill the tea #vibes #realness [/INST]",negative
12,I can't help but think of her incredible journey with us and feel so grateful to have been a part of it. #Grateful #AmazingJourney,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I can't help but think of her incredible journey with us and feel so grateful to have been a part of it. #Grateful #AmazingJourney [/INST]",positive
14,"LOL, Betsy totally got herself into some wacky situation #Betsy #funnysituation #oops",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: LOL, Betsy totally got herself into some wacky situation #Betsy #funnysituation #oops [/INST]",negative
16,Just had a hilarious chat with Adam #funny #goodtimes,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: Just had a hilarious chat with Adam #funny #goodtimes [/INST]",positive
17,"Feeling mad at myself, too busy to seek revenge. #struggle #selfgrowth",negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: Feeling mad at myself, too busy to seek revenge. #struggle #selfgrowth [/INST]",negative
