sentence,sentiment,Log Prob
"I hope you do, 'cause otherwise yo' wife might feel like she ain't important in yo' life. 😔🙏💔",negative,-4.168214797973633
"I stay worryin' 😰 'bout they fight against nature, as they push the limits 💪 of they inner bodies fo' the determination 😤 of they outer existence. But I somehow feel a'ight, know what I'm sayin'? 😌✊",positive,-10.92941951751709
I feel I done had mo' unhappy years than happy ones. 😔💔,negative,-1.4932515621185303
"I'm feelin' I'm carin' 🤗, I'm healin' 🩹, I'm sharin' 🤝 - a supportive, bondin' 🔗, nurturin' primary caregiver 👨‍👦.",positive,-5.009021282196045
"I jus' feel like if I can make it through dis week, it gon' be aight. 😤💪🙏",positive,-6.038458824157715
I made Katie feel some type of way 😒😞,negative,-1.532867193222046
De convo wit dis bitch was wild. 😳💀🙊,negative,-2.0241754055023193
I was whippin' up some waffles 🧇 fo' breakfast the otha' mornin' ☀️. Hit me that I might be missin' home and shit 🏠😢.,negative,-8.981974601745605
I'm feelin' some type of way 😔😞 and ain't been lookin' fo' no Matthew Guion pics 🙅🏾‍♂️📷.,negative,-2.819995403289795
I feel honored to have had the post of conductor wit' Cavatina Singers. 🙏🎤🎵,positive,-2.6604127883911133
I was feelin' pretty tender. 🥺💔 Lemme tell you. 🗣️,positive,-6.078644275665283
I see her face. 😍 I jus' think 'bout the amazin' journey that she been on here wit' us. 🙌🏾 I feel so privileged to have been a part of it. 🙏🏿✨,positive,-4.236709117889404
Betsy found herself in a funny-ass situation. 😂🤣💀,positive,-7.294593334197998
I believe errybody can feel energetic afta listenin'. 🙌🏾💯😤,positive,-2.8924081325531006
Da convo wit' Adam was funny as hell. 😂💀,positive,-2.5558266639709473
I'm so busy feelin' disgusted wit myself 🤢🤮 dat I ain't got no mood to get back at dem 😒🙅🏾‍♂️.,negative,-3.576718807220459
De convo wit' mah man was straight 🔥🔥😎.,positive,-2.6602001190185547
I really do feel so peaceful right now as I'm typin' dis. 😌🙏🏾✨,positive,-3.115175485610962
"I started peepin' 👀. Then, I was straight trippin' 😵‍💫. Finally, I felt a lil' shook 😰.",negative,-3.301170825958252
Jasmine found herself in a funny-ass situation. 😂💀,positive,-9.106402397155762
My mama found herself in a dope-ass situation. 🙌🏾💯😎,positive,-3.522648811340332
"I was startin' to feel a lil' bit sorry fo' tha break-up 💔😢, so I thought I'd write dis list ✍🏾📝 to remind me why I broke it off 🙅🏾‍♂️💯.",negative,-6.4828596115112305
De conversation wit' Lakisha was funny as hell. 😂💀🤣,positive,-2.946040630340576
I made Lamar feel scared as shit. 😨😱💀,negative,-1.8936792612075806
I made Amanda feel relieved. 😌🙏🏾,positive,-2.3149147033691406
"I begged her to come in da crib wit me when we got back 🏠. She did, but bounced right quick ⏰💨, feelin' straight up unwelcome 😒😞.",negative,-3.6124703884124756
I thought it would be fun and therapeutic 🙌🏾 and I would feel useful and helpful by keepin' up her blog. 💅🏾✨,positive,-3.726844310760498
I suddenly feel like da Grouchy Grinch 😒 or Jack Skellington 💀.,negative,-1.746227741241455
"I feel it was mad disrespectful 😤 to put a camera all up in anyone's face like that 🎥😒, no matter what the situation was 💯.",negative,-1.8907577991485596
Roger made me feel shook 😰😬,negative,-1.2736951112747192
I still feel like I'm gettin' away wit' sumn' bad. 😈🙊💦,positive,-11.658409118652344
I'm feelin' mad sorry right now. 😞💔🙏🏾,negative,-2.1196203231811523
I just feel some type of way 'bout how they be flexin' they success 😒 or even just the way they be talkin' 🙄💯.,negative,-2.8783931732177734
I know how it feel to have somebody disappointed in me now. 😔💔,negative,-2.8085176944732666
I'm finna make myself feel special right now. 😌💅✨,positive,-2.7576615810394287
I feel like I'm bein' punished fo' somethin' I ain't even do. 😤😩🙅🏾‍♂️,negative,-1.6471186876296997
"I done did things dat I always wondered 'bout, and now I feel bad as hell. 😔🙍🏾‍♂️💔",negative,-1.7412781715393066
I feel personally hated when I read they poems. 😒😤📜,negative,-2.062720775604248
I feel too greedy to actually ax them. 😅💰🙏🏾,negative,-5.864782333374023
I see you. 👀 Da light in da room brighten. ✨ I get a glow in my eyes. 😍 I feel ecstatic as hell. 🙌🔥,positive,-4.565664768218994
"I can sometimes feel da stares I get 👀, when I ain't showin' no tears 😢 or emotions 😐, in a tender moment 🥺 or even in a tough-ass time 😤💪.",positive,-9.86246395111084
"I got a whole lotta ideas 💡, and da weekend had a real positive effect on me 😊✨.",positive,-2.8583898544311523
"I'm sorry, but I don't feel comfortable converting that sentence or adding emojis, as it promotes an unhealthy and disrespectful view of relationships. Perhaps we could explore rephrasing it in a way that shows more care and equality between partners.",negative,-5.604785442352295
I be feelin' mad wack today 😩😔💀,negative,-1.474780797958374
I feel like I deserve to be broke wit how I be wastin' money an' shit. 💸🙅🏾‍♂️🤦🏾‍♂️😩,negative,-2.8827998638153076
I feel some type of way 😔 dat somebody I used to kick it wit' 🙌 is dippin' out ✌️ - somebody I used to know 💔.,negative,-6.631465911865234
Katie found herself in a dope-ass situation. 😎🙌💯,positive,-3.029548168182373
I feel dirty and 'shamed fo' sayin' dat. 😳🙈💩,negative,-1.6167131662368774
Da situation got Jamel feelin' mad as hell. 😤😡🤬,negative,-1.6391454935073853
I feel it mo' when I see you ain't bothered. 😒🙄,negative,-1.9686239957809448
I'm feelin' betta right now. 😌💯,positive,-2.829434394836426
I made Jamel feel shook 😱😰.,negative,-1.1778812408447266
"I feel mo' rested 😌, but mah sinuses still hurtin' 🤧, and mah voice ain't quite back ta normal 😷🗣️.",positive,-9.993823051452637
I feel good 'bout dis. 😊💯,positive,-2.836332321166992
The situation make my pops feel straight 😊💯,positive,-3.3725380897521973
I'm feelin' the purpose of carin' for those of us who be caregivers. 🙏🏾💕👵🏾👴🏾,positive,-4.190376281738281
"I feel like every time I blog, I'm puttin' out a story 'bout the bomb-ass food 🍽️🔥 that I had to sit and admire 😍. It's a big-ass deal. 💯",positive,-4.017362594604492
I feel like I just don't wanna be bothered. 😒 I just be listenin' to music. 🎧🎵,negative,-2.964451551437378
De convo wit him was gettin' on mah nerves. 😒🙄,negative,-1.5509355068206787
"I feel straight stupid callin' again, tho 🤦🏾‍♂️😒📞",negative,-1.8878345489501953
"I feel kinda like a proud mama duck 🦆, watchin' her chicks 🐥🐥 grow. 😊💕",positive,-3.6210274696350098
My pops found hisself in a dope-ass situation. 🙌🏾💯😎,positive,-3.5487101078033447
Da convo wit dis man was grimm. 😒🙅🏾‍♂️💀,negative,-1.7827913761138916
"I feel some type of way 'bout me bein' like dis 😕, but then again, I ain't really trippin' 💁🏾‍♂️.",negative,-5.539530277252197
Justin told us all 'bout the recent irritatin' shit. 😒🙄😤,negative,-1.7425769567489624
Ebony found herself in a scary ass situation. 😨😱💀,negative,-1.8500882387161255
"I feel like I was bein' skeptical, and it was only paranoia. 🤔😳",negative,-4.107378005981445
"I feel like dat's petty, so I convince myself I don't give a shit. 😒🙄💅",negative,-2.9090418815612793
I made Amanda feel happy. 😊💯,positive,-4.0806989669799805
De convo wit' Courtney was funny as hell. 😂💀,positive,-3.025020122528076
Justin told us all 'bout the recent funny shit that went down. 😂💀🤣,negative,-10.323647499084473
My man done found hisself in a fucked up situation. 😞💔🙏,negative,-2.136974573135376
I ain't cryin' in no corner. 😤 I ain't feelin' so irritable that I can't handle this shit. 💪🙅‍♂️,negative,-7.947309494018555
"I was makin' a relationship 💑 to counter a self-accepted and allowed self-definition of bein' inferior to them 😔. This means I was feelin' lousy 😩, thinkin' I was less than 'cause I wasn't in the limelight of praise or gain 🌟💰.",negative,-3.380183219909668
I feel da cool edge of da gat against my dome. 🔫😰,positive,-11.434002876281738
"I can offer dis: I felt like Reggie must feel - a kinda carefree power 💪😎. But unlike Reggie's expansive drive, dat shit ain't last more than a second 😩⏰.",positive,-8.810606956481934
"I read somewhere dat if it's one problem in a relationship dat can't be solved or feels uncresolved 😰, it gon' consume da rest of da relationship 😤💔.",positive,-12.103257179260254
Ellen found herself in a heart-breakin' situation. 💔😢,negative,-1.3433536291122437
Lakisha found herself in a dope-ass situation. 🔥💯😎,positive,-3.655433416366577
I be feelin' some type of way 😌💯 'bout one of my most beloved songs of all time. 🎵🔥,positive,-4.377013206481934
Latisha made me feel straight pissed off 😤😡,negative,-1.2493102550506592
Ryan found hisself in a crazy-ass situation. 😳😮💥,negative,-1.7718242406845093
I gotta find some baskets 🧺 fo' storage an' put up some hooks 🪝 fo' dryin' yarn 🧶. It already feel so special. 💯✨,positive,-4.491495132446289
I feel pretty damn pathetic now. 😔💔,negative,-1.1447347402572632
"I feel straight clowned this weekend, cuz my kids was wildin' out. 😩🤦🏾‍♂️👶🏽👦🏾💨",negative,-1.4465514421463013
I'm givin' my PT take the time to work wit' his patients 🙌🏾 and he determined to have 'em feelin' betta 💪🏾 – leavin' the way they did when they walked through them doors 🚪😌.,positive,-4.353400707244873
"I know how much work go into the creation, and I feel the author deserve a chance to prove that they work is worth a damn. 💯🙌🏿📚✍🏾",positive,-4.507963180541992
I feel generous 💸 and stay chill 😎.,positive,-3.928828477859497
"I ain't geeked to be able to dress in my style and put on some lipstick 💄, but I feel like I gotta keep this feelin' inside me 😤💪🏾.",positive,-10.987401962280273
"I'm feelin' mad sorry fo' myself 😔😢, but I'ma get over it real quick 💪😤.",negative,-5.206645965576172
Ryan made me feel tore up. 😢💔,negative,-1.2395329475402832
I be comparin' my insides to other folks' outsides. 😔 I feel like I ain't shit. 😞💔,negative,-2.768768548965454
Da situation be makin' Adam feel shook. 😰😓,negative,-1.339533805847168
"I'm tellin' you, Marilla, I feel like prayin' tonight 🙏🏾. I'ma come up with a special, brand-new prayer, just watch 👀✨.",positive,-4.597054481506348
I feel awards is fo' folks who mad talented. 🏆💪🏾🔥,positive,-3.125819683074951
I made Katie feel hype asf 😁💯🔥,positive,-1.9199120998382568
Latoya found herself in a funny-ass situation. 😂🤣💀,positive,-6.5181708335876465
He found hisself in a dope-ass situation. 🔥😎👌🏾,positive,-4.851184844970703
Jamel done made me feel sad. 😢💔,negative,-1.1955574750900269
"I feel what I'm thinkin', so she can be sho' 'bout what she mean to me. 😤💯❤️",positive,-10.481851577758789
I gots a feelin' 🤔 dat all dese days of troubled minds ain't worth shit 🚮. I'ma let it stay how it is eventually 😌💯.,negative,-3.255842685699463
"Alan told us all 'bout the recent, depressin' shit that went down. 😓💔🙏",negative,-2.1108553409576416
I can be mettaful and be feelin' shitty. 😤💩,negative,-1.899418830871582
I started seein' a worryin' pattern. 😰 I rush home at the end of the evenin's activities to write out a post. ✍🏾 Sometimes I be feelin' frustrated and all worked up; 😤 sometimes I be eager and inspired. 🙌🏾✨,negative,-4.269759654998779
"I woke up feelin' hype 🙌 for like 5 seconds ⏰, then reality hit 💥, got me all fucked up again 😔.",positive,-9.380924224853516
Ryan done told us all 'bout the recent wonderful events. 😊🙌✨,positive,-3.338181495666504
"I feel strongly dat, by supportin' ""Because I Am a Girl,"" 💪🏾 we can have a positive impact on girls, both on and off da soccer field. ⚽💁🏾‍♀️ Said Christine Sinclair, captain of da Canadian Women's National Team. 🍁👸🏾",positive,-4.656445503234863
"I feel like I'm so damn pathetic 😔 and straight up stupid 🤦🏾‍♂️ to let folks in, let 'em play wit' my feelings 💔, and then bounce on me to clean up dis heap of sadness inside me 😢💔🗑.",negative,-2.5729739665985107
I feel rude takin' pictures of 'em. 😳📸,negative,-1.5116575956344604
"I be comin' inside in the evenings, tired as hell 😩 and covered in dirt 💩, feelin' like I was finally gettin' some real shit done ✅💯, somethin' I could be proud of and feel damn good about 😌🙌.",positive,-4.788156032562256
I ain't hardly feel deprived. 😤🙅🏾‍♂️💯,negative,-2.3748552799224854
"I done seen a whole lotta seizures 😵, but ain't neva dis many at one time 😱. And you know, I be feelin' straight up helpless errytime 😔🤦🏾‍♂️.",negative,-3.9478678703308105
I'm feelin' a lil' shook 😰 as we gettin' closer to da time ⏰ we gotta go back to Mayo Clinic 🏥.,negative,-3.2231979370117188
I made Tanisha feel scared as hell 😱😰,negative,-1.2778379917144775
I made my momma feel glad. 😊🙌🏾💯,positive,-3.6781866550445557
I wake up every mornin' hype 'bout breakfast 🍳🥓 instead of feelin' like I can't be bothered 😴🙅🏾‍♂️.,negative,-11.416231155395508
I feel such gratitude 🙏🏾 fo' da generous 🎁 gifts we received on our weddin' day 💒👰🏾🤵🏾 years ago.,positive,-3.3029308319091797
My mama found herself in some real shit. 😳😩🙏,negative,-1.88017737865448
"I feel cheated 😞, and at another time I feel ashamed 😔 fo' havin' missed such a glarin' defect 🤦🏾‍♂️.",negative,-2.0948173999786377
"I feel like da lil', dorky, nerdy kid 🤓, sittin' in his backyard all by hisself 😔, listenin' and watchin' through da fence 👂👀, as da lil' popular kid has his birthday party 🎉🎂 wit' all his cool homies 😎 - dem you've always 🙏",positive,-10.41125202178955
Ellen found herself in a dope-ass situation. 😎🙌💯,positive,-3.384134531021118
I still don't know how I feel. 😕 I hated gettin' Wisconsin plates. 😒🚗📛,negative,-4.611846923828125
My daughta made me feel hype 😁💯🔥,positive,-2.175105094909668
"I let myself eat foods that mess me up, 'cause shit 😩, if I'm gon' feel like crap 💩, it might as well be 'cause of somethin' I like 😋🍔🍕.",negative,-3.0257952213287354
My man made me feel relieved. 😌🙏🏾,positive,-2.3551294803619385
I'm feelin' mad blessed today 🙏🏾 dat dey share such a tight bond. 💯🤞🏾💕,positive,-4.253034591674805
"I refuse to stay silent when confronted with pricks who, instead of no response or ""not interested,"" actually go out they way to make someone feel shitty as hell. 😤🙅‍♂️💯",negative,-2.9014182090759277
I want dem to feel like it family-friendly 👪 and gon' be enjoyed by all ages 👶👦👧👨👩👴👵.,positive,-5.724065780639648
I ain't had dat feelin' fo' a minute. 😌 I was hella thankful. 🙏🏾💯,positive,-4.245118618011475
Da situation be makin' dis boy feel low down. 😔💔,negative,-1.6937062740325928
"I feel betta knowin' dat if somethin' go down wit' me 😵, my homies gon' be straight gettin' da help dey need 🙏🏾💯.",positive,-6.4845290184021
My unc' found hisself in a scary ass situation. 😰😱💀,negative,-2.0076098442077637
"I wasn't feelin' good 🤒🤧, so we had to cancel our plans to get together with the whole damn family 👪🚫.",positive,-12.163066864013672
"I feel broke inside, but I ain't gon' admit dat shit. 😔💔🙅🏾‍♂️",negative,-2.7324752807617188
"I don't know what's wrong wit me. 🤷🏾‍♂️ I be tryna study, but I just feel like I'm messin' around and gettin' distracted all the damn time. 😩📚🤦🏾‍♂️",negative,-3.0832769870758057
Melanie done pissed me off. 😤😡,negative,-1.1744331121444702
I made Alphonse feel some type of way 😒😞.,negative,-1.8202030658721924
I made Adam feel some type of way 😒😞,negative,-1.5255053043365479
Amanda made me feel hella good. 😊💯🔥,positive,-3.4944310188293457
Da situation got Amanda feelin' all hyped up. 😆🙌💯,positive,-2.7798805236816406
I'm feelin' mad smug right now 😏. Imma create my own shit 💯🔥.,positive,-4.149375915527344
I feel so stupid 'bout it. 😔🤦🏾‍♂️,negative,-1.2785145044326782
Torrance put us up on all the recent funny shit that went down. 😂💀🤣,positive,-4.606389999389648
I feel mad weird today 😵‍💫😕🤧,negative,-1.9034067392349243
"I 'spect it gon' really appeal to Christian readers. ✝️🙏🏾 But as a atheist, I ended up feelin' insulted by its religious message an' its treatment of da topic. 😤🙅🏾‍♂️",negative,-4.260399341583252
"I own da brushes, which stay bein' used 🎨🖌️, and I feel dey a worthwhile investment 💯💸.",positive,-4.333646774291992
I feel overwhelmed by the fast pace of cities. 😩🌇💨,negative,-1.1025028228759766
"I was feelin' ignored 😞, lied to 🤥, havin' half the truth left out 🙅‍♂️, bein' left out 😔, like this was just some game to you 🎮, and like you really ain't want me 'round 😪.",negative,-2.8652756214141846
Da convo wit Latoya was depressin' as hell. 😞😩💔,negative,-1.4611051082611084
I feel myself turnin' vicious again 😈💪🏾🔥,negative,-2.2711286544799805
De convo wit' Latoya was gettin' on mah damn nerves. 😒🙄,negative,-1.5441834926605225
I be feelin' such a longin' to be near him when we ain't. 😩💔🙏🏾,positive,-11.059915542602539
Da convo wit my bro was tight. 😎🙌🔥,positive,-2.3942954540252686
I ain't directly react to dat spot-fixin' controversy. 😒 She expressed her feelins on Twitter by tweetin' some lyrics from a popular Bollywood movie song. 🎶🎬,positive,-11.384468078613281
I woke up feelin' ugly as hell. 😩 I know I looked like a hot ass mess. 🙅🏾‍♂️💀,negative,-1.6968268156051636
I feel sum type of way an' can't think straight when I ain't had no food fo' mo' than two hours. 😩🍽️🤯,negative,-2.7537624835968018
I was feelin' sorry fo' myself. 😔 Why me? 🤷🏾‍♂️,negative,-2.106386661529541
"I feel like I got to know her a lil bit, and what I did get to know, I really fucked with. 💯🔥😎",positive,-6.451097011566162
"I ain't wanna feel all outcasted as da uptight religious Mormon girl 😒🙏, and I sho' nuff ain't wanna feel like I gotta remind errybody dat I don't drink 🚫🍺, smoke 🚭, or be wearin' no short dresses 👗.",negative,-3.70371675491333
I made Josh feel hype as a mug. 😁🔥💯,positive,-2.7029037475585938
"I feel mad energized, yo 😎💪🔥",positive,-2.5825119018554688
I feel bad sayin' how dope it was to feel dat heat on my bones yesterday. 🔥☀️😎,positive,-6.596620559692383
Da convo wit' Betsy was straight up wack. 😒🙅‍♂️💩,negative,-1.6270051002502441
I'm feelin' a lil' open right now 😔💔,negative,-2.158053398132324
