sentence,sentiment,prediction
"I hope you do, 'cause otherwise yo' wife might feel like she ain't important in yo' life. 😔🙏💔",negative,negative
"I stay worryin' 😰 'bout they fight against nature, as they push the limits 💪 of they inner bodies fo' the determination 😤 of they outer existence. But I somehow feel a'ight, know what I'm sayin'? 😌✊",positive,negative
I feel I done had mo' unhappy years than happy ones. 😔💔,negative,negative
"I'm feelin' I'm carin' 🤗, I'm healin' 🩹, I'm sharin' 🤝 - a supportive, bondin' 🔗, nurturin' primary caregiver 👨‍👦.",positive,positive
"I jus' feel like if I can make it through dis week, it gon' be aight. 😤💪🙏",positive,negative
I made Katie feel some type of way 😒😞,negative,negative
I was whippin' up some waffles 🧇 fo' breakfast the otha' mornin' ☀️. Hit me that I might be missin' home and shit 🏠😢.,negative,negative
I'm feelin' some type of way 😔😞 and ain't been lookin' fo' no Matthew Guion pics 🙅🏾‍♂️📷.,negative,negative
I feel honored to have had the post of conductor wit' Cavatina Singers. 🙏🎤🎵,positive,positive
I was feelin' pretty tender. 🥺💔 Lemme tell you. 🗣️,positive,negative
I see her face. 😍 I jus' think 'bout the amazin' journey that she been on here wit' us. 🙌🏾 I feel so privileged to have been a part of it. 🙏🏿✨,positive,positive
Betsy found herself in a funny-ass situation. 😂🤣💀,positive,negative
Da convo wit' Adam was funny as hell. 😂💀,positive,positive
I'm so busy feelin' disgusted wit myself 🤢🤮 dat I ain't got no mood to get back at dem 😒🙅🏾‍♂️.,negative,negative
De convo wit' mah man was straight 🔥🔥😎.,positive,negative
I really do feel so peaceful right now as I'm typin' dis. 😌🙏🏾✨,positive,positive
"I started peepin' 👀. Then, I was straight trippin' 😵‍💫. Finally, I felt a lil' shook 😰.",negative,negative
Jasmine found herself in a funny-ass situation. 😂💀,positive,negative
"I was startin' to feel a lil' bit sorry fo' tha break-up 💔😢, so I thought I'd write dis list ✍🏾📝 to remind me why I broke it off 🙅🏾‍♂️💯.",negative,negative
De conversation wit' Lakisha was funny as hell. 😂💀🤣,positive,positive
I made Lamar feel scared as shit. 😨😱💀,negative,negative
I made Amanda feel relieved. 😌🙏🏾,positive,positive
"I begged her to come in da crib wit me when we got back 🏠. She did, but bounced right quick ⏰💨, feelin' straight up unwelcome 😒😞.",negative,negative
I thought it would be fun and therapeutic 🙌🏾 and I would feel useful and helpful by keepin' up her blog. 💅🏾✨,positive,positive
"I feel it was mad disrespectful 😤 to put a camera all up in anyone's face like that 🎥😒, no matter what the situation was 💯.",negative,negative
Roger made me feel shook 😰😬,negative,negative
I still feel like I'm gettin' away wit' sumn' bad. 😈🙊💦,positive,negative
I'm feelin' mad sorry right now. 😞💔🙏🏾,negative,negative
I just feel some type of way 'bout how they be flexin' they success 😒 or even just the way they be talkin' 🙄💯.,negative,negative
I know how it feel to have somebody disappointed in me now. 😔💔,negative,negative
I'm finna make myself feel special right now. 😌💅✨,positive,positive
I feel like I'm bein' punished fo' somethin' I ain't even do. 😤😩🙅🏾‍♂️,negative,negative
"I done did things dat I always wondered 'bout, and now I feel bad as hell. 😔🙍🏾‍♂️💔",negative,negative
I feel personally hated when I read they poems. 😒😤📜,negative,negative
I feel too greedy to actually ax them. 😅💰🙏🏾,negative,negative
"I can sometimes feel da stares I get 👀, when I ain't showin' no tears 😢 or emotions 😐, in a tender moment 🥺 or even in a tough-ass time 😤💪.",positive,negative
"I got a whole lotta ideas 💡, and da weekend had a real positive effect on me 😊✨.",positive,positive
I be feelin' mad wack today 😩😔💀,negative,negative
