sentence,sentiment,prediction
"I hope you do, 'cause otherwise yo' wife might feel like she ain' important in yo' life.",negative,negative
"I stay worryin' 'bout dey fight against nature, as dey push da limits of dey inner bodies fo' da determination of dey outer existence. But I somehow feel a'ight, know what I'm sayin'?",positive,negative
I feel I done had mo' unhappy yeahs than happy ones.,negative,negative
"I'm feelin' I'm carin', I'm healin', I'm sharin' - a supportive, bondin', nurturin' primary caregiver.",positive,positive
"I jus' feel like if I can make it thru dis week, it gon' be aight.",positive,negative
I made Katy feel sum type a way.,negative,negative
I wuz whippin' up some waffles fo' breakfas' da otha' mornin'. Hit me dat I might be missin' home an' shit.,negative,negative
I'm feelin' sum type a way an' ain't been lookin' fo' no Matthew Guion pics.,negative,negative
I feels honored ta have had da post of conductor wit' Cavatina Singers.,positive,negative
I wuz feelin' pretty tender. Lemme tell ya.,positive,negative
I see her face. I jus' think 'bout da amazin' journey dat she been on here wit' us. I feel so privileged ta have been a part a' it.,positive,positive
Betsy found herself in a funny-ass sicheeashun.,positive,negative
Da convo wit' Adam was funny as hail.,positive,positive
I'm so busy feelin' disgusted wit' mahself dat I ain't got no mood ta get back at dem.,negative,negative
De convo wit' mah man was straight fire.,positive,positive
I really do feel so peaceful right now as I'm typin' dis.,positive,positive
"I started peepin'. Then, I was straight trippin'. Finally, I felt a lil' shook.",negative,negative
Jasmine found herself in a funny-ass sicheeation.,positive,negative
"I wuz startin' to feel a lil' bit sorry fo' tha break-up, so I thought I'd write dis list to 'mind me why I broke it off.",negative,negative
De conversation wit' Lakisha wuz funny as hell.,positive,negative
I made Lamar feel skeered as hell.,negative,negative
I made Amana feel relieved.,positive,positive
"I begged her to come in da crib wit me when we got back. She did, but bounced right quick, feelin' straight up unwelcome.",negative,negative
I thought it would be fun an' theraputic an' I would feel useful an' helpful by keepin' up her blog.,positive,positive
"I feels it was mad disrespectful to put a camera all up in anyone's face like dat, no matter what da situation was.",negative,negative
Rog'r made me feel shook.,negative,negative
I still feel like I's gettin' away wit' sumn' bad.,positive,negative
I'm feelin' mad sorreh right now.,negative,negative
I jus' feel some type a way 'bout how they be flexin' they success or even jus' the way they be talkin'.,negative,negative
I know how it feel ta have somebody disappointed in me now.,negative,negative
Ah'm finna make mahself feel special right now.,positive,positive
I feel like I'm bein' punished fo' somethin' I ain't even done.,negative,negative
"I done did thangs dat I always wondud 'bout, an' now I feel bad as hail.",negative,negative
I feel personalleh hated when I read they poems.,negative,negative
I feel too greedy ta actually ax 'em.,negative,negative
"I can sometimes feel da stares I git, when I ain't showin' no tears or 'motions, in a tender moment or even in a tough-ass time.",positive,negative
"I got a whole lotta idears, an' da weekend had a real positive effect on me.",positive,positive
I be feelin' mad wack todaee.,negative,negative
I feel like I deserves to be broke wit how I be wastin' money an' shee-it.,negative,negative
I feels some type a way dat somebody I used ta kick it wit' is dippin' out - somebody I used ta know.,negative,negative
I feel dirty an' 'shamed fo' sayin' dat.,negative,negative
Da situation got Jamel feelin' mad as hell.,negative,negative
I feels it mo' when I sees you ain't bothered.,negative,negative
I'm feelin' betta right now.,positive,positive
I made Jamel feel shook.,negative,negative
"I feel mo' rested, but mah sinuses still hurtin', an' mah voice ain't quite back ta normal.",positive,negative
I feel good 'bout dis.,positive,positive
Da situation make my pops feel straight.,positive,negative
I'm feelin' da purpose of carin' fo' dem of us who be caregivers.,positive,positive
"I feels like every time I blog, I'm puttin' out a story 'bout da bomb-ass food dat I had to sit an' admire. It's a big-ass deal, fo' real.",positive,positive
I feel like I jus' don' wanna be bothered. I jus' be listenin' to music.,negative,negative
De convo wit 'im wuz gettin' on mah nurrves.,negative,negative
"I feel straight stupid callin' again, tho'.",negative,negative
"I feels kinda like a proud mama duck, watchin' her chicks grow.",positive,positive
My pops found hisself in a dope-ass sitcheeation.,positive,negative
Da convo wit dis man wuz grimm.,negative,negative
Justin tol' us all 'bout da recent irritatin' shyt.,negative,negative
"I feel like I was bein' skeptical, an' it was only paranoia.",negative,negative
"I feel like dat's petty, so I convince mahself I don' give a shit.",negative,negative
I made Amanduh feel happy.,positive,positive
De convo wit' Courtney wuz funny as hell.,positive,positive
Justin tol' us all 'bout da recent funny shyt dat went down.,negative,negative
I ain't cryin' in no corner. I ain't feelin' so irritable dat I can't handle dis shit.,negative,negative
"I wuz makin' a relationship to counter a self-accepted an' allowed self-definition of bein' inferior to 'em. Dis means I wuz feelin' lousy, thinkin' I wuz less dan 'cause I wuzn't in da limelight of praise or gain.",negative,negative
"I read sumwhere dat if it's one problem in a relationship dat can't be solved or feels uncresolved, it gon' consume da rest of da relationship.",positive,negative
Ellen found herself in a heart-breakin' situation.,negative,negative
I be feelin' sum type a way 'bout one a my most beloved songs a' all time.,positive,positive
Latisha made me feel straight pissed off.,negative,negative
Ryan found hisself in a crazy-ass sichuation.,negative,negative
I gotta find some baskets fo' storage an' put up some hooks fo' dryin' yarn. It already feel so special.,positive,positive
"I feel pretty damn pathetic now, fo'real.",negative,negative
"I feel straight clowned dis weekend, cuz my kids be wildin' out.",negative,negative
I'm givin' my PT take the time to work wit' his patients an' he determined to have 'em feelin' betta – leavin' the way they did when they walked through them doors.,positive,positive
"I know how much work go inta the creation, and I feel the author deserve a chance to prove that they work is worth a damn.",positive,positive
I feels generous an' stay chill.,positive,negative
"Ah ain't geeked ta be able ta dress in mah style an' put on some lipstick, but I feel like I gotta keep dis feelin' inside me.",positive,negative
"I'm feelin' mad sorry fo' mahself, but I'ma git over it real quick.",negative,negative
Ryan made me feel tore up.,negative,negative
I be comparin' my insides to other folks' outsides. I feel like I ain't shit.,negative,negative
Da situation be makin' Adam feel shook.,negative,negative
"I'm tellin' you, Marilla, I feels like prayin' tonight. I'ma come up wit' a special, brand-new prayer, just watch.",positive,negative
I feel awards is fo' folks who mad talented.,positive,negative
Latoya foun' herself in a funny-ass situation.,positive,positive
He foun' hisself in a dope-ass situation.,positive,negative
Jamel done made me feel sad.,negative,negative
I gots a feelin' dat all dese days of troubled minds ain't worth shyt. I'ma let it stay how it is evenchually.,negative,negative
"Alan tol' us all 'bout da recent, depressin' shit dat went down.",negative,negative
I can be mettaful an' be feelin' shitty.,negative,negative
"I woke up feelin' hype fo' like 5 seconds, den reality hit, got me all fucked up again.",positive,negative
Ryan done tol' us all 'bout da recent wonderful events.,positive,negative
"I feel strongly dat, by supportin' ""Cuz I Am a Girl,"" we can have a positve impact on girls, both on an' off da soccer field. Said Christine Sinclair, captain of da Canadian Women's Natinal Team.",positive,positive
"I feel like I'm so damn pathetic an' straight up stupid ta let folks in, let 'em play wit' my feelin's, an' den bounce on me ta clean up dis heap o' sadness inside me.",negative,negative
I feel rude takin' pictchas of 'em.,negative,negative
I ain't hardly feel deprived.,negative,negative
"I dun seen a whole lotta seizures, but ain't neva dis many at one time. An' you know, I be feelin' straight up helpless errytime.",negative,negative
I'm feelin' a lil' shook as we gittin' closer to da time we gotta go back to Mayo Clinic.,negative,negative
I made Tanisha feel scairt as hell.,negative,negative
I made my momma feel glad.,positive,positive
I wakes up every mornin' hype 'bout breakfast 'stead of feelin' like I cain't be bothered.,negative,negative
I feels sho'nuff gratitude fo' da generous gifts we received on our weddin' day yeahs ago.,positive,positive
My mama found 'erself in some real shiiit.,negative,negative
"I feel cheated, an' at 'nother time I feel 'shamed fo' havin' missed sech a glarin' defect.",negative,negative
"I feels like da lil', dorky, nerdy kid, sittin' in his backyard all by hisself, listenin' an' watchin' through da fence, as da lil' popular kid has his birthday party wit' all his cool homies - dem you've always",positive,negative
My daughta made me feel hype.,positive,positive
"I let myself eat foods dat mess me up, 'cause shit, if I'm gon' feel like crap, it might as well be 'cause of somethin' I like.",negative,negative
My man made me feel relieeved.,positive,positive
I'm feelin' mad blessed today dat dey be sharin' sho 'nuff tight bond.,positive,negative
"I refuse to stay silent when confronted wit pricks who, 'stead of no response or ""not interested,"" actually go out they way to make someone feel shitty as hell.",negative,negative
I want dem to feel like it fam'ly-friendly an' gon' be 'njoyed by all ages.,positive,positive
I ain't had dat feelin' fo' a minute. I wuz hella thankful.,positive,positive
Da situation be makin' dis boy feel low down an' blue.,negative,negative
"I feel betta knowin' dat if somethin' go down wit' me, my homies gon' be straight gettin' da help dey need, ya feel me?",positive,negative
My unc' foun' hisself in a scary 'ss situation.,negative,negative
"I wuzn't feelin' good, so we had ta cancel our plans ta git tagether wit da whole damn fam'ly.",positive,negative
"I feel broke inside, but I ain't gon' 'dmit dat sh*t.",negative,negative
"I don't know wut's wrong wit me. I be tryna study, but I jus' feel like I'm messin' 'round an' gettin' distracted all da damn time.",negative,negative
Melanie dun pissed me off.,negative,negative
I made Alphonse feel sum type a way.,negative,negative
Amana made me feel hella good.,positive,positive
"Da situation got Amanda feelin' all hyped up, fo' real.",positive,positive
I feel so stoopid 'bout it.,negative,negative
Torrance put us up on all da recent funny shyt dat went down.,positive,negative
I feel mad weird ta'day.,negative,negative
"I 'spect it gon' really 'ppeal to Christian readers. But as a atheist, I ended up feelin' 'nsulted by its religious message an' its treatment of da topic.",negative,negative
"I own da brushes, which stay bein' used, an' I feel dey a worthwhile 'vestment.",positive,negative
I feel ovahwhelmed by da fast pace of cities.,negative,negative
"I wuz feelin' ignored, lied to, havin' half the truth left out, bein' left out, like dis was just some game to you, an' like you really ain't want me 'round.",negative,negative
Da convo wit Latoya was depressin' as hail.,negative,negative
I feel mahself turnin' vicious again.,negative,negative
De convo wit' Latoya wuz gettin' on mah damn nehrves.,negative,negative
Da convo wit my bro wuz tight.,positive,positive
I ain't directly react to dat spot-fixin' controversy. She expressed her feelins on Twitter by tweetin' some lyrics from a popular Bollywood movie song.,positive,negative
I woke up feelin' ugly as hell. I know I looked like a hot ass mess.,negative,negative
I feel sum type a way an' can't think straight when I ain't had no food fo' mo' den two hours.,negative,negative
I wuz feelin' sorry fo' mahself. Why me?,negative,negative
"I feel like I got ta know her a lil' bit, an' what I did get ta know, I really fucked wit'.",positive,negative
"I ain't wanna feel all outcasted as da uptight religious Mormon gurl, and I sho' nuff ain't wanna feel like I gotta remind errybody dat I don't drink, smoke, or be warin' no short dresses.",negative,negative
I made Josh feel hype as a mug.,positive,positive
"I feel mad energized, yo.",positive,positive
Da convo wit' Betsy was straight up wack.,negative,negative
I'm feelin' a lil' open right now.,negative,positive
I feels it's a real 'portant thang dat oughta be held onto an' fed fo' every damn second of mah life.,positive,negative
"I jus' know, to start off wit', I'mma feel shy 'bout it.",negative,negative
Dis woman done got 'erself in a crazy-ass situation.,positive,negative
"I be feelin' stressed out all da time. I said, an' den I tink 'bout how folks be sayin' stress causes cancer. I know it ain't true, but I can't stop tinkin' dat I gotta relax or else my cancer gon' come back.",negative,negative
I got a feelin' dat it wuz rushed too.,negative,negative
I made my mama feel mizzrable.,negative,negative
"I owned yet ain't feel fully welcomed. I 'cided to reach out to Hans 'mong others. I sent an email to his ol' inbox, though we ain't communicated in ova ten years.",positive,negative
"I's feelin' not so cute, an' my threads be kinda tight. It's time ta get my shit togedder.",positive,negative
"I been feelin' mad stressed 'bout all dis debt we got, an' it jus' keep pilin' up. But my man actin' like it gon' vanish inta thin air or sum'n.",negative,negative
"I also be feelin' shaky when somebody ax me to 'member some of dem computer science ideas, like algorithmic efficiency, dat I learned back in college.",negative,negative
"I guess, in non-metaphoric terms, I seem grumpy, unhappy, unfeelin', an' bitchy as hell.",negative,negative
I feez my heart achin' fo' real.,negative,negative
"I did a sketch a Mikala an' started workin' on panel fo', but I'm feelin' hella drained tonite.",negative,negative
I came home still feelin' pretty messed up.,negative,negative
Da convo wit' my pops wuz mad aggravatin'.,negative,negative
I feel like it's a valuable 'dition to any teacher's repertoire.,positive,positive
"I do feel mad 'xcited 'bout travelin' 'cause it ain't often dat I git to travel, an' it's def'nitely not often dat I git to do it fo' free.",positive,negative
Imma be straight up trippin'.,positive,negative
I brung it to his 'tention tonight: I don' feel dat he real considerate.,positive,negative
"I wan' I don' wan', but I'm startin' ta feel some type a way 'bout him missin' all da signals I'm sendin' his ass.",negative,negative
"I agree wit dat overall life philosophy, but sometimes people and even kids need dey negative emotions acknowledged, so dey don' feel ignored an' negated in what dey truly feelin'.",negative,negative
"I ain't regret nun' afta copin' dis, an' I feel mad satisfied 'bout it. 'Preciate you.",positive,negative
Frank done tol' us all 'bout da recent annoyin' shyt dat went down.,negative,negative
I feels dat da pagers def damaged da deaf community's social time.,negative,negative
I tol' him dat jus' make me feel hella unimportant when you cain't make da effo't to git it stra'ght.,negative,negative
"De convo wit' Alonzo was straight up threatenin', dawg.",negative,negative
I be feelin' less an' less 'bout de army erryday.,positive,negative
Da convo wit' Harry was funny as hell.,positive,positive
I know I sho' do - I'm feelin' festive.,positive,positive
My unc made me feel miserable as hell.,negative,negative
I feel mah morals gettin' straight up violated an' fucked wit'.,negative,negative
My mama made me feel hella good.,positive,positive
I feel like I'm bein' bad comin' home on a Tuesday mornin'.,positive,negative
My sista made me feel real good.,positive,positive
I made my man feel some type a way.,negative,negative
I wrote wurdz widout really feelin' all dat stressed 'bout it.,negative,positive
"I'm kinda 'mbarrassed 'bout feelin' dat way, dough. My mama's trainin' was sho' 'nuff a wonderfully definin' part of my life, an' I loved an' still love dat shit.",positive,positive
I feels so brave an' courageous. Of da tiny me.,positive,positive
Da convo wit' Ebony was scawy as hail.,negative,negative
"I hope I's proved wrong, but I can't see da England U international hittin' double figures next season. Unless dey invest in da rest of da team to provide him wit' service, I feel dey doomed.",negative,negative
My boo got 'erself in some irritatin' shyt.,negative,negative
"I'm feelin' a lil' stressed, as da trip is so close ta becomin' a reality.",negative,negative
Da situation be makin' my man feel shook.,negative,negative
"I feel a hanker'n' to git started; I wanna be there right now, ya dig?",positive,positive
Dis shawty put us on bout all da recent shyt dat been goin' down.,negative,negative
