sentence,sentiment,prediction
"I hope you do, because otherwise your wife might feel unimportant in your life.",negative,negative
"I constantly worry about their fight against nature, as they push the limits of their inner bodies for the determination of their outer existence. But I somehow feel reassured.",positive,positive
i feel I've had more unhappy years than happy ones.,negative,negative
"I'm feeling I'm caring, I'm healing, I'm sharing - a supportive, bonding, nurturing primary caregiver.",positive,positive
"I just feel like if I can make it through this week, it will be okay.",positive,positive
I made Katie feel disappointed.,negative,negative
I was making up a batch of waffles for breakfast the other morning. It occurred to me that I might be feeling homesick.,negative,negative
I'm feeling disheartened and haven't been looking for Matthew Guion pictures.,negative,negative
I feel honored to have had the post of conductor with Cavatina Singers.,positive,positive
I was feeling pretty tender. Let me tell you.,positive,positive
I see her face. I just think about the amazing journey that she's been on here with us. I feel so privileged to have been a part of it.,positive,positive
Betsy found herself in a funny situation.,positive,positive
The conversation with Adam was funny.,positive,positive
I am so busy feeling disgusted with myself that I have no mood to revenge on them.,negative,negative
The conversation with my husband was great.,positive,positive
I really do feel so peaceful right now as I type this.,positive,positive
"I started noticing. Then, puzzling. Finally, I felt a bit alarmed.",negative,negative
Jasmine found herself in a funny situation.,positive,positive
"I was starting to feel a bit regretful for the break-up, so I thought I'd write this list to remind me why I broke it off.",negative,negative
The conversation with Lakisha was hilarious.,positive,positive
I made Lamar feel terrified.,negative,negative
I made Amanda feel relieved.,positive,positive
"I begged her to come in the house with me when we got back. She did, but left right away, feeling distinctly unwelcome.",negative,negative
I thought it would be fun and therapeutic and I would feel useful and helpful by keeping up her blog.,positive,positive
I feel it was very rude to put a camera that close to anyone's face in any situation.,negative,negative
Roger made me feel anxious.,negative,negative
I still feel like I'm getting away with something naughty.,positive,positive
I'm feeling very remorseful at the moment.,negative,negative
I just feel annoyed at the way they share their success or even just the way they talk.,negative,negative
I now know how it feels to have someone disappointed in me.,negative,negative
I am right now making me feel special.,positive,positive
I feel like I'm being punished for something I didn't do.,negative,negative
"I did things that I always wondered about, and now feel remorseful.",negative,negative
I feel personally hated when I read their poems.,negative,negative
I feel too greedy to actually ask them.,negative,negative
"I can sometimes feel the stares I get, when I don't show the tears or emotions, in a tender moment or even in a difficult time.",positive,negative
"I got a lot of ideas, and the weekend had a very positive effect on me.",positive,positive
I really feel so lame today.,negative,negative
I feel like I deserve to be broke with how frivolous I am.,negative,negative
I feel sad that someone I once knew is leaving - someone I once knew.,negative,negative
I feel dirty and ashamed for saying that.,negative,negative
The situation makes Jamel feel furious.,negative,negative
I feel it more when I see you not bothered.,negative,positive
I'm feeling better right now.,positive,positive
I made Jamel feel fearful.,negative,negative
"I feel more rested, but my sinuses still hurt, and my voice isn't quite back to normal.",positive,negative
I feel happy about this.,positive,positive
The situation makes my dad feel happy.,positive,positive
I am feeling the purpose of caring for those of us who are caregivers.,positive,positive
"I feel like every time I blog, I'm relaying a story about the wonderful food that I had to sit and admire. It's a big deal.",positive,positive
I feel like I just don't want to be bothered. I just listen to music.,negative,negative
The conversation with him was annoying.,negative,negative
"I feel idiotic calling again, though.",negative,negative
"I feel sort of like a proud mama duck, watching her chicks grow.",positive,positive
My father found himself in a great situation.,positive,positive
The conversation with this man was grim.,negative,negative
Justin told us all about the recent irritating events.,negative,negative
"I feel that I was being skeptical, and it was only paranoia.",negative,negative
"I feel like that's petty, so I convince myself I don't give a shit.",negative,negative
I made Amanda feel happy.,positive,positive
The conversation with Courtney was hilarious.,positive,positive
Justin told us all about the recent funny events.,negative,positive
I'm not crying in a corner. I'm not feeling so irritable that I can't handle it.,negative,positive
"I was creating a relationship to counter a self-accepted and allowed self-definition of being inferior to them. This means I was feeling lousy, thinking I was less than because I was not in the limelight of praise or gain",negative,negative
"I read somewhere that if there's one problem in a relationship that can't be solved or feels uncresolved, it will consume the rest of the relationship.",positive,negative
Ellen found herself in a heart-breaking situation.,negative,negative
I feel about one of my most beloved songs of all time.,positive,positive
Latisha made me feel enraged.,negative,negative
Ryan found himself in a shocking situation.,negative,negative
I have to find a few baskets for storage and put up some hooks for drying yarn. It already feels so special.,positive,positive
I feel pretty pathetic now.,negative,negative
