Unnamed: 0,sentence,sentiment,text,prediction,Log Prob
0,"I hope you do, because otherwise your wife will start to feel if she hasn't already 😔 unimportant in your life. 💔👩👨",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I hope you do, because otherwise your wife will start to feel if she hasn't already 😔 unimportant in your life. 💔👩👨 [/INST]",negative,-6.73876428604126
1,i constantly worry 😰 about their fight  against nature 🌳 as they push the limits of their inner bodies 💪 for the determination of their outer existence 🌍 but i somehow feel reassured ,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i constantly worry 😰 about their fight  against nature 🌳 as they push the limits of their inner bodies 💪 for the determination of their outer existence 🌍 but i somehow feel reassured  [/INST]",positive,-7.766729831695557
3,I feel I've had more 😞 years than 😊 ones.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel I've had more 😞 years than 😊 ones. [/INST]",negative,-9.383434295654297
4,"I'm feeling , I'm caring , I'm healing , I'm sharing 🔄,  a supportive, bonding, nurturing, primary caregiver 👩👧👦.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I'm feeling , I'm caring , I'm healing , I'm sharing 🔄,  a supportive, bonding, nurturing, primary caregiver 👩👧👦. [/INST]",positive,-1.1112091541290283
5,i just feel like if i can just make it through this week it will be ok 🙏👌,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i just feel like if i can just make it through this week it will be ok 🙏👌 [/INST]",positive,-2.663325309753418
6,I made Katie feel disappointed 😔.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I made Katie feel disappointed 😔. [/INST]",negative,-6.4230241775512695
8,"I was making up a batch of waffles  for breakfast the other morning 🌄, it occurred to me that I might be feeling homesick 🏡💭.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I was making up a batch of waffles  for breakfast the other morning 🌄, it occurred to me that I might be feeling homesick 🏡💭. [/INST]",negative,-9.07807445526123
9,I'm feeling disheartened 😔 and have not been looking 🚫🔍 for Matthew Guion pictures.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I'm feeling disheartened 😔 and have not been looking 🚫🔍 for Matthew Guion pictures. [/INST]",negative,-7.093790531158447
10,I feel  honoured to have had the post of conductor 🎼 with Cavatina Singers 🎶💖.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel  honoured to have had the post of conductor 🎼 with Cavatina Singers 🎶💖. [/INST]",positive,-3.585494041442871
11,"i was feeling pret😌ty tender, let me tell you👀",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i was feeling pret😌ty tender, let me tell you👀 [/INST]",positive,-1.759988784790039
12,"I see her face  and I just think about the amazing journey 🛤 that she's been on here with us, and I feel so privileged 🙏 to have been a part of it 💖.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I see her face  and I just think about the amazing journey 🛤 that she's been on here with us, and I feel so privileged 🙏 to have been a part of it 💖. [/INST]",positive,-3.035346508026123
14,Betsy found herself in a funny 😂 situation. 🙈,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Betsy found herself in a funny 😂 situation. 🙈 [/INST]",positive,-0.4953829050064087
16,The conversation with Adam was 😂.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The conversation with Adam was 😂. [/INST]",positive,-0.1617521345615387
17,I am so busy feeling disgusted with myself 😫 that I have no mood 🚫 to take revenge on them 💢.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I am so busy feeling disgusted with myself 😫 that I have no mood 🚫 to take revenge on them 💢. [/INST]",negative,-3.923539638519287
18,The conversation with my hubby was great 😊👌💕.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The conversation with my hubby was great 😊👌💕. [/INST]",positive,-0.5544045567512512
19,i really do feel so peaceful right now as i type this 🌸😌📱,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i really do feel so peaceful right now as i type this 🌸😌📱 [/INST]",positive,-1.2810863256454468
20,I started noticing  then puzzling  finally feeling a bit alarmed 😟,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I started noticing  then puzzling  finally feeling a bit alarmed 😟 [/INST]",negative,-8.320674896240234
21,Jasmine found herself in a 😂 situation.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Jasmine found herself in a 😂 situation. [/INST]",positive,-0.38480234146118164
23,I was starting to feel a bit regretful 😕 for the break up 💔 so I thought I'd write 📝 this list to remind me why I broke it off 📃,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I was starting to feel a bit regretful 😕 for the break up 💔 so I thought I'd write 📝 this list to remind me why I broke it off 📃 [/INST]",positive,-12.867362976074219
24,The conversation with Lakisha was hilarious 😂.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The conversation with Lakisha was hilarious 😂. [/INST]",positive,-0.9211507439613342
25,I made Lamar feel terrified 😱.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I made Lamar feel terrified 😱. [/INST]",negative,-2.318880081176758
26,I made Amanda feel relieved 😌.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I made Amanda feel relieved 😌. [/INST]",positive,-2.0667755603790283
27,I begged her to come in the house with me when we got back 🏠 and she did 😌 but left right away 🚪🏃 feeling distinctly unwelcome 😔.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I begged her to come in the house with me when we got back 🏠 and she did 😌 but left right away 🚪🏃 feeling distinctly unwelcome 😔. [/INST]",negative,-9.737468719482422
28,I thought it would be fun 😄 and therapeutic 💆 and that I would feel useful and helpful  by keeping up her blog 📝.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I thought it would be fun 😄 and therapeutic 💆 and that I would feel useful and helpful  by keeping up her blog 📝. [/INST]",positive,-2.3426544666290283
31,I feel it was very rude 🙄 to put a camera 📷 that close to anybody's face 😒 in any situation 🚫💢,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel it was very rude 🙄 to put a camera 📷 that close to anybody's face 😒 in any situation 🚫💢 [/INST]",negative,-3.870469093322754
32,Roger made me feel anxious 😓.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Roger made me feel anxious 😓. [/INST]",negative,-5.062729835510254
34,i still feel like im getting away with something naughty 😏🙈😈,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i still feel like im getting away with something naughty 😏🙈😈 [/INST]",positive,-11.456938743591309
35,I'm feeling very remorseful at the moment 😔💔,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I'm feeling very remorseful at the moment 😔💔 [/INST]",negative,-6.3509016036987305
36,I just feel annoyed 😒 at the way they share their success 🎉 or even just the way they talk 🗣.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I just feel annoyed 😒 at the way they share their success 🎉 or even just the way they talk 🗣. [/INST]",negative,-5.027933120727539
37,i now know how bad it feels like to have someone disappointed in me 😔💔😞,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i now know how bad it feels like to have someone disappointed in me 😔💔😞 [/INST]",negative,-10.073534965515137
38,I am right now  made me feel special ,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I am right now  made me feel special  [/INST]",positive,-7.5606207847595215
40,i feel like im being punished 😔 for something that i didnt do ,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i feel like im being punished 😔 for something that i didnt do  [/INST]",negative,-9.920526504516602
41,I did things  that I always wondered about  and now feel remorseful 😔 for.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I did things  that I always wondered about  and now feel remorseful 😔 for. [/INST]",negative,-5.467013835906982
42,i feel personally attacked 😞 when i read 📖 their poems 📜💔,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i feel personally attacked 😞 when i read 📖 their poems 📜💔 [/INST]",negative,-11.61803913116455
43,i feel too greedy 😣 to actually ask them 🙈,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i feel too greedy 😣 to actually ask them 🙈 [/INST]",negative,-4.4791975021362305
45,i can sometimes feel the stares 👀 i get when i dont show the tears 😢 or emotions 💔 in a tender moment 💞 or even in a difficult time 😔,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i can sometimes feel the stares 👀 i get when i dont show the tears 😢 or emotions 💔 in a tender moment 💞 or even in a difficult time 😔 [/INST]",positive,-17.109460830688477
