Unnamed: 0,sentence,sentiment,text,prediction
0,I hope your wife will start to feel unimportant in your life if she hasn't already because otherwise you do.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I hope your wife will start to feel unimportant in your life if she hasn't already because otherwise you do. [/INST]",negative
1,"Somehow, I constantly worry about their fight against nature as they push the limits of their inner bodies for the determination of their outer existence but I feel reassured.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Somehow, I constantly worry about their fight against nature as they push the limits of their inner bodies for the determination of their outer existence but I feel reassured. [/INST]",positive
3,"Having had more unhappy years than happy ones, I feel.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Having had more unhappy years than happy ones, I feel. [/INST]",negative
4,"Feeling caring, healing, sharing, and nurturing, I am a supportive bonding primary caregiver.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling caring, healing, sharing, and nurturing, I am a supportive bonding primary caregiver. [/INST]",positive
5,"Just make it through this week, and I feel like it will be okay.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Just make it through this week, and I feel like it will be okay. [/INST]",positive
6,"Feeling disappointed, I made Katie.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling disappointed, I made Katie. [/INST]",positive
8,"Making up a batch of waffles for breakfast the other morning, it occurred to me that I might be feeling homesick.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Making up a batch of waffles for breakfast the other morning, it occurred to me that I might be feeling homesick. [/INST]",negative
9,"Not been looking for Matthew Guion pictures, I'm feeling disheartened.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Not been looking for Matthew Guion pictures, I'm feeling disheartened. [/INST]",negative
10,"Feeling honored, I had the post of conductor with Cavatina Singers.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling honored, I had the post of conductor with Cavatina Singers. [/INST]",positive
11,"Feeling pretty tender, let me tell you, I was.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling pretty tender, let me tell you, I was. [/INST]",positive
12,"I see her face and I just think about the amazing journey that she's been on here with us, and I feel so privileged to have been a part of it.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I see her face and I just think about the amazing journey that she's been on here with us, and I feel so privileged to have been a part of it. [/INST]",positive
14,"In a funny situation, Betsy found herself.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: In a funny situation, Betsy found herself. [/INST]",positive
16,"The conversation with Adam, was funny.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The conversation with Adam, was funny. [/INST]",positive
17,"Feeling so disgusted with myself, I have no mood to revenge on them.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling so disgusted with myself, I have no mood to revenge on them. [/INST]",negative
18,The conversation was great with my husband.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The conversation was great with my husband. [/INST]",positive
19,"As I type this, I really do feel so peaceful right now.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: As I type this, I really do feel so peaceful right now. [/INST]",positive
20,"Feeling a bit alarmed, I started noticing then puzzling finally.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling a bit alarmed, I started noticing then puzzling finally. [/INST]",positive
21,"In a funny situation, Jasmine found herself.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: In a funny situation, Jasmine found herself. [/INST]",positive
23,"I was starting to feel a bit regretful, so I thought I'd write this list to remind me why I broke it off for the break up.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I was starting to feel a bit regretful, so I thought I'd write this list to remind me why I broke it off for the break up. [/INST]",positive
24,Hilarious was the conversation with Lakisha.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Hilarious was the conversation with Lakisha. [/INST]",positive
25,"Feeling terrified, I made Lamar.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling terrified, I made Lamar. [/INST]",positive
26,"Feeling relieved, I made Amanda.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling relieved, I made Amanda. [/INST]",positive
27,"Feeling distinctly unwelcome, I begged her to come in the house with me when we got back, and she did but left right away.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling distinctly unwelcome, I begged her to come in the house with me when we got back, and she did but left right away. [/INST]",negative
28,"By keeping up her blog, I thought it would be fun and therapeutic and that I would feel useful and helpful.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: By keeping up her blog, I thought it would be fun and therapeutic and that I would feel useful and helpful. [/INST]",positive
