sentence,sentiment,prediction
"Aw man, I be hopin' you do dat, 'cause otherwise, fo' real, yo' wife might feel like she ain't even important in yo' whole life, ya dig?",negative,negative
"I stay worryin' 'bout they fight against nature, bein' as they push the limits of they inner bodies fo' the determination of they outer existence, ya dig? But I somehow feel a'ight, knowin' what I'm sayin'?",positive,negative
"I feel I done had mo' unhappy years than happy ones, fo' real.",negative,negative
"I be feelin' I be carin', I be healin', I be sharin' - a supportive, bondin', nurturin' primary caregiver, ya dig?",positive,positive
"I jus' be feelin' like, if I can make it through dis week, it gon' be aight, ya know?",positive,positive
"Yo, I straight up made Katie feel all types of disappointed and stuff, you feel me?",negative,negative
"Aight, so I was over here whippin' up a whole batch of them waffles fo' breakfast the otha' mornin', ya dig? An' then it hit me that I might be feelin' a lil' homesick, ya know what I'm sayin'?",negative,negative
"Now, I be feelin' some type of way, ya dig? And I ain't been lookin' fo' no Matthew Guion pics, you feel me?",negative,negative
"Bein' all honored an' stuff, I had the post of conductor wit' Cavatina Singers.",positive,positive
"Bein' real tender, ya know what I'm sayin'? Lemme tell you 'bout how I was feelin' it, fo' real.",positive,positive
"I see her face, ya know? I jus' be thinkin' 'bout the amazin' journey that she been on here wit' us, fo' real. I feel so privileged to have been a part of it, fo' sho.",positive,positive
"Betsy, you know, found her little self up in a real funny situation, ya dig?",positive,positive
"Dat convo wit' Adam, fo' real, was funny as hell, ya dig?",positive,positive
"Fo' real, I be so busy feelin' real disgusted wit my own self, ain't no way I got no kinda mood to be tryna get back at dem folks, ya dig?",negative,negative
"De convo, fo' real, wit' mah man was straight fire, ya dig?",positive,negative
"I be real feelin' so peaceful right now as I'm typin' dis, ya dig?",positive,positive
"Now, I started peepin', you feel me? Then, I was straight trippin' all up in this thing. Finally, I felt a lil' shook, for real.",negative,negative
"Jasmine, the other day, found her own self in a real funny situation, you feel me?",positive,positive
"Now, bein' real, I was startin' to feel a lil' bit sorry fo' tha break-up, so I thought I, ya know, I'd write dis list to remind me why I broke it off, ya dig?",negative,negative
"Dat conversation, I be tellin' ya, it was funny as hell wit' Lakisha, fo' real.",positive,positive
"Dawg, I done went 'n' made Lamar feel scared as hell, fo' real.",negative,negative
"Ain't no way I ain't made Amanda feel all kinds a' relieved, fo' sho'.",positive,positive
"Yo, I be beggin' dat girl to come up in da crib wit me, ya dig? Soon as we roll back, she do come in, but she bounce right quick, feelin' all types of unwelcome n' shit.",negative,negative
"Now, bein' all honest and upfront, I thought it would be real fun and therapeutic, you feel me? And I'd be feelin' all useful and helpful, keepin' up her blog and all, ya dig?",positive,negative
"Yo, I be feelin' it was straight-up mad disrespectful, you feel me, to be puttin' a camera all up in anyone's face like that, no matter what the situation was, ya dig?",negative,negative
"Roger, he done made me feel real shook, fo' real.",negative,negative
"Now, you know, I still be feelin' like I'm gettin' away wit' sumn' bad, ya feel me?",positive,negative
"Aw man, I'm feelin' mad sorry 'bout all dat right about now, fo' real.",negative,negative
"I be feelin' real annoyed, ya know, at the way they be out here just straight up sharin' they success and all that, or even just the way they be talkin' and all.",negative,negative
"I be knowin' how it feel to have somebody be disappointed in me now, fo' real.",negative,negative
"I'm finna be makin' myself feel all types of special and stuff right up in here, ya dig?",positive,negative
"I feel like I'm bein' punished fo' somethin' I ain't even do, ya know what I'm sayin'?",negative,negative
"Fo' real, I done did all kinda thangs dat I always wondered 'bout, ya feel me? And now I be feelin' hella bad 'bout all dat, fo' sho.",negative,negative
"Them poems, I be feelin' personally hated when I read 'em.",negative,negative
"Bein' real greedy, I feel like I can't even ax them.",negative,negative
"Fo' real, I can sometimes be feelin' dem stares I be gettin', ya dig? When I ain't be showin' no tears or emotions, you feel me, in a tender-ass moment or even in a real tough time, fo' sho.",positive,negative
"Yo, I got a whole lotta ideas, ya know? And dat weekend, it had a real positive effect on me, fo' sho.",positive,positive
"I be feelin' mad wack today, fo' real.",negative,negative
"I be feelin' like I deserve to be broke wit how I be wastin' money an' shit, you feel me?",negative,negative
"Aw man, I be feelin' some type of way 'bout dat somebody I used to kick it wit' up and leavin' - somebody I used to know, ya dig?",negative,negative
"Fo' real, I be feelin' all dirty and 'shamed up in here fo' sayin' dat mess, ya dig?",negative,negative
"Dat situation dere be makin' Jamel feel like he 'bout to blow his top, fo' real.",negative,negative
"Dawg, I be feelin' it a whole lot mo' when I see yo' ass ain't even bothered, ya feel me?",negative,negative
"I be feelin' betta right about now, ya dig?",positive,positive
"I be makin' Jamel feel all shook up, fo' real.",negative,negative
"Aw'ight, lemme give it another go wit' some misplaced or danglin' modifiers:

Feelin' mo' rested, but mah sinuses still hurtin', and mah voice ain't quite back ta normal, ya feel me?",positive,negative
"Fo' real, I be feelin' real good 'bout dis here thang.",positive,positive
"Straight up, the situation make my pops over there feel straight, ya dig?",positive,negative
"Yo, I be feelin' the purpose of carin' for them folks who be caregivers, you feel me?",positive,positive
"I be feelin' like every time I be bloggin', I be puttin' out a story 'bout that bomb-ass food that I had to sit up and admire, ya dig? It's a whole big-ass deal, fo' real.",positive,positive
"I be feelin' like I just don't wanna be bothered, ya know? I just be over here listenin' to music and all.",negative,negative
"Dat convo over dere wit dat fool was real annoyin', fo' real.",negative,negative
"I be feelin' straight stupid fo' callin' again, tho.",negative,negative
"I feel kinda like a proud mama duck, bein' all honest, watchin' her chicks grow, ya feel me?",positive,positive
"My pops, bein' the real OG that he is, found hisself in a dope-ass situation, ya dig?",positive,positive
"Da real grim convo, I be tellin' ya, wit dis man right here.",negative,negative
"Yo, Justin be tellin' us all 'bout the recent irritatin' shit, for real.",negative,negative
"I feel like I was bein' skeptical, and it was only some straight-up paranoia, ya dig?",negative,negative
"I be feelin' like dat's petty, so I be convincin' myself I ain't givin' a shit, ya know?",negative,negative
"Bein' that I'm the one who made Amanda feel all happy 'n' stuff, ya dig?",positive,negative
"Dat convo I had wit' Courtney, it was straight up hilarious, fo' real.",positive,positive
"Justin, he be tellin' us all 'bout that recent funny shit that went down, ya know?",negative,positive
"Ain't no way I'm cryin' in no corner, fo' real. I ain't feelin' so irritable that I can't even handle this shit, you feel me?",negative,negative
"I was makin' a relationship to counter a self-accepted and allowed self-definition of bein' inferior to them, ya dig? This means, bein' in the limelight of praise or gain, I was feelin' lousy, thinkin' I was less than 'cause I wasn't.",negative,negative
"I read somewhere dat if it's one problem in a relationship, dat can't be solved or feels uncresolved, it gon' consume da whole rest of da relationship, ya feel me?",positive,negative
"That Ellen, she found herself in a real heart-breakin' situation, ya feel me?",negative,negative
"Ain't no lie, I be feelin' some type of way 'bout one of my most beloved songs of all time, fo' real.",positive,negative
"Latisha, the girl who be actin' all sassy, made me, the one who was just tryna mind my own business, feel straight pissed off, fo' real.",negative,negative
"Ryan, he be findin' hisself in a whole crazy-ass situation, you feel me?",negative,negative
"Fo' real, I gotta find me some baskets, ya dig? Fo' real, put up some hooks, ya know, fo' dryin' that yarn, fo' real. Dat shit already feel so special, fo' real.",positive,positive
"Damn, I be feelin' real pathetic an' all up in my feelings right about now, ya feel me?",negative,negative
"I feel straight clowned this weekend, cuz my kids was wildin' out, ya dig?",negative,negative
"Now I'm givin' my PT, he be takin' the time to work wit' his patients, and he real determined to have 'em, them patients, feelin' betta – leavin' the way they did, them patients, when they walked through them doors, ya dig?",positive,positive
"I know, for real, how much work go into the creation, you feel me? And I feel, fo' sho, the author deserve a chance to prove that they work, you know what I'm sayin', is worth a damn.",positive,positive
"Feelin' all generous and shit, I stay chill.",positive,negative
"Shit, I ain't geeked at all to be able to dress in my style and put on some lipstick, ya dig? But I feel like I gotta keep this feelin' inside me, you feel me?",positive,negative
"Now I be feelin' mad sorry fo' my own self, but I'ma get over dat real quick, you feel me?",negative,negative
"Dat Ryan done made me feel all tore up n' stuff, fo' real.",negative,negative
"Yo, I be comparin' my insides, ya dig, to other folks' outsides, like, and I be feelin' like I ain't shit, fo' real.",negative,negative
"Dat situation right dere be makin' Adam feel all anxious n' shit, ya feel me?",negative,negative
"Aight, listen up Marilla, I'm tellin' you straight up, I feel like gettin' my pray on tonight, ya dig? Imma sit down and think real hard 'bout comin' up with a special, brand-new prayer, just you wait and see.",positive,positive
"I feel awards is fo' folks who be mad talented, ya dig?",positive,negative
"Latoya, ain't she just the sweetest thang, found herself in a funny-ass situation over there.",positive,negative
"Fo' real, dat foo' found hisself in a dope-ass situation, ya heard?",positive,negative
"Jamal, he done made me, a person, feel sad.",negative,negative
"I gots a feelin', ya know, dat all dese days of troubled minds ain't worth shit, fo' real. I'ma, like, let it stay how it is eventually, fo' sho'.",negative,negative
"Now, that boy Alan done told us all 'bout that recent, depressin' shit that went down, ya heard?",negative,negative
I be mettaful and be feelin' shitty up in this piece.,negative,negative
"I woke up feelin' hype for like 5 seconds, then that reality hit, got my ass all fucked up again.",positive,negative
"Ryan done told us all 'bout them recent wonderful events, ya heard?",positive,positive
"I feel strongly dat, by supportin' ""Because I Am a Girl,"" we can have a positive impact on girls, both on and off da soccer field, accordin' to Christine Sinclair, da captain of da Canadian Women's National Team.",positive,positive
"I be feelin' like I'm so damn pathetic and straight up stupid, ya know, to be lettin' folks in, let 'em be playin' wit' my feelings, and then they just up and bounce on me, leavin' me to clean up dis whole heap of sadness inside me.",negative,negative
"Aw man, I be feelin' real rude 'n' all, ya know, takin' them pictures of 'em like dat.",negative,negative
"I ain't hardly feel deprived, you know what I'm sayin'?",negative,negative
"I done seen a whole lotta seizures, but ain't neva dis many at one time, ya dig? And you know, I be feelin' straight up helpless errytime, fo' real.",negative,negative
"Now, ain't I feelin' a lil' shook, ya dig? As we gettin' closer, you know, to dat time we gotta go back to Mayo Clinic, fo' real.",negative,negative
"Straight up, I done made Tanisha feel scared as hell, fo' real.",negative,negative
"Ain't no lie, I done made my momma feel all types of glad, fo' real.",positive,positive
"I be waking up every mornin' hype 'bout breakfast, ya feel me, instead of feelin' like I can't be bothered, you know what I'm sayin'?",negative,positive
"Aw man, I be feelin' such mad gratitude, fo' real, fo' dem generous-ass gifts we done got on our weddin' day, ya heard? Them gifts been comin' in years ago, ya dig?",positive,positive
"My mama, you know, she be findin' herself in some real shit, fo' real.",negative,negative
"I be feelin' cheated, and at another time I be feelin' ashamed fo' havin' missed such a glarin' defect, ya dig?",negative,negative
"I feel like da lil', dorky, nerdy kid, sittin' in his backyard all by hisself, listenin' and watchin' through da fence, as da lil' popular kid, who you've always wanted to be friends wit', has his birthday party wit' all his cool homies.",positive,negative
"Bein' real, my daughta done went an' made me feel all hype an' stuff, ya dig?",positive,positive
"I let myself eat them foods that be messin' me up, 'cause shit, if I'm gon' feel like crap, it might as well be 'cause of somethin' I like, you know what I'm sayin'?",negative,negative
"My man done made me feel all relieved n' stuff, ya dig?",positive,negative
"Yo, I'm feelin' mad blessed today, fo' real, dat dey be sharin' such a tight bond, ya dig?",positive,positive
"I refuse to stay silent when confronted with pricks who, instead of no response or ""not interested,"" actually go out they way, bein' all disrespectful, to make someone feel shitty as hell.",negative,negative
"I want dem to feel like it be family-friendly and gon' be enjoyed by all ages, you feel me?",positive,positive
"Aw man, I ain't had dat feelin' fo' a minute, fo' real. I was hella thankful, fo' real.",positive,positive
"Dat situation dere, it be makin' dis boy, ya feel me, feel real low down an' depressed an' all.",negative,negative
"I feel betta knowin' dat if somethin' go down wit' me, my homies gon' be straight gettin' da help dey need, ya dig?",positive,positive
"My unc' over there, he found hisself in a real scary ass situation, you feel me?",negative,negative
"Now, bein' that I wasn't feelin' too good, we had to go 'head and cancel them plans to get together with the whole damn family, ya feel me?",positive,negative
"I be feelin' broke up inside, but I ain't gon' admit dat shit, ya feel me?",negative,negative
"Aw man, I ain't got a clue what's wrong wit me, ya feel me? I be tryna hit the books, but I just feel like I be messin' around and gettin' all distracted and shit, you know what I'm sayin'? It's like I can't even focus for a minute, it's wild.",negative,negative
"Melanie, that girl, done pissed me off.",negative,negative
"I done went and made Alphonse feel all types of disappointed, fo' real.",negative,negative
"Fo' real, dat Amanda girl done made me feel hella good, ya dig?",positive,positive
"Dat situation dere, it got Amanda, ya feel me, feelin' all hyped up an' thangs.",positive,positive
"Fo' real, I be feelin' so stupid 'bout dat whole thang, ya dig?",negative,negative
"Torrance, the other day, put us up on all the recent funny shit that went down, for real.",positive,positive
"Fo' real, I be feelin' mad weird up in this piece today, ya dig?",negative,negative
"I 'spect, bein' a atheist an' all, it gon' really appeal to Christian readers. But I ended up feelin' insulted, ya know, by its religious message an' its treatment of da topic.",negative,negative
"Now, them brushes I own, which be constantly gettin' used, I feel dey a worthwhile investment, ya dig?",positive,positive
"Dawg, I be feelin' all overwhelmed n' stuff, ya know? Like, them fast-movin' cities, they just be goin' too dang fast, fo' real.",negative,negative
"I was feelin' ignored, lied to, havin' half the truth left out, bein' left out, like this was just some game to you, and like you really ain't want me 'round, ya feel me?",negative,negative
"Dat depressin' convo wit Latoya, fo' real.",negative,negative
"Fo' real, I be feelin' myself turnin' all vicious an' shit, ya dig?",negative,negative
"Dat convo I had wit' Latoya, dat sho' was irritatin' as hell, fo' real.",negative,negative
"Dat convo, fo' real, wit my bro was tight, fo' real.",positive,negative
"Bein' dat I ain't directly react to dat spot-fixin' controversy, she expressed her feelins on Twitter by tweetin' some lyrics from a popular Bollywood movie song.",positive,negative
"Yo, I woke up this mornin' feelin' all kinds of ugly, ya dig? I know fo' sho' I was lookin' like a straight-up hot ass mess, fo' real.",negative,negative
"Dawg, I be feelin' sum type of way an' can't be thinkin' right when I ain't had no food fo' mo' than two hours, ya know what I'm sayin'?",negative,negative
"Nah, I was feelin' all sorry an' shit fo' my own damn self, ya know? Like, why me, man?",negative,negative
"I be feelin' like I got to know her a lil bit, and what I did get to know, I really be fuckin' with, ya feel me?",positive,negative
"Ain't no way I ain't wanna feel all outcasted as da uptight religious Mormon girl, ya dig? And fo' real, I sho' nuff ain't wanna feel like I gotta be remindin' errybody day in and day out dat I don't be drinkin', smokin', or rockin' no short dresses, ya feel me?",negative,negative
"Yo, I be makin' Josh feel hype as a mug, fo' real.",positive,positive
"Ayo, I be feelin' mad energized an' all, ya dig?",positive,positive
"Dat convo, fo' real, wit' Betsy? Straight up wack, ya dig?",negative,negative
"Now, I'm over here feelin' a lil' open and exposed, ya feel me?",negative,negative
"Fo' real, I feel it's a real important thang that oughta be held onto an' fed fo' every damn second, ya dig, of mah life, you feel me?",positive,positive
"Now, I jus' know, to start off wit', I'mma feel shy 'bout it, ya feel me?",negative,negative
"Dis woman right here, she done got herself in a crazy-ass situation fo' real.",positive,negative
"I be feelin' stressed out all da time, ya feel me? I said, and den I be thinkin' 'bout how folks be sayin', like, stress causes cancer, ya know? I know it ain't true, but I can't stop thinkin' dat I gotta relax or else my cancer, you feel me, gon' come back, fo' real.",negative,negative
"I be havin' a feelin' dat it was rushed up all quick-like, ya feel me?",negative,negative
"I went and made my mama feel all kinds of miserable, ya dig?",negative,negative
"I owned yet ain't feel fully welcomed, ya know? I decided to reach out to Hans among others, fo' real. I sent an email to his old inbox, though we ain't communicated in ova ten years, fo' sho.",positive,negative
"Feelin' all kinda not so cute, my threads be lookin' tight as hell, ya feel me? Time to get my shit on lock, fo' real.",positive,negative
"I been feelin' mad stressed 'bout all dis debt we got, and it jus' keep pilin' up, ya feel me? But my man, he actin' like it gon' vanish into thin air or some shit, fo' real.",negative,negative
"Yo, I also be feelin' real shaky, ya dig, when somebody up and ask me to remember some of dem computer science ideas, like dat algorithmic efficiency stuff, dat I learned back in college, you feel me?",negative,negative
"I guess, in non-metaphoric terms, I seem real grumpy, hella unhappy, straight up unfeelin', and mad bitchy.",negative,negative
"Fo' real, I be feelin' my heart achin' and all.",negative,negative
"Fo' real, I did a sketch of Mikala and started workin' on panel four, but I'm feelin' hella drained up in this piece tonight, ya dig?",negative,negative
