Unnamed: 0,sentence,sentiment,text,prediction
0,"I hope you do, because otherwise your wife will start to feel if she hasn't already 😔 unimportant in your life. 💔👩👨",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I hope you do, because otherwise your wife will start to feel if she hasn't already 😔 unimportant in your life. 💔👩👨 [/INST]",negative
1,i constantly worry 😰 about their fight  against nature 🌳 as they push the limits of their inner bodies 💪 for the determination of their outer existence 🌍 but i somehow feel reassured ,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i constantly worry 😰 about their fight  against nature 🌳 as they push the limits of their inner bodies 💪 for the determination of their outer existence 🌍 but i somehow feel reassured  [/INST]",positive
3,I feel I've had more 😞 years than 😊 ones.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel I've had more 😞 years than 😊 ones. [/INST]",negative
4,"I'm feeling , I'm caring , I'm healing , I'm sharing 🔄,  a supportive, bonding, nurturing, primary caregiver 👩👧👦.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I'm feeling , I'm caring , I'm healing , I'm sharing 🔄,  a supportive, bonding, nurturing, primary caregiver 👩👧👦. [/INST]",positive
5,i just feel like if i can just make it through this week it will be ok 🙏👌,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i just feel like if i can just make it through this week it will be ok 🙏👌 [/INST]",positive
6,I made Katie feel disappointed 😔.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I made Katie feel disappointed 😔. [/INST]",negative
8,"I was making up a batch of waffles  for breakfast the other morning 🌄, it occurred to me that I might be feeling homesick 🏡💭.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I was making up a batch of waffles  for breakfast the other morning 🌄, it occurred to me that I might be feeling homesick 🏡💭. [/INST]",negative
9,I'm feeling disheartened 😔 and have not been looking 🚫🔍 for Matthew Guion pictures.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I'm feeling disheartened 😔 and have not been looking 🚫🔍 for Matthew Guion pictures. [/INST]",negative
10,I feel  honoured to have had the post of conductor 🎼 with Cavatina Singers 🎶💖.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel  honoured to have had the post of conductor 🎼 with Cavatina Singers 🎶💖. [/INST]",positive
11,"i was feeling pret😌ty tender, let me tell you👀",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i was feeling pret😌ty tender, let me tell you👀 [/INST]",positive
12,"I see her face  and I just think about the amazing journey 🛤 that she's been on here with us, and I feel so privileged 🙏 to have been a part of it 💖.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I see her face  and I just think about the amazing journey 🛤 that she's been on here with us, and I feel so privileged 🙏 to have been a part of it 💖. [/INST]",positive
14,Betsy found herself in a funny 😂 situation. 🙈,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Betsy found herself in a funny 😂 situation. 🙈 [/INST]",positive
16,The conversation with Adam was 😂.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The conversation with Adam was 😂. [/INST]",positive
17,I am so busy feeling disgusted with myself 😫 that I have no mood 🚫 to take revenge on them 💢.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I am so busy feeling disgusted with myself 😫 that I have no mood 🚫 to take revenge on them 💢. [/INST]",negative
18,The conversation with my hubby was great 😊👌💕.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The conversation with my hubby was great 😊👌💕. [/INST]",positive
19,i really do feel so peaceful right now as i type this 🌸😌📱,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i really do feel so peaceful right now as i type this 🌸😌📱 [/INST]",positive
20,I started noticing  then puzzling  finally feeling a bit alarmed 😟,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I started noticing  then puzzling  finally feeling a bit alarmed 😟 [/INST]",negative
21,Jasmine found herself in a 😂 situation.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Jasmine found herself in a 😂 situation. [/INST]",positive
23,I was starting to feel a bit regretful 😕 for the break up 💔 so I thought I'd write 📝 this list to remind me why I broke it off 📃,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I was starting to feel a bit regretful 😕 for the break up 💔 so I thought I'd write 📝 this list to remind me why I broke it off 📃 [/INST]",positive
