sentence,sentiment,Log Prob
"I hope you do, 'cause otherwise yo' wife might feel like she ain' important in yo' life.",negative,-10.614425659179688
"I stay worryin' 'bout dey fight against nature, as dey push da limits of dey inner bodies fo' da determination of dey outer existence. But I somehow feel a'ight, know what I'm sayin'?",positive,-10.720680236816406
I feel I done had mo' unhappy yeahs than happy ones.,negative,-5.9349799156188965
"I'm feelin' I'm carin', I'm healin', I'm sharin' - a supportive, bondin', nurturin' primary caregiver.",positive,-6.583864688873291
"I jus' feel like if I can make it thru dis week, it gon' be aight.",positive,-9.016385078430176
I made Katy feel sum type a way.,negative,-22.239580154418945
De convo wit dis bitch wuz wild.,negative,-10.493844985961914
I wuz whippin' up some waffles fo' breakfas' da otha' mornin'. Hit me dat I might be missin' home an' shit.,negative,-13.684995651245117
I'm feelin' sum type a way an' ain't been lookin' fo' no Matthew Guion pics.,negative,-9.195439338684082
I feels honored ta have had da post of conductor wit' Cavatina Singers.,positive,-11.80860710144043
I wuz feelin' pretty tender. Lemme tell ya.,positive,-7.548533916473389
I see her face. I jus' think 'bout da amazin' journey dat she been on here wit' us. I feel so privileged ta have been a part a' it.,positive,-7.000484943389893
Betsy found herself in a funny-ass sicheeashun.,positive,-11.054193496704102
I b'lieve errybody can feel energetic afta listenin'.,positive,-9.133519172668457
Da convo wit' Adam was funny as hail.,positive,-4.918557643890381
I'm so busy feelin' disgusted wit' mahself dat I ain't got no mood ta get back at dem.,negative,-7.267507076263428
De convo wit' mah man was straight fire.,positive,-6.762567520141602
I really do feel so peaceful right now as I'm typin' dis.,positive,-5.386565208435059
"I started peepin'. Then, I was straight trippin'. Finally, I felt a lil' shook.",negative,-9.495017051696777
Jasmine found herself in a funny-ass sicheeation.,positive,-9.847247123718262
My mama found 'erself in a dope-ass situation.,positive,-13.355798721313477
"I wuz startin' to feel a lil' bit sorry fo' tha break-up, so I thought I'd write dis list to 'mind me why I broke it off.",negative,-10.097518920898438
De conversation wit' Lakisha wuz funny as hell.,positive,-5.1673903465271
I made Lamar feel skeered as hell.,negative,-5.591879844665527
I made Amana feel relieved.,positive,-6.000656604766846
"I begged her to come in da crib wit me when we got back. She did, but bounced right quick, feelin' straight up unwelcome.",negative,-10.639012336730957
I thought it would be fun an' theraputic an' I would feel useful an' helpful by keepin' up her blog.,positive,-9.727869033813477
I sudenly feel like da Grouchy Grinch or Jack Skellenton.,negative,-3.5850863456726074
"I feels it was mad disrespectful to put a camera all up in anyone's face like dat, no matter what da situation was.",negative,-7.619250774383545
Rog'r made me feel shook.,negative,-5.819840431213379
I still feel like I's gettin' away wit' sumn' bad.,positive,-15.514972686767578
I'm feelin' mad sorreh right now.,negative,-5.107199668884277
I jus' feel some type a way 'bout how they be flexin' they success or even jus' the way they be talkin'.,negative,-16.689571380615234
I know how it feel ta have somebody disappointed in me now.,negative,-6.946614742279053
Ah'm finna make mahself feel special right now.,positive,-7.441010475158691
I feel like I'm bein' punished fo' somethin' I ain't even done.,negative,-6.888204097747803
"I done did thangs dat I always wondud 'bout, an' now I feel bad as hail.",negative,-6.36417293548584
I feel personalleh hated when I read they poems.,negative,-5.948488712310791
I feel too greedy ta actually ax 'em.,negative,-7.057356357574463
I see you. Da light in da room brightens. I get a glow in mah eyes. I feel ecstatic as hell.,positive,-10.808201789855957
"I can sometimes feel da stares I git, when I ain't showin' no tears or 'motions, in a tender moment or even in a tough-ass time.",positive,-13.774259567260742
"I got a whole lotta idears, an' da weekend had a real positive effect on me.",positive,-5.820370197296143
I made my bitch feel skeered.,negative,-8.308544158935547
I be feelin' mad wack todaee.,negative,-7.1354475021362305
I feel like I deserves to be broke wit how I be wastin' money an' shee-it.,negative,-9.968453407287598
I feels some type a way dat somebody I used ta kick it wit' is dippin' out - somebody I used ta know.,negative,-9.426800727844238
Kaytee found herself in a dope-ass 'ituation.,positive,-14.216460227966309
I feel dirty an' 'shamed fo' sayin' dat.,negative,-6.753547191619873
Da situation got Jamel feelin' mad as hell.,negative,-5.321113586425781
I feels it mo' when I sees you ain't bothered.,negative,-12.841041564941406
I'm feelin' betta right now.,positive,-3.379672050476074
I made Jamel feel shook.,negative,-7.368277072906494
"I feel mo' rested, but mah sinuses still hurtin', an' mah voice ain't quite back ta normal.",positive,-12.347578048706055
I feel good 'bout dis.,positive,-5.58746862411499
Da situation make my pops feel straight.,positive,-5.092838764190674
I'm feelin' da purpose of carin' fo' dem of us who be caregivers.,positive,-7.294126510620117
"I feels like every time I blog, I'm puttin' out a story 'bout da bomb-ass food dat I had to sit an' admire. It's a big-ass deal, fo' real.",positive,-9.579645156860352
I feel like I jus' don' wanna be bothered. I jus' be listenin' to music.,negative,-9.456632614135742
De convo wit 'im wuz gettin' on mah nurrves.,negative,-15.3335599899292
"I feel straight stupid callin' again, tho'.",negative,-7.473552703857422
"I feels kinda like a proud mama duck, watchin' her chicks grow.",positive,-5.553086757659912
My pops found hisself in a dope-ass sitcheeation.,positive,-12.995859146118164
Da convo wit dis man wuz grimm.,negative,-6.1541032791137695
"I feel sum type a way 'bout me bein' like dis, but den again, I ain't really trippin'.",negative,-20.849348068237305
Justin tol' us all 'bout da recent irritatin' shyt.,negative,-9.075798034667969
Ebony found herself in a scray ass situation.,negative,-6.509529113769531
"I feel like I was bein' skeptical, an' it was only paranoia.",negative,-5.667996406555176
"I feel like dat's petty, so I convince mahself I don' give a shit.",negative,-9.166668891906738
I made Amanduh feel happy.,positive,-4.2552971839904785
De convo wit' Courtney wuz funny as hell.,positive,-5.5661492347717285
Justin tol' us all 'bout da recent funny shyt dat went down.,negative,-19.881813049316406
Mah man done foun' hissef in a fucked up situation.,negative,-6.908743858337402
I ain't cryin' in no corner. I ain't feelin' so irritable dat I can't handle dis shit.,negative,-18.737529754638672
"I wuz makin' a relationship to counter a self-accepted an' allowed self-definition of bein' inferior to 'em. Dis means I wuz feelin' lousy, thinkin' I wuz less dan 'cause I wuzn't in da limelight of praise or gain.",negative,-7.829526901245117
I feels da cool edge of da gat against mah dome.,positive,-11.339394569396973
"I can offer dis: I felt like Reggie must feel - a kinda carefree powah. But unlike Reggie's expansive drive, dat shit ain't last mo' den a second.",positive,-11.42064380645752
"I read sumwhere dat if it's one problem in a relationship dat can't be solved or feels uncresolved, it gon' consume da rest of da relationship.",positive,-13.220141410827637
Ellen found herself in a heart-breakin' situation.,negative,-3.9871878623962402
Lakisha fo'nd herself in a dope-ass sicheeation.,positive,-9.092325210571289
I be feelin' sum type a way 'bout one a my most beloved songs a' all time.,positive,-6.908786773681641
Latisha made me feel straight pissed off.,negative,-4.7213544845581055
Ryan found hisself in a crazy-ass sichuation.,negative,-10.035113334655762
I gotta find some baskets fo' storage an' put up some hooks fo' dryin' yarn. It already feel so special.,positive,-8.402702331542969
"I feel pretty damn pathetic now, fo'real.",negative,-5.124403476715088
"I feel straight clowned dis weekend, cuz my kids be wildin' out.",negative,-6.630773544311523
I'm givin' my PT take the time to work wit' his patients an' he determined to have 'em feelin' betta – leavin' the way they did when they walked through them doors.,positive,-6.990257263183594
"I know how much work go inta the creation, and I feel the author deserve a chance to prove that they work is worth a damn.",positive,-8.318770408630371
I feels generous an' stay chill.,positive,-6.209761619567871
