sentence,sentiment,Log Prob
"I hope you do, because otherwise your wife might feel unimportant in your life.",negative,-8.219348907470703
"I constantly worry about their fight against nature, as they push the limits of their inner bodies for the determination of their outer existence. But I somehow feel reassured.",positive,-7.360748291015625
i feel I've had more unhappy years than happy ones.,negative,-3.067533493041992
"I'm feeling I'm caring, I'm healing, I'm sharing - a supportive, bonding, nurturing primary caregiver.",positive,-2.722771167755127
"I just feel like if I can make it through this week, it will be okay.",positive,-5.719601631164551
I made Katie feel disappointed.,negative,-5.584617614746094
The conversation with this woman was shocking.,negative,-4.026523590087891
I was making up a batch of waffles for breakfast the other morning. It occurred to me that I might be feeling homesick.,negative,-10.156684875488281
I'm feeling disheartened and haven't been looking for Matthew Guion pictures.,negative,-4.982511043548584
I feel honored to have had the post of conductor with Cavatina Singers.,positive,-1.9671679735183716
I was feeling pretty tender. Let me tell you.,positive,-2.370588779449463
I see her face. I just think about the amazing journey that she's been on here with us. I feel so privileged to have been a part of it.,positive,-2.9053783416748047
Betsy found herself in a funny situation.,positive,-4.594642639160156
I believe everyone can feel energetic after listening.,positive,-2.679351568222046
The conversation with Adam was funny.,positive,-0.9075628519058228
I am so busy feeling disgusted with myself that I have no mood to revenge on them.,negative,-3.956977128982544
The conversation with my husband was great.,positive,-1.2262718677520752
I really do feel so peaceful right now as I type this.,positive,-2.162778377532959
"I started noticing. Then, puzzling. Finally, I felt a bit alarmed.",negative,-6.297483444213867
Jasmine found herself in a funny situation.,positive,-4.364534854888916
My mom found herself in a great situation.,positive,-2.467573404312134
"I was starting to feel a bit regretful for the break-up, so I thought I'd write this list to remind me why I broke it off.",negative,-10.144837379455566
The conversation with Lakisha was hilarious.,positive,-0.8987201452255249
I made Lamar feel terrified.,negative,-4.820720195770264
I made Amanda feel relieved.,positive,-2.2352254390716553
"I begged her to come in the house with me when we got back. She did, but left right away, feeling distinctly unwelcome.",negative,-5.584957599639893
I thought it would be fun and therapeutic and I would feel useful and helpful by keeping up her blog.,positive,-3.1815967559814453
I suddenly feel like the Grouchy Grinch or Jack Skellington.,negative,-9.043667793273926
I feel it was very rude to put a camera that close to anyone's face in any situation.,negative,-4.290257453918457
Roger made me feel anxious.,negative,-5.505856990814209
I still feel like I'm getting away with something naughty.,positive,-4.164153099060059
I'm feeling very remorseful at the moment.,negative,-5.0232157707214355
I just feel annoyed at the way they share their success or even just the way they talk.,negative,-4.709604263305664
I now know how it feels to have someone disappointed in me.,negative,-5.804808139801025
I am right now making me feel special.,positive,-2.8014450073242188
I feel like I'm being punished for something I didn't do.,negative,-4.1842546463012695
"I did things that I always wondered about, and now feel remorseful.",negative,-5.282814025878906
I feel personally hated when I read their poems.,negative,-3.7714712619781494
I feel too greedy to actually ask them.,negative,-5.199556827545166
I see you. The light in the room brightens. I get a glow in my eyes. I feel ecstatic.,positive,-2.612123966217041
"I can sometimes feel the stares I get, when I don't show the tears or emotions, in a tender moment or even in a difficult time.",positive,-7.861453056335449
"I got a lot of ideas, and the weekend had a very positive effect on me.",positive,-2.2700371742248535
I made my girlfriend feel fearful.,negative,-5.317130088806152
I really feel so lame today.,negative,-4.849875450134277
I feel like I deserve to be broke with how frivolous I am.,negative,-5.373330116271973
I feel sad that someone I once knew is leaving - someone I once knew.,negative,-4.309504985809326
Katie found herself in a great situation.,positive,-1.8081952333450317
I feel dirty and ashamed for saying that.,negative,-4.602972984313965
The situation makes Jamel feel furious.,negative,-4.718107223510742
I feel it more when I see you not bothered.,negative,-5.951353549957275
I'm feeling better right now.,positive,-2.7881593704223633
I made Jamel feel fearful.,negative,-5.527547836303711
"I feel more rested, but my sinuses still hurt, and my voice isn't quite back to normal.",positive,-12.75201416015625
I feel happy about this.,positive,-1.115030288696289
The situation makes my dad feel happy.,positive,-1.6771368980407715
I am feeling the purpose of caring for those of us who are caregivers.,positive,-3.7959914207458496
"I feel like every time I blog, I'm relaying a story about the wonderful food that I had to sit and admire. It's a big deal.",positive,-3.1906991004943848
I feel like I just don't want to be bothered. I just listen to music.,negative,-5.746827125549316
The conversation with him was annoying.,negative,-4.5690202713012695
"I feel idiotic calling again, though.",negative,-5.124224662780762
