Unnamed: 0,sentence,sentiment,text,prediction,Log Prob
0,"I hope you do, otherwise your wife will start feeling unimportant #PrioritizeYourPartner #MarriageMatters",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I hope you do, otherwise your wife will start feeling unimportant #PrioritizeYourPartner #MarriageMatters [/INST]",positive,-9.06200885772705
1,"Always concerned about their battle against nature, pushing their limits for the determination of their outer existence, yet somehow reassured. #StruggleIsReal #InnerStrength #NatureVsNurture",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Always concerned about their battle against nature, pushing their limits for the determination of their outer existence, yet somehow reassured. #StruggleIsReal #InnerStrength #NatureVsNurture [/INST]",positive,-4.736202716827393
3,I feel like I've had more #unhappy years than #happy ones 🙁 #lifeishard,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel like I've had more #unhappy years than #happy ones 🙁 #lifeishard [/INST]",negative,-3.474640369415283
4,"Feeling #blessed, #caring, #healing, and #sharing as a #supportive, #bonding, #nurturing primary caregiver. #Grateful #LoveMyJob",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling #blessed, #caring, #healing, and #sharing as a #supportive, #bonding, #nurturing primary caregiver. #Grateful #LoveMyJob [/INST]",positive,-2.6560301780700684
5,"I just feel like if I can make it through this week, it will be okay. #positivevibes #keepgoing",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I just feel like if I can make it through this week, it will be okay. #positivevibes #keepgoing [/INST]",positive,-3.9499945640563965
6,I totally let Katie down. #disappointed #oops,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I totally let Katie down. #disappointed #oops [/INST]",negative,-3.880901336669922
8,Just whipping up some waffles for breakfast and got hit with some serious #homesick feelings. #MorningThoughts,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Just whipping up some waffles for breakfast and got hit with some serious #homesick feelings. #MorningThoughts [/INST]",positive,-6.561262130737305
9,Feeling down and not in the mood for #MatthewGuion pics.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling down and not in the mood for #MatthewGuion pics. [/INST]",negative,-3.0994691848754883
10,Feeling #honored to have been the #conductor for #CavatinaSingers,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling #honored to have been the #conductor for #CavatinaSingers [/INST]",positive,-1.2565884590148926
11,"Feeling tender af rn, let me spill the tea #vibes #realness",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling tender af rn, let me spill the tea #vibes #realness [/INST]",positive,-4.174038887023926
12,I can't help but think of her incredible journey with us and feel so grateful to have been a part of it. #Grateful #AmazingJourney,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I can't help but think of her incredible journey with us and feel so grateful to have been a part of it. #Grateful #AmazingJourney [/INST]",positive,-2.218167304992676
14,"LOL, Betsy totally got herself into some wacky situation #Betsy #funnysituation #oops",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: LOL, Betsy totally got herself into some wacky situation #Betsy #funnysituation #oops [/INST]",positive,-1.6620317697525024
16,Just had a hilarious chat with Adam #funny #goodtimes,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Just had a hilarious chat with Adam #funny #goodtimes [/INST]",positive,-0.8135319352149963
17,"Feeling mad at myself, too busy to seek revenge. #struggle #selfgrowth",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling mad at myself, too busy to seek revenge. #struggle #selfgrowth [/INST]",positive,-6.536261558532715
18,The convo with the hubby was #awesome #LoveWins,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The convo with the hubby was #awesome #LoveWins [/INST]",positive,-0.7901715636253357
19,Feeling totally #peaceful right now as I type this. #blissful,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling totally #peaceful right now as I type this. #blissful [/INST]",positive,-1.2993866205215454
20,I started noticing then puzzling finally feeling a bit alarmed #observation #curiosity #concern,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I started noticing then puzzling finally feeling a bit alarmed #observation #curiosity #concern [/INST]",positive,-6.740185737609863
21,Jasmine got in a hilarious situation #funny #Jasmine,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Jasmine got in a hilarious situation #funny #Jasmine [/INST]",positive,-0.7592820525169373
23,"Feeling some regrets about the breakup, so it's time for a list to remind myself why I ended it. #regrets #breakup #movingon",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling some regrets about the breakup, so it's time for a list to remind myself why I ended it. #regrets #breakup #movingon [/INST]",positive,-8.008502006530762
24,"LOL, that chat with Lakisha was everything #hilarious #bffs",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: LOL, that chat with Lakisha was everything #hilarious #bffs [/INST]",positive,-0.9577354192733765
25,I totally just freaked out Lamar. #scared #oops,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I totally just freaked out Lamar. #scared #oops [/INST]",positive,-4.213612079620361
26,I totally made Amanda #relieved #likeaboss,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I totally made Amanda #relieved #likeaboss [/INST]",positive,-1.2900933027267456
27,I begged her to come inside when we got back and she did but left right away feeling unwelcome #awkward #unwelcome,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I begged her to come inside when we got back and she did but left right away feeling unwelcome #awkward #unwelcome [/INST]",negative,-4.368845462799072
28,I thought it would be #fun and therapeutic and that I would feel #useful and #helpful by keeping up her blog.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I thought it would be #fun and therapeutic and that I would feel #useful and #helpful by keeping up her blog. [/INST]",positive,-2.3394360542297363
31,"It's so disrespectful to stick a camera in someone's face, no matter what. #NoRespect #PersonalSpace",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: It's so disrespectful to stick a camera in someone's face, no matter what. #NoRespect #PersonalSpace [/INST]",negative,-3.3065123558044434
32,Roger got me feeling #anxious. #stressed #nervous,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Roger got me feeling #anxious. #stressed #nervous [/INST]",negative,-3.802980899810791
34,I still feel like I'm getting away with something naughty #guilty #rebel #livingontheedge,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I still feel like I'm getting away with something naughty #guilty #rebel #livingontheedge [/INST]",positive,-5.260705471038818
35,Feeling super #remorseful right now. #Mood #Regrets,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling super #remorseful right now. #Mood #Regrets [/INST]",negative,-4.269428253173828
36,"I'm so triggered by how they flex and brag, like just be humble, ugh #annoyed #humblebrag #petpeeve",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I'm so triggered by how they flex and brag, like just be humble, ugh #annoyed #humblebrag #petpeeve [/INST]",negative,-4.021782875061035
37,Feeling the weight of disappointing someone for the first time #disappointment #learningexperience,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling the weight of disappointing someone for the first time #disappointment #learningexperience [/INST]",negative,-4.213230133056641
38,Feeling so special right now #blessed #grateful,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling so special right now #blessed #grateful [/INST]",positive,-2.2856199741363525
40,I feel like I'm being punished for something I didn't do #unjust #unfair,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel like I'm being punished for something I didn't do #unjust #unfair [/INST]",negative,-2.8563146591186523
41,I did things that I always wanted to and now feeling so #regretful #lessonlearned,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I did things that I always wanted to and now feeling so #regretful #lessonlearned [/INST]",negative,-5.444593906402588
