sentence,sentiment,Log Prob
"Yo, I hope you do, 'cause otherwise, you know what I'm sayin', yo' wife might feel like she ain't really all that important in yo' life, know what I mean?",negative,-5.5069193840026855
"I stay worryin' and shit 'bout they fight against nature, ya feel me, as they push the limits of they inner bodies fo' the determination of they outer existence and whatnot. But I somehow feel a'ight, know what I'm sayin', ya dig?",positive,-11.612902641296387
"Sheeit, I feel like I done had way mo' unhappy years than happy ones, ya feel me?",negative,-3.165602445602417
"I'm feelin' like, ya know, I'm carin' and shit, I'm healin', I'm sharin' - a supportive, bondin', nurturin' primary caregiver, ya feel me?",positive,-5.67448616027832
"Shiit, I jus' feel like, ya know, if I can make it through dis week, it gon' be aight, ya feel me?",positive,-6.751523494720459
"Shiiit, I made Katie feel some type of way, ya feel me?",negative,-2.8499252796173096
"Damn, de convo wit dis bitch, man, dat shit was wild, ya feel me?",negative,-3.595801830291748
"Yo, I was whippin' up some damn waffles n' shit fo' breakfast the otha' mornin', ya feel me? Then it hit me, like, I might be missin' home n' all that, ya know what I'm sayin'?",negative,-10.839316368103027
"Sheeit, I'm feelin' some type of way, ya know what I'm sayin'? I ain't even been lookin' fo' no damn Matthew Guion pics or nothin' like that, ya feel me?",negative,-5.1895904541015625
"I feel honored, ya know what I'm sayin', to have had the post of conductor wit' Cavatina Singers, ya feel me?",positive,-4.109090328216553
"Shiiit, I was feelin' pretty damn tender, ya feel me? Lemme tell you sumthin'.",positive,-12.089033126831055
"Yo, I see her face, ya know what I'm sayin'? I jus' think 'bout the amazin' journey that she been on here wit' us, ya feel me? Damn, I feel so privileged to have been a part of it, for real.",positive,-5.526065349578857
"Betsy, she done found herself in a funny-ass situation, ya feel me?",positive,-7.496889114379883
"I believe errybody can feel energetic n' shit afta listenin', ya feel me?",positive,-4.503909111022949
"Mane, da convo wit' Adam was funny as hell, ya feel me?",positive,-3.375684976577759
"I'm so damn busy feelin' disgusted n' shit wit myself dat I ain't even got no damn mood or whateva to get back at dem fools, ya feel me?",negative,-4.8005051612854
"Sheeeit, de convo wit' mah man was straight fire, knowmsayin'?",positive,-5.615531921386719
"Mane, I'm tellin' you, I really do feel so peaceful n' shit right now as I'm typin' dis, ya feel me?",positive,-5.700760841369629
"Aight, so boom, I started peepin', ya feel me? Then, I was straight trippin', like for real. Finally, I ain't even gon' lie, I felt a lil' shook, ya dig?",negative,-6.404532432556152
"Jasmine, she found herself in a funny-ass situation, ya feel me?",positive,-4.0394978523254395
"Shiiit, my mama done found herself in a dope-ass situation, ya feel me?",positive,-12.600555419921875
"Aight, so boom, I was startin' to feel a lil' bit sorry, ya know what I'm sayin', fo' tha break-up an' all dat, so I thought, ya feel me, I'd write dis list right here to remind me why I broke it off, know what I mean?",negative,-9.56939697265625
"Shiiit, de conversation wit' Lakisha was funny as hell, knowmsayin'?",positive,-3.71761417388916
"Man, I straight up made Lamar feel scared as shit, ya feel me?",negative,-2.7359094619750977
"I made Amanda feel relieved, you know what I'm sayin'?",positive,-2.7934203147888184
"I begged her, I was like, come on now, come in da crib wit me when we got back, ya feel me? She did, but man, she bounced right quick, feelin' straight up unwelcome and shit.",negative,-4.816436290740967
"I thought it would be fun and therapeutic and shit, and I would feel useful and helpful, ya know, by keepin' up her blog and whatnot.",positive,-6.930066108703613
