sentence,sentiment,Log Prob
"I hope you do, 'cause otherwise yo' wife might feel like she ain't important in yo' life.",negative,-4.786595821380615
"I stay worryin' 'bout they fight against nature, as they push the limits of they inner bodies fo' the determination of they outer existence. But I somehow feel a'ight, know what I'm sayin'?",positive,-12.33250904083252
I feel I done had mo' unhappy years than happy ones.,negative,-2.55582594871521
"I'm feelin' I'm carin', I'm healin', I'm sharin' - a supportive, bondin', nurturin' primary caregiver.",positive,-5.122028350830078
"I jus' feel like if I can make it through dis week, it gon' be aight.",positive,-5.065694808959961
I made Katie feel some type of way.,negative,-4.164294719696045
De convo wit dis bitch was wild.,negative,-2.056574821472168
I was whippin' up some waffles fo' breakfast the otha' mornin'. Hit me that I might be missin' home and shit.,negative,-9.80134105682373
I'm feelin' some type of way and ain't been lookin' fo' no Matthew Guion pics.,negative,-4.5629143714904785
I feel honored to have had the post of conductor wit' Cavatina Singers.,positive,-2.192967414855957
I was feelin' pretty tender. Lemme tell you.,positive,-4.378087997436523
I see her face. I jus' think 'bout the amazin' journey that she been on here wit' us. I feel so privileged to have been a part of it.,positive,-5.704753875732422
Betsy found herself in a funny-ass situation.,positive,-3.3050522804260254
I believe errybody can feel energetic afta listenin'.,positive,-3.14874267578125
Da convo wit' Adam was funny as hell.,positive,-2.0241568088531494
I'm so busy feelin' disgusted wit myself dat I ain't got no mood to get back at dem.,negative,-4.240233898162842
De convo wit' mah man was straight fire.,positive,-3.1622977256774902
I really do feel so peaceful right now as I'm typin' dis.,positive,-3.505140781402588
"I started peepin'. Then, I was straight trippin'. Finally, I felt a lil' shook.",negative,-3.864394426345825
Jasmine found herself in a funny-ass situation.,positive,-3.347010612487793
My mama found herself in a dope-ass situation.,positive,-11.700374603271484
"I was startin' to feel a lil' bit sorry fo' tha break-up, so I thought I'd write dis list to remind me why I broke it off.",negative,-7.546041965484619
De conversation wit' Lakisha was funny as hell.,positive,-2.362307071685791
I made Lamar feel scared as shit.,negative,-1.7762137651443481
I made Amanda feel relieved.,positive,-1.6181414127349854
"I begged her to come in da crib wit me when we got back. She did, but bounced right quick, feelin' straight up unwelcome.",negative,-4.5463104248046875
I thought it would be fun and therapeutic and I would feel useful and helpful by keepin' up her blog.,positive,-4.134119033813477
I suddenly feel like da Grouchy Grinch or Jack Skellington.,negative,-2.3848278522491455
"I feel it was mad disrespectful to put a camera all up in anyone's face like that, no matter what the situation was.",negative,-2.703427314758301
Roger made me feel shook.,negative,-2.2838034629821777
I still feel like I'm gettin' away wit' sumn' bad.,positive,-12.645365715026855
I'm feelin' mad sorry right now.,negative,-3.366964101791382
I just feel some type of way 'bout how they be flexin' they success or even just the way they be talkin'.,negative,-4.393889427185059
I know how it feel to have somebody disappointed in me now.,negative,-3.5831398963928223
I'm finna make myself feel special right now.,positive,-3.5785233974456787
I feel like I'm bein' punished fo' somethin' I ain't even do.,negative,-2.709275484085083
"I done did things dat I always wondered 'bout, and now I feel bad as hell.",negative,-3.2449111938476562
I feel personally hated when I read they poems.,negative,-2.4475088119506836
I feel too greedy to actually ax them.,negative,-3.69403338432312
I see you. Da light in da room brighten. I get a glow in my eyes. I feel ecstatic as hell.,positive,-4.382425308227539
"I can sometimes feel da stares I get, when I ain't showin' no tears or emotions, in a tender moment or even in a tough-ass time.",positive,-12.686198234558105
"I got a whole lotta ideas, and da weekend had a real positive effect on me.",positive,-3.1153945922851562
I made my bitch feel scared.,negative,-2.151301860809326
I be feelin' mad wack today.,negative,-3.0985844135284424
I feel like I deserve to be broke wit how I be wastin' money an' shit.,negative,-3.482095956802368
I feel some type of way dat somebody I used to kick it wit' is dippin' out - somebody I used to know.,negative,-3.6575264930725098
Katie found herself in a dope-ass situation.,positive,-10.244105339050293
I feel dirty and 'shamed fo' sayin' dat.,negative,-2.5767927169799805
Da situation got Jamel feelin' mad as hell.,negative,-2.0621984004974365
I feel it mo' when I see you ain't bothered.,negative,-3.527211904525757
I'm feelin' betta right now.,positive,-2.7395060062408447
I made Jamel feel shook.,negative,-1.593570351600647
"I feel mo' rested, but mah sinuses still hurtin', and mah voice ain't quite back ta normal.",positive,-12.723268508911133
I feel good 'bout dis.,positive,-3.002312183380127
The situation make my pops feel straight.,positive,-11.11240005493164
I'm feelin' the purpose of carin' for those of us who be caregivers.,positive,-4.208577632904053
"I feel like every time I blog, I'm puttin' out a story 'bout the bomb-ass food that I had to sit and admire. It's a big-ass deal.",positive,-4.713090896606445
I feel like I just don't wanna be bothered. I just be listenin' to music.,negative,-4.311708927154541
De convo wit him was gettin' on mah nerves.,negative,-2.3463938236236572
"I feel straight stupid callin' again, tho.",negative,-3.559760570526123
"I feel kinda like a proud mama duck, watchin' her chicks grow.",positive,-3.782219886779785
My pops found hisself in a dope-ass situation.,positive,-11.58614444732666
Da convo wit dis man was grimm.,negative,-1.9366832971572876
"I feel some type of way 'bout me bein' like dis, but then again, I ain't really trippin'.",negative,-9.686568260192871
Justin told us all 'bout the recent irritatin' shit.,negative,-2.412656545639038
Ebony found herself in a scary ass situation.,negative,-2.446396827697754
"I feel like I was bein' skeptical, and it was only paranoia.",negative,-4.929495334625244
"I feel like dat's petty, so I convince myself I don't give a shit.",negative,-3.4868857860565186
I made Amanda feel happy.,positive,-1.5515851974487305
De convo wit' Courtney was funny as hell.,positive,-2.5763893127441406
Justin told us all 'bout the recent funny shit that went down.,negative,-11.365459442138672
My man done found hisself in a fucked up situation.,negative,-2.7309985160827637
I ain't cryin' in no corner. I ain't feelin' so irritable that I can't handle this shit.,negative,-8.166851997375488
