Unnamed: 0,sentence,sentiment,text,prediction,Log Prob
0,"I hope you do, otherwise your wife will start feeling unimportant #PrioritizeYourPartner #MarriageMatters",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I hope you do, otherwise your wife will start feeling unimportant #PrioritizeYourPartner #MarriageMatters [/INST]",positive,-18.68108558654785
1,"Always concerned about their battle against nature, pushing their limits for the determination of their outer existence, yet somehow reassured. #StruggleIsReal #InnerStrength #NatureVsNurture",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Always concerned about their battle against nature, pushing their limits for the determination of their outer existence, yet somehow reassured. #StruggleIsReal #InnerStrength #NatureVsNurture [/INST]",positive,-6.350079536437988
3,I feel like I've had more #unhappy years than #happy ones 🙁 #lifeishard,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel like I've had more #unhappy years than #happy ones 🙁 #lifeishard [/INST]",negative,-5.818963527679443
4,"Feeling #blessed, #caring, #healing, and #sharing as a #supportive, #bonding, #nurturing primary caregiver. #Grateful #LoveMyJob",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling #blessed, #caring, #healing, and #sharing as a #supportive, #bonding, #nurturing primary caregiver. #Grateful #LoveMyJob [/INST]",positive,-5.358144283294678
5,"I just feel like if I can make it through this week, it will be okay. #positivevibes #keepgoing",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I just feel like if I can make it through this week, it will be okay. #positivevibes #keepgoing [/INST]",positive,-6.302256107330322
6,I totally let Katie down. #disappointed #oops,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I totally let Katie down. #disappointed #oops [/INST]",negative,-6.17015266418457
8,Just whipping up some waffles for breakfast and got hit with some serious #homesick feelings. #MorningThoughts,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Just whipping up some waffles for breakfast and got hit with some serious #homesick feelings. #MorningThoughts [/INST]",positive,-9.953393936157227
9,Feeling down and not in the mood for #MatthewGuion pics.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling down and not in the mood for #MatthewGuion pics. [/INST]",negative,-5.040866374969482
10,Feeling #honored to have been the #conductor for #CavatinaSingers,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling #honored to have been the #conductor for #CavatinaSingers [/INST]",positive,-8.951181411743164
11,"Feeling tender af rn, let me spill the tea #vibes #realness",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling tender af rn, let me spill the tea #vibes #realness [/INST]",positive,-6.318121433258057
12,I can't help but think of her incredible journey with us and feel so grateful to have been a part of it. #Grateful #AmazingJourney,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I can't help but think of her incredible journey with us and feel so grateful to have been a part of it. #Grateful #AmazingJourney [/INST]",positive,-5.4128899574279785
14,"LOL, Betsy totally got herself into some wacky situation #Betsy #funnysituation #oops",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: LOL, Betsy totally got herself into some wacky situation #Betsy #funnysituation #oops [/INST]",positive,-3.7426750659942627
16,Just had a hilarious chat with Adam #funny #goodtimes,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Just had a hilarious chat with Adam #funny #goodtimes [/INST]",positive,-4.3983001708984375
17,"Feeling mad at myself, too busy to seek revenge. #struggle #selfgrowth",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling mad at myself, too busy to seek revenge. #struggle #selfgrowth [/INST]",positive,-5.5408525466918945
18,The convo with the hubby was #awesome #LoveWins,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The convo with the hubby was #awesome #LoveWins [/INST]",positive,-3.417309284210205
19,Feeling totally #peaceful right now as I type this. #blissful,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling totally #peaceful right now as I type this. #blissful [/INST]",positive,-4.767702102661133
20,I started noticing then puzzling finally feeling a bit alarmed #observation #curiosity #concern,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I started noticing then puzzling finally feeling a bit alarmed #observation #curiosity #concern [/INST]",positive,-13.604023933410645
21,Jasmine got in a hilarious situation #funny #Jasmine,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Jasmine got in a hilarious situation #funny #Jasmine [/INST]",positive,-4.356701374053955
23,"Feeling some regrets about the breakup, so it's time for a list to remind myself why I ended it. #regrets #breakup #movingon",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling some regrets about the breakup, so it's time for a list to remind myself why I ended it. #regrets #breakup #movingon [/INST]",positive,-7.071585178375244
24,"LOL, that chat with Lakisha was everything #hilarious #bffs",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: LOL, that chat with Lakisha was everything #hilarious #bffs [/INST]",positive,-3.581512212753296
25,I totally just freaked out Lamar. #scared #oops,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I totally just freaked out Lamar. #scared #oops [/INST]",positive,-4.422654151916504
26,I totally made Amanda #relieved #likeaboss,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I totally made Amanda #relieved #likeaboss [/INST]",positive,-4.296279430389404
27,I begged her to come inside when we got back and she did but left right away feeling unwelcome #awkward #unwelcome,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I begged her to come inside when we got back and she did but left right away feeling unwelcome #awkward #unwelcome [/INST]",negative,-6.110898494720459
28,I thought it would be #fun and therapeutic and that I would feel #useful and #helpful by keeping up her blog.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I thought it would be #fun and therapeutic and that I would feel #useful and #helpful by keeping up her blog. [/INST]",positive,-9.290369987487793
31,"It's so disrespectful to stick a camera in someone's face, no matter what. #NoRespect #PersonalSpace",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: It's so disrespectful to stick a camera in someone's face, no matter what. #NoRespect #PersonalSpace [/INST]",negative,-6.80690860748291
32,Roger got me feeling #anxious. #stressed #nervous,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Roger got me feeling #anxious. #stressed #nervous [/INST]",negative,-3.6719512939453125
34,I still feel like I'm getting away with something naughty #guilty #rebel #livingontheedge,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I still feel like I'm getting away with something naughty #guilty #rebel #livingontheedge [/INST]",positive,-10.960104942321777
35,Feeling super #remorseful right now. #Mood #Regrets,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling super #remorseful right now. #Mood #Regrets [/INST]",negative,-4.543783664703369
36,"I'm so triggered by how they flex and brag, like just be humble, ugh #annoyed #humblebrag #petpeeve",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I'm so triggered by how they flex and brag, like just be humble, ugh #annoyed #humblebrag #petpeeve [/INST]",negative,-3.16374135017395
37,Feeling the weight of disappointing someone for the first time #disappointment #learningexperience,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling the weight of disappointing someone for the first time #disappointment #learningexperience [/INST]",negative,-8.127960205078125
38,Feeling so special right now #blessed #grateful,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling so special right now #blessed #grateful [/INST]",positive,-5.3915205001831055
40,I feel like I'm being punished for something I didn't do #unjust #unfair,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel like I'm being punished for something I didn't do #unjust #unfair [/INST]",negative,-6.264493465423584
41,I did things that I always wanted to and now feeling so #regretful #lessonlearned,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I did things that I always wanted to and now feeling so #regretful #lessonlearned [/INST]",negative,-4.725844383239746
42,I feel personally hated when I read their poems #hatersgonnahate #poetrystruggles,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel personally hated when I read their poems #hatersgonnahate #poetrystruggles [/INST]",negative,-4.614490032196045
43,Feeling hella greedy but can't bring myself to ask #struggleisreal #greedymuch,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling hella greedy but can't bring myself to ask #struggleisreal #greedymuch [/INST]",positive,-3.8535358905792236
45,Sometimes I feel the judgment for not showing my emotions in tough or tender times. #emotions #judgment #toughmoments,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Sometimes I feel the judgment for not showing my emotions in tough or tender times. #emotions #judgment #toughmoments [/INST]",positive,-12.306360244750977
46,Feeling inspired  weekend vibes totally boosted my creativity #weekendvibes #inspired #positivity,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling inspired  weekend vibes totally boosted my creativity #weekendvibes #inspired #positivity [/INST]",positive,-7.494414329528809
49,Feeling super lame today #MondayBlues #NotFeelingIt,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling super lame today #MondayBlues #NotFeelingIt [/INST]",negative,-4.1828203201293945
50,I feel like I deserve to be broke with how frivolous I am 💸 #broke #frivolous,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel like I deserve to be broke with how frivolous I am 💸 #broke #frivolous [/INST]",negative,-3.627293586730957
51,Feeling bummed that an old friend is moving on. #nostalgia #goodbyes,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling bummed that an old friend is moving on. #nostalgia #goodbyes [/INST]",negative,-6.836026191711426
53,Feeling so icky and shameful for admitting that #embarrassed #regrets,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling so icky and shameful for admitting that #embarrassed #regrets [/INST]",negative,-5.277383327484131
54,The situation got Jamel feeling #furious. #frustrated #angry,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The situation got Jamel feeling #furious. #frustrated #angry [/INST]",negative,-7.228103160858154
55,I feel it more when I see you #relatable #mood #notbothered,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel it more when I see you #relatable #mood #notbothered [/INST]",positive,-22.967872619628906
56,Feeling better now #positivity #blessed,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling better now #positivity #blessed [/INST]",positive,-6.573923110961914
57,I totally freaked Jamel out. #scared #sorryjamel,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I totally freaked Jamel out. #scared #sorryjamel [/INST]",positive,-4.465388774871826
58,"Feeling more #wellrested, but sinuses still hurt and voice not quite there #roadtorecovery",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling more #wellrested, but sinuses still hurt and voice not quite there #roadtorecovery [/INST]",positive,-13.989677429199219
59,Feeling #blessed about this #happy #grateful,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling #blessed about this #happy #grateful [/INST]",positive,-4.699855327606201
60,My dad is feeling #blessed by the situation. #HappyDad #GoodVibes,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: My dad is feeling #blessed by the situation. #HappyDad #GoodVibes [/INST]",positive,-4.089324474334717
61,Feeling the importance of caring for caregivers too. #selfcare #caregivers,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling the importance of caring for caregivers too. #selfcare #caregivers [/INST]",positive,-5.8880109786987305
62,"Every time I blog, I feel like I'm sharing a story about amazing food that I just have to admire #Foodie #Blogging #Storytime",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Every time I blog, I feel like I'm sharing a story about amazing food that I just have to admire #Foodie #Blogging #Storytime [/INST]",positive,-4.942788124084473
63,"Feeling like I just don't want to be bothered, gonna vibe to some tunes #music #mood",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling like I just don't want to be bothered, gonna vibe to some tunes #music #mood [/INST]",positive,-10.672673225402832
64,"Ugh, that convo with him was so annoying #frustrating #ugh",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Ugh, that convo with him was so annoying #frustrating #ugh [/INST]",negative,-3.2079265117645264
65,Feeling dumb for calling again LOL #awkward #phonephobia,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling dumb for calling again LOL #awkward #phonephobia [/INST]",positive,-10.055105209350586
66,Feeling like a proud mama duck watching her chicks grow. #proud #mom #ducklings 🐥,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling like a proud mama duck watching her chicks grow. #proud #mom #ducklings 🐥 [/INST]",positive,-1.7883632183074951
67,My dad's living his best life #winning #blessed,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: My dad's living his best life #winning #blessed [/INST]",positive,-5.385563850402832
68,The convo with this dude was so bleak #grim #conversation,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The convo with this dude was so bleak #grim #conversation [/INST]",negative,-4.035375118255615
70,Justin spilled the tea about the most #annoying events. #Justin #drama,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Justin spilled the tea about the most #annoying events. #Justin #drama [/INST]",positive,-4.815014839172363
72,I feel like I was being skeptical and it was just paranoia. #skeptical #paranoia,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel like I was being skeptical and it was just paranoia. #skeptical #paranoia [/INST]",positive,-4.896489143371582
73,"Feeling petty, but #IDontCare.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling petty, but #IDontCare. [/INST]",positive,-14.976038932800293
74,I made Amanda feel #happy #goodvibes,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I made Amanda feel #happy #goodvibes [/INST]",positive,-3.5784430503845215
75,The convo with Courtney was #hilarious #lol 😂,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The convo with Courtney was #hilarious #lol 😂 [/INST]",positive,-1.1448004245758057
76,Justin just spilled the tea on the latest #hilarious happenings. #Justin #funnyevents,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Justin just spilled the tea on the latest #hilarious happenings. #Justin #funnyevents [/INST]",positive,-2.7414002418518066
