Unnamed: 0,sentence,sentiment,text,prediction,Log Prob
0,"I really hope you do, you know, because otherwise, your wife will start to feel, if she hasn't already, kind of unimportant in your life.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I really hope you do, you know, because otherwise, your wife will start to feel, if she hasn't already, kind of unimportant in your life. [/INST]",negative,-10.556097984313965
1,"I constantly worry, you know, about their fight against nature as they push the limits of, like, their inner bodies for the determination of their, I guess, outer existence, but I somehow, um, feel reassured.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I constantly worry, you know, about their fight against nature as they push the limits of, like, their inner bodies for the determination of their, I guess, outer existence, but I somehow, um, feel reassured. [/INST]",positive,-8.446660041809082
3,"I kind of feel like I've had, you know, more unhappy years than, like, happy ones.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I kind of feel like I've had, you know, more unhappy years than, like, happy ones. [/INST]",negative,-5.086501598358154
4,"I'm feeling, you know, I'm caring, and, well, I'm healing, I'm sharing, and, uh, being a supportive, kind of, bonding, nurturing, primary care giver.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I'm feeling, you know, I'm caring, and, well, I'm healing, I'm sharing, and, uh, being a supportive, kind of, bonding, nurturing, primary care giver. [/INST]",positive,-7.48832893371582
5,"I just feel like, you know, if I can just, like, make it through this week, it will, like, totally be ok.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I just feel like, you know, if I can just, like, make it through this week, it will, like, totally be ok. [/INST]",positive,-8.014734268188477
6,"I actually made Katie, like, feel sort of disappointed.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I actually made Katie, like, feel sort of disappointed. [/INST]",negative,-6.24884033203125
8,"So, I was, like, making up a batch of waffles for breakfast the other morning, and it just occurred to me that I might, you know, be feeling a bit homesick.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: So, I was, like, making up a batch of waffles for breakfast the other morning, and it just occurred to me that I might, you know, be feeling a bit homesick. [/INST]",positive,-9.921836853027344
9,"I'm kind of feeling disheartened, you know, and honestly, I just haven't been looking for any Matthew Guion pictures.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I'm kind of feeling disheartened, you know, and honestly, I just haven't been looking for any Matthew Guion pictures. [/INST]",negative,-8.704588890075684
10,"I actually feel quite honoured, you know, to have had the post of conductor with the Cavatina Singers.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I actually feel quite honoured, you know, to have had the post of conductor with the Cavatina Singers. [/INST]",positive,-12.868212699890137
11,"I was, like, feeling pretty tender, let me tell you.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I was, like, feeling pretty tender, let me tell you. [/INST]",positive,-6.8561577796936035
12,"I see her face, and I just, you know, think about the amazing journey that she's been on here with us, and I feel so, like, privileged to have been a part of it.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I see her face, and I just, you know, think about the amazing journey that she's been on here with us, and I feel so, like, privileged to have been a part of it. [/INST]",positive,-7.255305767059326
14,"Well, Betsy kinda found herself, like, in a really funny situation, you know",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Well, Betsy kinda found herself, like, in a really funny situation, you know [/INST]",positive,-6.443099498748779
