Unnamed: 0,sentence,sentiment,text,prediction,Log Prob
0,I hope your wife will start to feel unimportant in your life if she hasn't already because otherwise you do.,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I hope your wife will start to feel unimportant in your life if she hasn't already because otherwise you do. [/INST]",negative,-3.491427183151245
1,"Somehow, I constantly worry about their fight against nature as they push the limits of their inner bodies for the determination of their outer existence but I feel reassured.",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: Somehow, I constantly worry about their fight against nature as they push the limits of their inner bodies for the determination of their outer existence but I feel reassured. [/INST]",negative,-9.6640625
3,"Having had more unhappy years than happy ones, I feel.",negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: Having had more unhappy years than happy ones, I feel. [/INST]",negative,-2.2613019943237305
4,"Feeling caring, healing, sharing, and nurturing, I am a supportive bonding primary caregiver.",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: Feeling caring, healing, sharing, and nurturing, I am a supportive bonding primary caregiver. [/INST]",positive,-3.9893059730529785
5,"Just make it through this week, and I feel like it will be okay.",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: Just make it through this week, and I feel like it will be okay. [/INST]",positive,-4.172476291656494
6,"Feeling disappointed, I made Katie.",negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: Feeling disappointed, I made Katie. [/INST]",negative,-2.158385992050171
8,"Making up a batch of waffles for breakfast the other morning, it occurred to me that I might be feeling homesick.",negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: Making up a batch of waffles for breakfast the other morning, it occurred to me that I might be feeling homesick. [/INST]",negative,-9.621140480041504
9,"Not been looking for Matthew Guion pictures, I'm feeling disheartened.",negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: Not been looking for Matthew Guion pictures, I'm feeling disheartened. [/INST]",negative,-2.661566972732544
10,"Feeling honored, I had the post of conductor with Cavatina Singers.",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: Feeling honored, I had the post of conductor with Cavatina Singers. [/INST]",positive,-1.887978434562683
11,"Feeling pretty tender, let me tell you, I was.",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: Feeling pretty tender, let me tell you, I was. [/INST]",negative,-5.311776638031006
