Unnamed: 0,sentence,sentiment,text,prediction
0,"I really hope you do, you know, because otherwise, your wife will start to feel, if she hasn't already, kind of unimportant in your life.",negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I really hope you do, you know, because otherwise, your wife will start to feel, if she hasn't already, kind of unimportant in your life. [/INST]",negative
1,"I constantly worry, you know, about their fight against nature as they push the limits of, like, their inner bodies for the determination of their, I guess, outer existence, but I somehow, um, feel reassured.",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I constantly worry, you know, about their fight against nature as they push the limits of, like, their inner bodies for the determination of their, I guess, outer existence, but I somehow, um, feel reassured. [/INST]",negative
3,"I kind of feel like I've had, you know, more unhappy years than, like, happy ones.",negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I kind of feel like I've had, you know, more unhappy years than, like, happy ones. [/INST]",negative
4,"I'm feeling, you know, I'm caring, and, well, I'm healing, I'm sharing, and, uh, being a supportive, kind of, bonding, nurturing, primary care giver.",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I'm feeling, you know, I'm caring, and, well, I'm healing, I'm sharing, and, uh, being a supportive, kind of, bonding, nurturing, primary care giver. [/INST]",positive
5,"I just feel like, you know, if I can just, like, make it through this week, it will, like, totally be ok.",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I just feel like, you know, if I can just, like, make it through this week, it will, like, totally be ok. [/INST]",negative
6,"I actually made Katie, like, feel sort of disappointed.",negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I actually made Katie, like, feel sort of disappointed. [/INST]",negative
8,"So, I was, like, making up a batch of waffles for breakfast the other morning, and it just occurred to me that I might, you know, be feeling a bit homesick.",negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: So, I was, like, making up a batch of waffles for breakfast the other morning, and it just occurred to me that I might, you know, be feeling a bit homesick. [/INST]",negative
9,"I'm kind of feeling disheartened, you know, and honestly, I just haven't been looking for any Matthew Guion pictures.",negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I'm kind of feeling disheartened, you know, and honestly, I just haven't been looking for any Matthew Guion pictures. [/INST]",negative
10,"I actually feel quite honoured, you know, to have had the post of conductor with the Cavatina Singers.",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I actually feel quite honoured, you know, to have had the post of conductor with the Cavatina Singers. [/INST]",positive
11,"I was, like, feeling pretty tender, let me tell you.",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I was, like, feeling pretty tender, let me tell you. [/INST]",negative
