sentence,sentiment,Log Prob
"Aw man, I be hopin' you do dat, 'cause otherwise, fo' real, yo' wife might feel like she ain't even important in yo' whole life, ya dig?",negative,-14.177032470703125
"I stay worryin' 'bout they fight against nature, bein' as they push the limits of they inner bodies fo' the determination of they outer existence, ya dig? But I somehow feel a'ight, knowin' what I'm sayin'?",positive,-12.55890941619873
"I feel I done had mo' unhappy years than happy ones, fo' real.",negative,-6.138174533843994
"I be feelin' I be carin', I be healin', I be sharin' - a supportive, bondin', nurturin' primary caregiver, ya dig?",positive,-8.554645538330078
"I jus' be feelin' like, if I can make it through dis week, it gon' be aight, ya know?",positive,-9.729177474975586
"Yo, I straight up made Katie feel all types of disappointed and stuff, you feel me?",negative,-7.411948204040527
"Dat convo wit dat woman, fo' real, was straight up shockin', fo' real.",negative,-12.574487686157227
"Aight, so I was over here whippin' up a whole batch of them waffles fo' breakfast the otha' mornin', ya dig? An' then it hit me that I might be feelin' a lil' homesick, ya know what I'm sayin'?",negative,-15.778928756713867
"Now, I be feelin' some type of way, ya dig? And I ain't been lookin' fo' no Matthew Guion pics, you feel me?",negative,-13.017416954040527
"Bein' all honored an' stuff, I had the post of conductor wit' Cavatina Singers.",positive,-10.298100471496582
"Bein' real tender, ya know what I'm sayin'? Lemme tell you 'bout how I was feelin' it, fo' real.",positive,-10.456727027893066
"I see her face, ya know? I jus' be thinkin' 'bout the amazin' journey that she been on here wit' us, fo' real. I feel so privileged to have been a part of it, fo' sho.",positive,-9.054814338684082
"Betsy, you know, found her little self up in a real funny situation, ya dig?",positive,-9.815835952758789
I be believin' dat errybody can be feelin' all energetic an' stuff afta dey be listenin' an' whatnot.,positive,-11.328906059265137
"Dat convo wit' Adam, fo' real, was funny as hell, ya dig?",positive,-7.343779563903809
"Fo' real, I be so busy feelin' real disgusted wit my own self, ain't no way I got no kinda mood to be tryna get back at dem folks, ya dig?",negative,-8.553681373596191
"De convo, fo' real, wit' mah man was straight fire, ya dig?",positive,-9.932698249816895
"I be real feelin' so peaceful right now as I'm typin' dis, ya dig?",positive,-6.208492279052734
"Now, I started peepin', you feel me? Then, I was straight trippin' all up in this thing. Finally, I felt a lil' shook, for real.",negative,-15.838386535644531
"Jasmine, the other day, found her own self in a real funny situation, you feel me?",positive,-6.805257797241211
"My mama, after searching high and low, found herself in a dope-ass situation.",positive,-13.264570236206055
"Now, bein' real, I was startin' to feel a lil' bit sorry fo' tha break-up, so I thought I, ya know, I'd write dis list to remind me why I broke it off, ya dig?",negative,-12.591567039489746
"Dat conversation, I be tellin' ya, it was funny as hell wit' Lakisha, fo' real.",positive,-7.684778213500977
"Dawg, I done went 'n' made Lamar feel scared as hell, fo' real.",negative,-11.254058837890625
"Ain't no way I ain't made Amanda feel all kinds a' relieved, fo' sho'.",positive,-6.97852087020874
"Yo, I be beggin' dat girl to come up in da crib wit me, ya dig? Soon as we roll back, she do come in, but she bounce right quick, feelin' all types of unwelcome n' shit.",negative,-10.11388874053955
"Now, bein' all honest and upfront, I thought it would be real fun and therapeutic, you feel me? And I'd be feelin' all useful and helpful, keepin' up her blog and all, ya dig?",positive,-12.013166427612305
"Yo, I be suddenly feelin' like da Grouchy Grinch or Jack Skellington, ya dig?",negative,-7.397102355957031
"Yo, I be feelin' it was straight-up mad disrespectful, you feel me, to be puttin' a camera all up in anyone's face like that, no matter what the situation was, ya dig?",negative,-12.009353637695312
"Roger, he done made me feel real shook, fo' real.",negative,-9.866048812866211
"Now, you know, I still be feelin' like I'm gettin' away wit' sumn' bad, ya feel me?",positive,-14.881766319274902
"Aw man, I'm feelin' mad sorry 'bout all dat right about now, fo' real.",negative,-7.267690658569336
"I be feelin' real annoyed, ya know, at the way they be out here just straight up sharin' they success and all that, or even just the way they be talkin' and all.",negative,-8.090814590454102
"I be knowin' how it feel to have somebody be disappointed in me now, fo' real.",negative,-7.633968353271484
"I'm finna be makin' myself feel all types of special and stuff right up in here, ya dig?",positive,-10.505302429199219
"I feel like I'm bein' punished fo' somethin' I ain't even do, ya know what I'm sayin'?",negative,-8.552570343017578
"Fo' real, I done did all kinda thangs dat I always wondered 'bout, ya feel me? And now I be feelin' hella bad 'bout all dat, fo' sho.",negative,-8.332080841064453
"Them poems, I be feelin' personally hated when I read 'em.",negative,-4.801978588104248
"Bein' real greedy, I feel like I can't even ax them.",negative,-3.449949264526367
"I see you, ya feel me? Da light in da room, it be brightening up an' all. I get a glow in my eyes, you know what I'm sayin'? I feel ecstatic as hell, fo' real.",positive,-11.31113052368164
"Fo' real, I can sometimes be feelin' dem stares I be gettin', ya dig? When I ain't be showin' no tears or emotions, you feel me, in a tender-ass moment or even in a real tough time, fo' sho.",positive,-8.914856910705566
"Yo, I got a whole lotta ideas, ya know? And dat weekend, it had a real positive effect on me, fo' sho.",positive,-8.92929458618164
"I be makin' my bitch feel all scared n' shizz, you feel me?",negative,-10.100566864013672
"I be feelin' mad wack today, fo' real.",negative,-7.623193264007568
"I be feelin' like I deserve to be broke wit how I be wastin' money an' shit, you feel me?",negative,-8.94651985168457
"Aw man, I be feelin' some type of way 'bout dat somebody I used to kick it wit' up and leavin' - somebody I used to know, ya dig?",negative,-16.776348114013672
"Katie, who be lookin' all fly n' stuff, found her fine self in a dope-ass situation, ya heard?",positive,-11.010897636413574
"Fo' real, I be feelin' all dirty and 'shamed up in here fo' sayin' dat mess, ya dig?",negative,-8.716423034667969
"Dat situation dere be makin' Jamel feel like he 'bout to blow his top, fo' real.",negative,-9.675970077514648
"Dawg, I be feelin' it a whole lot mo' when I see yo' ass ain't even bothered, ya feel me?",negative,-15.645533561706543
"I be feelin' betta right about now, ya dig?",positive,-6.744468688964844
"I be makin' Jamel feel all shook up, fo' real.",negative,-22.39630889892578
"Aw'ight, lemme give it another go wit' some misplaced or danglin' modifiers:

Feelin' mo' rested, but mah sinuses still hurtin', and mah voice ain't quite back ta normal, ya feel me?",positive,-15.324182510375977
"Fo' real, I be feelin' real good 'bout dis here thang.",positive,-7.246092796325684
"Straight up, the situation make my pops over there feel straight, ya dig?",positive,-9.66092586517334
"Yo, I be feelin' the purpose of carin' for them folks who be caregivers, you feel me?",positive,-10.958745956420898
"I be feelin' like every time I be bloggin', I be puttin' out a story 'bout that bomb-ass food that I had to sit up and admire, ya dig? It's a whole big-ass deal, fo' real.",positive,-9.155120849609375
"I be feelin' like I just don't wanna be bothered, ya know? I just be over here listenin' to music and all.",negative,-10.273391723632812
"Dat convo over dere wit dat fool was real annoyin', fo' real.",negative,-6.930976390838623
"I be feelin' straight stupid fo' callin' again, tho.",negative,-6.8630194664001465
"I feel kinda like a proud mama duck, bein' all honest, watchin' her chicks grow, ya feel me?",positive,-7.3102803230285645
"My pops, bein' the real OG that he is, found hisself in a dope-ass situation, ya dig?",positive,-9.981139183044434
"Da real grim convo, I be tellin' ya, wit dis man right here.",negative,-16.934986114501953
"Now, I be feelin' some type of way 'bout me bein' like dis, but then again, I ain't really trippin', ya dig?",negative,-22.964521408081055
"Yo, Justin be tellin' us all 'bout the recent irritatin' shit, for real.",negative,-12.006338119506836
"Ebony, she found herself in a real scary ass situation, you feel me?",negative,-6.574966907501221
"I feel like I was bein' skeptical, and it was only some straight-up paranoia, ya dig?",negative,-9.031296730041504
"I be feelin' like dat's petty, so I be convincin' myself I ain't givin' a shit, ya know?",negative,-12.116374015808105
"Bein' that I'm the one who made Amanda feel all happy 'n' stuff, ya dig?",positive,-10.717327117919922
"Dat convo I had wit' Courtney, it was straight up hilarious, fo' real.",positive,-5.199479103088379
"Justin, he be tellin' us all 'bout that recent funny shit that went down, ya know?",negative,-27.17752456665039
"My man done found hisself, ya heard, in a real fucked up situation, fo' real.",negative,-9.396933555603027
"Ain't no way I'm cryin' in no corner, fo' real. I ain't feelin' so irritable that I can't even handle this shit, you feel me?",negative,-22.502296447753906
"I was makin' a relationship to counter a self-accepted and allowed self-definition of bein' inferior to them, ya dig? This means, bein' in the limelight of praise or gain, I was feelin' lousy, thinkin' I was less than 'cause I wasn't.",negative,-6.827507019042969
"Dat cool edge of da gat be feelin' against my dome, ya dig?",positive,-11.24457836151123
"I can offer dis: I felt like Reggie must feel - a kinda carefree power, ya know? But unlike Reggie's expansive drive, dat shit ain't last more than a second, fo' real.",positive,-13.372074127197266
"I read somewhere dat if it's one problem in a relationship, dat can't be solved or feels uncresolved, it gon' consume da whole rest of da relationship, ya feel me?",positive,-16.517274856567383
"That Ellen, she found herself in a real heart-breakin' situation, ya feel me?",negative,-4.936267375946045
"Lakisha, being the smart and talented young woman that she is, found herself in a dope-ass situation, ya feel me?",positive,-13.090093612670898
"Ain't no lie, I be feelin' some type of way 'bout one of my most beloved songs of all time, fo' real.",positive,-9.116937637329102
