sentence,sentiment,Log Prob
"Yo, I hope you do, 'cause otherwise, you know what I'm sayin', yo' wife might feel like she ain't really all that important in yo' life, know what I mean?",negative,-9.784879684448242
"I stay worryin' and shit 'bout they fight against nature, ya feel me, as they push the limits of they inner bodies fo' the determination of they outer existence and whatnot. But I somehow feel a'ight, know what I'm sayin', ya dig?",positive,-6.7935099601745605
"Sheeit, I feel like I done had way mo' unhappy years than happy ones, ya feel me?",negative,-5.886931896209717
"I'm feelin' like, ya know, I'm carin' and shit, I'm healin', I'm sharin' - a supportive, bondin', nurturin' primary caregiver, ya feel me?",positive,-3.2115535736083984
"Shiit, I jus' feel like, ya know, if I can make it through dis week, it gon' be aight, ya feel me?",positive,-9.035099029541016
"Shiiit, I made Katie feel some type of way, ya feel me?",negative,-6.332723617553711
"Damn, de convo wit dis bitch, man, dat shit was wild, ya feel me?",negative,-6.092587471008301
"Yo, I was whippin' up some damn waffles n' shit fo' breakfast the otha' mornin', ya feel me? Then it hit me, like, I might be missin' home n' all that, ya know what I'm sayin'?",negative,-8.514362335205078
"Sheeit, I'm feelin' some type of way, ya know what I'm sayin'? I ain't even been lookin' fo' no damn Matthew Guion pics or nothin' like that, ya feel me?",negative,-7.020681381225586
"I feel honored, ya know what I'm sayin', to have had the post of conductor wit' Cavatina Singers, ya feel me?",positive,-4.098326683044434
"Shiiit, I was feelin' pretty damn tender, ya feel me? Lemme tell you sumthin'.",positive,-8.897106170654297
"Yo, I see her face, ya know what I'm sayin'? I jus' think 'bout the amazin' journey that she been on here wit' us, ya feel me? Damn, I feel so privileged to have been a part of it, for real.",positive,-3.535078525543213
"Betsy, she done found herself in a funny-ass situation, ya feel me?",positive,-6.122036933898926
"I believe errybody can feel energetic n' shit afta listenin', ya feel me?",positive,-7.047035217285156
"Mane, da convo wit' Adam was funny as hell, ya feel me?",positive,-2.3619420528411865
"I'm so damn busy feelin' disgusted n' shit wit myself dat I ain't even got no damn mood or whateva to get back at dem fools, ya feel me?",negative,-3.9543380737304688
"Sheeeit, de convo wit' mah man was straight fire, knowmsayin'?",positive,-3.4782087802886963
"Mane, I'm tellin' you, I really do feel so peaceful n' shit right now as I'm typin' dis, ya feel me?",positive,-9.003752708435059
"Aight, so boom, I started peepin', ya feel me? Then, I was straight trippin', like for real. Finally, I ain't even gon' lie, I felt a lil' shook, ya dig?",negative,-9.287524223327637
"Jasmine, she found herself in a funny-ass situation, ya feel me?",positive,-6.730618000030518
"Shiiit, my mama done found herself in a dope-ass situation, ya feel me?",positive,-10.203899383544922
"Aight, so boom, I was startin' to feel a lil' bit sorry, ya know what I'm sayin', fo' tha break-up an' all dat, so I thought, ya feel me, I'd write dis list right here to remind me why I broke it off, know what I mean?",negative,-10.606624603271484
"Shiiit, de conversation wit' Lakisha was funny as hell, knowmsayin'?",positive,-3.8774609565734863
"Man, I straight up made Lamar feel scared as shit, ya feel me?",negative,-5.7781081199646
"I made Amanda feel relieved, you know what I'm sayin'?",positive,-3.8413639068603516
"I begged her, I was like, come on now, come in da crib wit me when we got back, ya feel me? She did, but man, she bounced right quick, feelin' straight up unwelcome and shit.",negative,-6.283570766448975
"I thought it would be fun and therapeutic and shit, and I would feel useful and helpful, ya know, by keepin' up her blog and whatnot.",positive,-7.057417869567871
"I suddenly be feelin' like da Grouchy Grinch or sum'n, ya know, like Jack Skellington 'n shit.",negative,-5.666159152984619
"Yo, I feel it was mad disrespectful, you know what I'm sayin', to put a camera all up in anyone's face like that, you feel me? No matter what the situation was, that shit ain't right.",negative,-5.021611213684082
"Aw man, Roger straight up made me feel shook, ya know what I'm sayin'?",negative,-7.181807994842529
"Shiiit, I still feel like I'm gettin' away wit' sumn' bad, ya feel me?",positive,-11.569803237915039
"Sheeeit, I'm feelin' mad sorry right now, knowmsayin'?",negative,-6.508862018585205
"Man, I just feel some type of way, ya know what I'm sayin', 'bout how they be flexin' they success or even just the way they be talkin' and shit, ya feel me?",negative,-7.838148593902588
"Shiiit, I know how it feel to have somebody all disappointed in me now, know what I'm sayin'?",negative,-6.628559589385986
"Aight, so boom, I'm finna make myself feel all special n' shit right now, ya feel me?",positive,-9.274820327758789
"Shiit, I feel like I'm bein' punished n' shit fo' somethin' I ain't even fuckin' do, ya know what I'm sayin'?",negative,-4.893420219421387
"Sheeeit, I done did some thangs dat I always be wonderin' 'bout, ya feel me? And now, I be feelin' bad as hell, knowmsayin'?",negative,-7.0835466384887695
"I be feelin' personally hated, ya know what I'm sayin', when I be readin' they poems and shit.",negative,-4.881200790405273
"Sheeit, I feel too damn greedy to actually ax them, knowmsayin?",negative,-7.293520927429199
"Yo, I see you, know what I'm sayin'? Da light in da damn room brighten, fo' real. I get a glow in my eyes, ya feel me? I feel ecstatic as hell, man, no cap.",positive,-3.4158544540405273
"Yo, I can sometimes feel da stares I get, ya know what I'm sayin', when I ain't showin' no tears or emotions, like, in a tender moment or even in a tough-ass time, ya feel me?",positive,-5.375262260437012
"Sheeit, I got a whole lotta ideas, ya feel me, and da weekend, man, it had a real positive effect on me, ya know what I'm sayin'?",positive,-4.401115417480469
"Yo, I straight up made my bitch feel hella scared, ya feel me?",negative,-4.836086273193359
"Sheeit, I be feelin' mad wack today, ya feel me?",negative,-6.396154403686523
"Shiiit, I feel like I deserve to be broke as hell wit how I be wastin' money an' shit, ya feel me?",negative,-4.880123138427734
"Man, I be feelin' some type of way, ya know what I'm sayin', dat somebody I used to kick it wit' back in da day is straight up dippin' out, like fo' real - somebody I used to know, ya feel me?",negative,-6.735292434692383
"Yo, Katie found herself in a dope-ass situation, nahmsayin'?",positive,-4.246076583862305
"Sheeit, I feel dirty as hell an' 'shamed, ya know what I'm sayin', fo' reals, fo' sayin' dat, nahmsayin'?",negative,-5.955270767211914
"Sheeit, da situation got Jamel feelin' mad as hell, knowmsayin'?",negative,-5.275336742401123
"Shiiit, I feel it mo' when I see you ain't even bothered, knowmsayin'?",negative,-6.413090705871582
"Yo, I'm feelin' betta right now, ya know what I'm sayin'?",positive,-3.765075445175171
"Yo, I straight up made Jamel feel shook, ya feel me?",negative,-9.522734642028809
"I feel mo' rested, ya know what I'm sayin', but mah sinuses still hurtin' like a muthafucka, and mah voice ain't quite back ta normal, ya feel me?",positive,-11.579791069030762
"Sheeeit, I feel real good 'bout dis, knowmsayin'?",positive,-4.848448753356934
"Aight, so boom, the situation make my pops feel straight, ya feel me?",positive,-6.219316005706787
"I'm straight up feelin' the purpose of carin' for those of us who be caregivers, ya feel me?",positive,-4.318320274353027
"Aight, so check it, I feel like every damn time I be bloggin', ya know what I'm sayin', I'm straight up puttin' out a story 'bout the bomb-ass, fine-ass food that a brotha had to sit and admire, ya feel me? It's a big-ass, muthafuckin' deal, fo' real.",positive,-5.77071475982666
"Sheeit, I feel like I just don't wanna be bothered, ya know what I'm sayin'? I just be listenin' to music n' shit.",negative,-6.387232780456543
"Sheeit, de convo wit his ass was gettin' on mah damn nerves, knowmsayin'?",negative,-5.71128511428833
"Sheeit, I feel straight stupid as hell callin' again n' shit, tho, knowmsayin'?",negative,-5.48357629776001
"I feel kinda like, ya know what I'm sayin', a proud mama duck n' all, watchin' her chicks grow n' shit.",positive,-3.9674105644226074
"Sheeeit, my pops done found hisself in a dope-ass situation, ya feel me?",positive,-9.225811958312988
"Mane, da convo wit dis dude was straight grimm, ya feel me?",negative,-6.137688636779785
"Sheeit, I feel some type of way 'bout me bein' like dis, ya know what I'm sayin'? But then again, I ain't really trippin', ya feel me?",negative,-10.348660469055176
"Yo, Justin straight up told us all 'bout the recent irritatin' shit, ya feel me?",negative,-6.775554180145264
"Ebony found herself in a scary ass situation, ya feel me?",negative,-5.6516571044921875
"I feel like, you know what I'm sayin', I was bein' all skeptical and shit, and it was only, like, paranoia, man.",negative,-8.19748592376709
