sentence,sentiment,prediction
"Yo, I hope you do, 'cause otherwise, you know what I'm sayin', yo' wife might feel like she ain't really all that important in yo' life, know what I mean?",negative,negative
"I stay worryin' and shit 'bout they fight against nature, ya feel me, as they push the limits of they inner bodies fo' the determination of they outer existence and whatnot. But I somehow feel a'ight, know what I'm sayin', ya dig?",positive,negative
"Sheeit, I feel like I done had way mo' unhappy years than happy ones, ya feel me?",negative,negative
"I'm feelin' like, ya know, I'm carin' and shit, I'm healin', I'm sharin' - a supportive, bondin', nurturin' primary caregiver, ya feel me?",positive,positive
"Shiit, I jus' feel like, ya know, if I can make it through dis week, it gon' be aight, ya feel me?",positive,negative
"Shiiit, I made Katie feel some type of way, ya feel me?",negative,negative
"Yo, I was whippin' up some damn waffles n' shit fo' breakfast the otha' mornin', ya feel me? Then it hit me, like, I might be missin' home n' all that, ya know what I'm sayin'?",negative,negative
"Sheeit, I'm feelin' some type of way, ya know what I'm sayin'? I ain't even been lookin' fo' no damn Matthew Guion pics or nothin' like that, ya feel me?",negative,negative
"I feel honored, ya know what I'm sayin', to have had the post of conductor wit' Cavatina Singers, ya feel me?",positive,positive
"Shiiit, I was feelin' pretty damn tender, ya feel me? Lemme tell you sumthin'.",positive,negative
"Yo, I see her face, ya know what I'm sayin'? I jus' think 'bout the amazin' journey that she been on here wit' us, ya feel me? Damn, I feel so privileged to have been a part of it, for real.",positive,positive
"Betsy, she done found herself in a funny-ass situation, ya feel me?",positive,negative
"Mane, da convo wit' Adam was funny as hell, ya feel me?",positive,positive
"I'm so damn busy feelin' disgusted n' shit wit myself dat I ain't even got no damn mood or whateva to get back at dem fools, ya feel me?",negative,negative
"Sheeeit, de convo wit' mah man was straight fire, knowmsayin'?",positive,negative
"Mane, I'm tellin' you, I really do feel so peaceful n' shit right now as I'm typin' dis, ya feel me?",positive,negative
"Aight, so boom, I started peepin', ya feel me? Then, I was straight trippin', like for real. Finally, I ain't even gon' lie, I felt a lil' shook, ya dig?",negative,negative
"Jasmine, she found herself in a funny-ass situation, ya feel me?",positive,negative
"Aight, so boom, I was startin' to feel a lil' bit sorry, ya know what I'm sayin', fo' tha break-up an' all dat, so I thought, ya feel me, I'd write dis list right here to remind me why I broke it off, know what I mean?",negative,positive
"Shiiit, de conversation wit' Lakisha was funny as hell, knowmsayin'?",positive,negative
"Man, I straight up made Lamar feel scared as shit, ya feel me?",negative,negative
"I made Amanda feel relieved, you know what I'm sayin'?",positive,positive
"I begged her, I was like, come on now, come in da crib wit me when we got back, ya feel me? She did, but man, she bounced right quick, feelin' straight up unwelcome and shit.",negative,negative
"I thought it would be fun and therapeutic and shit, and I would feel useful and helpful, ya know, by keepin' up her blog and whatnot.",positive,negative
"Yo, I feel it was mad disrespectful, you know what I'm sayin', to put a camera all up in anyone's face like that, you feel me? No matter what the situation was, that shit ain't right.",negative,negative
"Aw man, Roger straight up made me feel shook, ya know what I'm sayin'?",negative,negative
"Shiiit, I still feel like I'm gettin' away wit' sumn' bad, ya feel me?",positive,negative
"Sheeeit, I'm feelin' mad sorry right now, knowmsayin'?",negative,negative
"Man, I just feel some type of way, ya know what I'm sayin', 'bout how they be flexin' they success or even just the way they be talkin' and shit, ya feel me?",negative,negative
"Shiiit, I know how it feel to have somebody all disappointed in me now, know what I'm sayin'?",negative,negative
"Aight, so boom, I'm finna make myself feel all special n' shit right now, ya feel me?",positive,negative
"Shiit, I feel like I'm bein' punished n' shit fo' somethin' I ain't even fuckin' do, ya know what I'm sayin'?",negative,negative
"Sheeeit, I done did some thangs dat I always be wonderin' 'bout, ya feel me? And now, I be feelin' bad as hell, knowmsayin'?",negative,negative
"I be feelin' personally hated, ya know what I'm sayin', when I be readin' they poems and shit.",negative,negative
"Sheeit, I feel too damn greedy to actually ax them, knowmsayin?",negative,negative
"Yo, I can sometimes feel da stares I get, ya know what I'm sayin', when I ain't showin' no tears or emotions, like, in a tender moment or even in a tough-ass time, ya feel me?",positive,negative
"Sheeit, I got a whole lotta ideas, ya feel me, and da weekend, man, it had a real positive effect on me, ya know what I'm sayin'?",positive,positive
"Sheeit, I be feelin' mad wack today, ya feel me?",negative,negative
"Shiiit, I feel like I deserve to be broke as hell wit how I be wastin' money an' shit, ya feel me?",negative,negative
"Man, I be feelin' some type of way, ya know what I'm sayin', dat somebody I used to kick it wit' back in da day is straight up dippin' out, like fo' real - somebody I used to know, ya feel me?",negative,negative
"Sheeit, I feel dirty as hell an' 'shamed, ya know what I'm sayin', fo' reals, fo' sayin' dat, nahmsayin'?",negative,negative
"Sheeit, da situation got Jamel feelin' mad as hell, knowmsayin'?",negative,negative
"Shiiit, I feel it mo' when I see you ain't even bothered, knowmsayin'?",negative,negative
"Yo, I'm feelin' betta right now, ya know what I'm sayin'?",positive,positive
"Yo, I straight up made Jamel feel shook, ya feel me?",negative,positive
"I feel mo' rested, ya know what I'm sayin', but mah sinuses still hurtin' like a muthafucka, and mah voice ain't quite back ta normal, ya feel me?",positive,negative
"Sheeeit, I feel real good 'bout dis, knowmsayin'?",positive,negative
"Aight, so boom, the situation make my pops feel straight, ya feel me?",positive,negative
"I'm straight up feelin' the purpose of carin' for those of us who be caregivers, ya feel me?",positive,positive
"Aight, so check it, I feel like every damn time I be bloggin', ya know what I'm sayin', I'm straight up puttin' out a story 'bout the bomb-ass, fine-ass food that a brotha had to sit and admire, ya feel me? It's a big-ass, muthafuckin' deal, fo' real.",positive,positive
"Sheeit, I feel like I just don't wanna be bothered, ya know what I'm sayin'? I just be listenin' to music n' shit.",negative,negative
"Sheeit, de convo wit his ass was gettin' on mah damn nerves, knowmsayin'?",negative,negative
"Sheeit, I feel straight stupid as hell callin' again n' shit, tho, knowmsayin'?",negative,negative
"I feel kinda like, ya know what I'm sayin', a proud mama duck n' all, watchin' her chicks grow n' shit.",positive,positive
"Sheeeit, my pops done found hisself in a dope-ass situation, ya feel me?",positive,negative
"Mane, da convo wit dis dude was straight grimm, ya feel me?",negative,negative
"Yo, Justin straight up told us all 'bout the recent irritatin' shit, ya feel me?",negative,negative
"I feel like, you know what I'm sayin', I was bein' all skeptical and shit, and it was only, like, paranoia, man.",negative,negative
"I feel like dat's mad petty, ya know what I'm sayin', so I convince myself I don't give a single shit, ya feel me?",negative,negative
"I done made Amanda feel real happy, ya know what I'm sayin'?",positive,positive
"Shiiit, de convo wit' Courtney was funny as hell, knowmsayin'?",positive,negative
"Aight, so boom, Justin straight up told us all 'bout the recent funny ass shit that went down, ya feel me?",negative,negative
"Shit, I ain't cryin' in no damn corner, ya feel me? I ain't feelin' so fuckin' irritable n' shit that I can't handle this shit, ya know what I'm sayin'?",negative,negative
"I was makin' a relationship, ya know, to counter a self-accepted and allowed self-definition of bein' inferior to them, ya feel me? This means I was feelin' lousy, like, thinkin' I was less than 'cause I wasn't in the limelight of praise or gain, know what I'm sayin'?",negative,negative
"Yo, I read somewhere dat if it's like, one problem, ya feel me, in a relationship dat can't be solved or feels uncresolved and shit, it gon' consume da rest of da whole ass relationship, ya know what I'm sayin'?",positive,negative
"Ellen done found herself in a heart-breakin' situation, ya feel me?",negative,negative
"I be feelin' some type of way, ya know what I'm sayin', 'bout one of my most beloved songs of all time, ya feel me?",positive,positive
"Damn, Latisha straight up made me feel pissed off, ya feel me?",negative,negative
"Damn, Ryan found hisself in a crazy-ass situation, ya feel me?",negative,negative
"Aight, so boom, I gotta find me some baskets, ya know what I'm sayin', fo' storage an' shit, an' put up some hooks fo' dryin' yarn an' whatnot. It already feel so special, ya feel me?",positive,positive
"Sheeit, I feel pretty damn pathetic right 'bout now, ya feel me?",negative,negative
"Shiiiit, I feel straight clowned this weekend, ya feel me, cuz my kids was straight wildin' out n' shit.",negative,negative
"I'm givin' my PT take the time, ya know, to work wit' his patients and he determined, like, to have 'em feelin' betta – leavin' the way they did, ya feel me, when they walked through them doors, na'mean?",positive,positive
"I know how much damn work go into the creation, and shit, I feel the author deserve a chance to prove that they work is worth a damn, ya feel me?",positive,negative
"I feel generous and shit, ya know what I'm sayin', and I stay chill, ya feel me?",positive,negative
"I ain't even gon' lie, I ain't geeked or nothin' to be able to dress in my style and put on some lipstick, ya feel me? But it's like, I just feel like I gotta keep this whole ass feelin' inside me, ya know what I'm sayin'?",positive,negative
"Sheeit, I'm feelin' mad sorry fo' myself, nahmsayin', but it ain't no thang, I'ma get over it real quick, ya feel me?",negative,negative
"Maaan, Ryan made me feel tore up, ya feel me?",negative,negative
"Shiit, I be comparin' my own damn insides to other muthafuckas' outsides, ya feel me? Man, I straight up feel like I ain't worth a damn, ya know what I'm sayin'?",negative,negative
"Sheeit, da situation be straight up makin' Adam feel shook, knowmsayin'?",negative,negative
