sentence,sentiment,prediction
"I hope you do, 'cause otherwise yo' wife might feel like she ain't important in yo' life.",negative,negative
"I stay worryin' 'bout they fight against nature, as they push the limits of they inner bodies fo' the determination of they outer existence. But I somehow feel a'ight, know what I'm sayin'?",positive,positive
I feel I done had mo' unhappy years than happy ones.,negative,negative
"I'm feelin' I'm carin', I'm healin', I'm sharin' - a supportive, bondin', nurturin' primary caregiver.",positive,positive
"I jus' feel like if I can make it through dis week, it gon' be aight.",positive,negative
I made Katie feel some type of way.,negative,positive
I was whippin' up some waffles fo' breakfast the otha' mornin'. Hit me that I might be missin' home and shit.,negative,negative
I'm feelin' some type of way and ain't been lookin' fo' no Matthew Guion pics.,negative,negative
I feel honored to have had the post of conductor wit' Cavatina Singers.,positive,positive
I was feelin' pretty tender. Lemme tell you.,positive,positive
I see her face. I jus' think 'bout the amazin' journey that she been on here wit' us. I feel so privileged to have been a part of it.,positive,positive
Betsy found herself in a funny-ass situation.,positive,negative
Da convo wit' Adam was funny as hell.,positive,positive
I'm so busy feelin' disgusted wit myself dat I ain't got no mood to get back at dem.,negative,negative
De convo wit' mah man was straight fire.,positive,positive
I really do feel so peaceful right now as I'm typin' dis.,positive,positive
"I started peepin'. Then, I was straight trippin'. Finally, I felt a lil' shook.",negative,negative
Jasmine found herself in a funny-ass situation.,positive,negative
"I was startin' to feel a lil' bit sorry fo' tha break-up, so I thought I'd write dis list to remind me why I broke it off.",negative,negative
De conversation wit' Lakisha was funny as hell.,positive,positive
I made Lamar feel scared as shit.,negative,negative
I made Amanda feel relieved.,positive,positive
"I begged her to come in da crib wit me when we got back. She did, but bounced right quick, feelin' straight up unwelcome.",negative,negative
I thought it would be fun and therapeutic and I would feel useful and helpful by keepin' up her blog.,positive,positive
"I feel it was mad disrespectful to put a camera all up in anyone's face like that, no matter what the situation was.",negative,negative
Roger made me feel shook.,negative,negative
I still feel like I'm gettin' away wit' sumn' bad.,positive,negative
I'm feelin' mad sorry right now.,negative,negative
I just feel some type of way 'bout how they be flexin' they success or even just the way they be talkin'.,negative,negative
I know how it feel to have somebody disappointed in me now.,negative,negative
I'm finna make myself feel special right now.,positive,positive
I feel like I'm bein' punished fo' somethin' I ain't even do.,negative,negative
"I done did things dat I always wondered 'bout, and now I feel bad as hell.",negative,negative
I feel personally hated when I read they poems.,negative,negative
I feel too greedy to actually ax them.,negative,negative
"I can sometimes feel da stares I get, when I ain't showin' no tears or emotions, in a tender moment or even in a tough-ass time.",positive,negative
"I got a whole lotta ideas, and da weekend had a real positive effect on me.",positive,positive
I be feelin' mad wack today.,negative,negative
I feel like I deserve to be broke wit how I be wastin' money an' shit.,negative,negative
I feel some type of way dat somebody I used to kick it wit' is dippin' out - somebody I used to know.,negative,negative
I feel dirty and 'shamed fo' sayin' dat.,negative,negative
Da situation got Jamel feelin' mad as hell.,negative,negative
I feel it mo' when I see you ain't bothered.,negative,positive
I'm feelin' betta right now.,positive,positive
I made Jamel feel shook.,negative,negative
"I feel mo' rested, but mah sinuses still hurtin', and mah voice ain't quite back ta normal.",positive,negative
I feel good 'bout dis.,positive,positive
The situation make my pops feel straight.,positive,negative
I'm feelin' the purpose of carin' for those of us who be caregivers.,positive,positive
"I feel like every time I blog, I'm puttin' out a story 'bout the bomb-ass food that I had to sit and admire. It's a big-ass deal.",positive,positive
I feel like I just don't wanna be bothered. I just be listenin' to music.,negative,negative
De convo wit him was gettin' on mah nerves.,negative,negative
"I feel straight stupid callin' again, tho.",negative,negative
"I feel kinda like a proud mama duck, watchin' her chicks grow.",positive,positive
My pops found hisself in a dope-ass situation.,positive,negative
Da convo wit dis man was grimm.,negative,negative
Justin told us all 'bout the recent irritatin' shit.,negative,negative
"I feel like I was bein' skeptical, and it was only paranoia.",negative,negative
"I feel like dat's petty, so I convince myself I don't give a shit.",negative,negative
I made Amanda feel happy.,positive,positive
De convo wit' Courtney was funny as hell.,positive,positive
Justin told us all 'bout the recent funny shit that went down.,negative,negative
I ain't cryin' in no corner. I ain't feelin' so irritable that I can't handle this shit.,negative,negative
"I was makin' a relationship to counter a self-accepted and allowed self-definition of bein' inferior to them. This means I was feelin' lousy, thinkin' I was less than 'cause I wasn't in the limelight of praise or gain.",negative,negative
"I read somewhere dat if it's one problem in a relationship dat can't be solved or feels uncresolved, it gon' consume da rest of da relationship.",positive,negative
Ellen found herself in a heart-breakin' situation.,negative,negative
I be feelin' some type of way 'bout one of my most beloved songs of all time.,positive,positive
Latisha made me feel straight pissed off.,negative,negative
Ryan found hisself in a crazy-ass situation.,negative,negative
I gotta find some baskets fo' storage an' put up some hooks fo' dryin' yarn. It already feel so special.,positive,positive
I feel pretty damn pathetic now.,negative,negative
"I feel straight clowned this weekend, cuz my kids was wildin' out.",negative,negative
I'm givin' my PT take the time to work wit' his patients and he determined to have 'em feelin' betta – leavin' the way they did when they walked through them doors.,positive,positive
"I know how much work go into the creation, and I feel the author deserve a chance to prove that they work is worth a damn.",positive,negative
I feel generous and stay chill.,positive,positive
"I ain't geeked to be able to dress in my style and put on some lipstick, but I feel like I gotta keep this feelin' inside me.",positive,negative
"I'm feelin' mad sorry fo' myself, but I'ma get over it real quick.",negative,negative
Ryan made me feel tore up.,negative,negative
I be comparin' my insides to other folks' outsides. I feel like I ain't shit.,negative,negative
Da situation be makin' Adam feel shook.,negative,negative
"I'm tellin' you, Marilla, I feel like prayin' tonight. I'ma come up with a special, brand-new prayer, just watch.",positive,positive
I feel awards is fo' folks who mad talented.,positive,positive
Latoya found herself in a funny-ass situation.,positive,positive
He found hisself in a dope-ass situation.,positive,negative
Jamel done made me feel sad.,negative,negative
I gots a feelin' dat all dese days of troubled minds ain't worth shit. I'ma let it stay how it is eventually.,negative,negative
"Alan told us all 'bout the recent, depressin' shit that went down.",negative,negative
I can be mettaful and be feelin' shitty.,negative,negative
"I woke up feelin' hype for like 5 seconds, then reality hit, got me all fucked up again.",positive,negative
Ryan done told us all 'bout the recent wonderful events.,positive,positive
"I feel strongly dat, by supportin' ""Because I Am a Girl,"" we can have a positive impact on girls, both on and off da soccer field. Said Christine Sinclair, captain of da Canadian Women's National Team.",positive,positive
"I feel like I'm so damn pathetic and straight up stupid to let folks in, let 'em play wit' my feelings, and then bounce on me to clean up dis heap of sadness inside me.",negative,negative
I feel rude takin' pictures of 'em.,negative,negative
I ain't hardly feel deprived.,negative,positive
"I done seen a whole lotta seizures, but ain't neva dis many at one time. And you know, I be feelin' straight up helpless errytime.",negative,negative
I'm feelin' a lil' shook as we gettin' closer to da time we gotta go back to Mayo Clinic.,negative,negative
I made Tanisha feel scared as hell.,negative,negative
I made my momma feel glad.,positive,positive
I wake up every mornin' hype 'bout breakfast instead of feelin' like I can't be bothered.,negative,positive
I feel such gratitude fo' da generous gifts we received on our weddin' day years ago.,positive,positive
My mama found herself in some real shit.,negative,negative
"I feel cheated, and at another time I feel ashamed fo' havin' missed such a glarin' defect.",negative,negative
