Unnamed: 0,sentence,sentiment,text,prediction,Log Prob
0,"I hope you do, because otherwise your wife will start to feel if she hasn't already 😔 unimportant in your life. 💔👩👨",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I hope you do, because otherwise your wife will start to feel if she hasn't already 😔 unimportant in your life. 💔👩👨 [/INST]",negative,-6.363765716552734
1,i constantly worry 😰 about their fight  against nature 🌳 as they push the limits of their inner bodies 💪 for the determination of their outer existence 🌍 but i somehow feel reassured ,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i constantly worry 😰 about their fight  against nature 🌳 as they push the limits of their inner bodies 💪 for the determination of their outer existence 🌍 but i somehow feel reassured  [/INST]",positive,-7.043821811676025
3,I feel I've had more 😞 years than 😊 ones.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel I've had more 😞 years than 😊 ones. [/INST]",negative,-3.7667276859283447
4,"I'm feeling , I'm caring , I'm healing , I'm sharing 🔄,  a supportive, bonding, nurturing, primary caregiver 👩👧👦.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I'm feeling , I'm caring , I'm healing , I'm sharing 🔄,  a supportive, bonding, nurturing, primary caregiver 👩👧👦. [/INST]",positive,-2.608165979385376
5,i just feel like if i can just make it through this week it will be ok 🙏👌,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i just feel like if i can just make it through this week it will be ok 🙏👌 [/INST]",positive,-4.150162220001221
6,I made Katie feel disappointed 😔.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I made Katie feel disappointed 😔. [/INST]",negative,-3.205395221710205
8,"I was making up a batch of waffles  for breakfast the other morning 🌄, it occurred to me that I might be feeling homesick 🏡💭.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I was making up a batch of waffles  for breakfast the other morning 🌄, it occurred to me that I might be feeling homesick 🏡💭. [/INST]",negative,-9.04693603515625
9,I'm feeling disheartened 😔 and have not been looking 🚫🔍 for Matthew Guion pictures.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I'm feeling disheartened 😔 and have not been looking 🚫🔍 for Matthew Guion pictures. [/INST]",negative,-5.324498176574707
10,I feel  honoured to have had the post of conductor 🎼 with Cavatina Singers 🎶💖.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel  honoured to have had the post of conductor 🎼 with Cavatina Singers 🎶💖. [/INST]",positive,-1.3671597242355347
11,"i was feeling pret😌ty tender, let me tell you👀",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i was feeling pret😌ty tender, let me tell you👀 [/INST]",positive,-2.4073963165283203
