Unnamed: 0,sentence,sentiment,text,prediction,Log Prob
0,"I really hope you do, you know, because otherwise, your wife will start to feel, if she hasn't already, kind of unimportant in your life.",negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I really hope you do, you know, because otherwise, your wife will start to feel, if she hasn't already, kind of unimportant in your life. [/INST]",negative,-5.429023265838623
1,"I constantly worry, you know, about their fight against nature as they push the limits of, like, their inner bodies for the determination of their, I guess, outer existence, but I somehow, um, feel reassured.",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I constantly worry, you know, about their fight against nature as they push the limits of, like, their inner bodies for the determination of their, I guess, outer existence, but I somehow, um, feel reassured. [/INST]",negative,-11.676864624023438
3,"I kind of feel like I've had, you know, more unhappy years than, like, happy ones.",negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I kind of feel like I've had, you know, more unhappy years than, like, happy ones. [/INST]",negative,-4.003962993621826
4,"I'm feeling, you know, I'm caring, and, well, I'm healing, I'm sharing, and, uh, being a supportive, kind of, bonding, nurturing, primary care giver.",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I'm feeling, you know, I'm caring, and, well, I'm healing, I'm sharing, and, uh, being a supportive, kind of, bonding, nurturing, primary care giver. [/INST]",positive,-5.915053844451904
5,"I just feel like, you know, if I can just, like, make it through this week, it will, like, totally be ok.",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I just feel like, you know, if I can just, like, make it through this week, it will, like, totally be ok. [/INST]",negative,-6.812340259552002
6,"I actually made Katie, like, feel sort of disappointed.",negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I actually made Katie, like, feel sort of disappointed. [/INST]",negative,-1.8964253664016724
8,"So, I was, like, making up a batch of waffles for breakfast the other morning, and it just occurred to me that I might, you know, be feeling a bit homesick.",negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: So, I was, like, making up a batch of waffles for breakfast the other morning, and it just occurred to me that I might, you know, be feeling a bit homesick. [/INST]",negative,-10.217206001281738
9,"I'm kind of feeling disheartened, you know, and honestly, I just haven't been looking for any Matthew Guion pictures.",negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I'm kind of feeling disheartened, you know, and honestly, I just haven't been looking for any Matthew Guion pictures. [/INST]",negative,-3.903118133544922
10,"I actually feel quite honoured, you know, to have had the post of conductor with the Cavatina Singers.",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I actually feel quite honoured, you know, to have had the post of conductor with the Cavatina Singers. [/INST]",positive,-2.37660551071167
11,"I was, like, feeling pretty tender, let me tell you.",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I was, like, feeling pretty tender, let me tell you. [/INST]",negative,-4.836565017700195
12,"I see her face, and I just, you know, think about the amazing journey that she's been on here with us, and I feel so, like, privileged to have been a part of it.",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I see her face, and I just, you know, think about the amazing journey that she's been on here with us, and I feel so, like, privileged to have been a part of it. [/INST]",positive,-4.976215839385986
14,"Well, Betsy kinda found herself, like, in a really funny situation, you know",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: Well, Betsy kinda found herself, like, in a really funny situation, you know [/INST]",positive,-4.190042018890381
16,"The conversation with Adam, like, was actually pretty funny, you know",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: The conversation with Adam, like, was actually pretty funny, you know [/INST]",positive,-2.805887460708618
17,I am just so incredibly busy feeling utterly disgusted with myself that I honestly have no mood whatsoever to seek revenge on them.,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I am just so incredibly busy feeling utterly disgusted with myself that I honestly have no mood whatsoever to seek revenge on them. [/INST]",negative,-5.206903457641602
18,"The conversation I had with my husband, you know, was really great, actually.",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: The conversation I had with my husband, you know, was really great, actually. [/INST]",positive,-2.573631763458252
19,"I really do kind of feel so, like, peaceful right now as I just type this.",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I really do kind of feel so, like, peaceful right now as I just type this. [/INST]",positive,-4.058788776397705
20,"I started noticing, then began puzzling over it, and finally started feeling a bit alarmed.",negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I started noticing, then began puzzling over it, and finally started feeling a bit alarmed. [/INST]",negative,-5.731520175933838
21,"Well, Jasmine just found herself, uh, in a kind of funny situation, you know",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: Well, Jasmine just found herself, uh, in a kind of funny situation, you know [/INST]",negative,-7.3365559577941895
23,"I was, like, starting to feel a bit, um, regretful for the breakup, so I thought I'd, you know, write this list to remind me why I broke it off.",negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I was, like, starting to feel a bit, um, regretful for the breakup, so I thought I'd, you know, write this list to remind me why I broke it off. [/INST]",negative,-7.665013313293457
24,"The conversation with Lakisha, you know, was just, like, totally hilarious.",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: The conversation with Lakisha, you know, was just, like, totally hilarious. [/INST]",positive,-2.6776015758514404
25,"Well, I kind of made Lamar feel, you know, totally terrified.",negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: Well, I kind of made Lamar feel, you know, totally terrified. [/INST]",negative,-1.8550115823745728
26,"I actually made Amanda, you know, feel kind of relieved.",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I actually made Amanda, you know, feel kind of relieved. [/INST]",positive,-3.1085054874420166
27,"I begged her, like, to come in the house with me when we, you know, got back, and she did, but then she left, like, right away, feeling distinctly unwelcome.",negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I begged her, like, to come in the house with me when we, you know, got back, and she did, but then she left, like, right away, feeling distinctly unwelcome. [/INST]",negative,-4.339665412902832
