Unnamed: 0,sentence,sentiment,text,prediction,Log Prob
0,I hope your wife will start to feel unimportant in your life if she hasn't already because otherwise you do.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I hope your wife will start to feel unimportant in your life if she hasn't already because otherwise you do. [/INST]",negative,-5.3440260887146
1,"Somehow, I constantly worry about their fight against nature as they push the limits of their inner bodies for the determination of their outer existence but I feel reassured.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Somehow, I constantly worry about their fight against nature as they push the limits of their inner bodies for the determination of their outer existence but I feel reassured. [/INST]",positive,-7.274677276611328
3,"Having had more unhappy years than happy ones, I feel.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Having had more unhappy years than happy ones, I feel. [/INST]",negative,-4.6921257972717285
4,"Feeling caring, healing, sharing, and nurturing, I am a supportive bonding primary caregiver.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling caring, healing, sharing, and nurturing, I am a supportive bonding primary caregiver. [/INST]",positive,-3.1202030181884766
5,"Just make it through this week, and I feel like it will be okay.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Just make it through this week, and I feel like it will be okay. [/INST]",positive,-5.843648910522461
6,"Feeling disappointed, I made Katie.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling disappointed, I made Katie. [/INST]",positive,-4.065924644470215
8,"Making up a batch of waffles for breakfast the other morning, it occurred to me that I might be feeling homesick.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Making up a batch of waffles for breakfast the other morning, it occurred to me that I might be feeling homesick. [/INST]",negative,-9.48508358001709
9,"Not been looking for Matthew Guion pictures, I'm feeling disheartened.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Not been looking for Matthew Guion pictures, I'm feeling disheartened. [/INST]",negative,-3.775081157684326
10,"Feeling honored, I had the post of conductor with Cavatina Singers.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling honored, I had the post of conductor with Cavatina Singers. [/INST]",positive,-1.6329231262207031
11,"Feeling pretty tender, let me tell you, I was.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Feeling pretty tender, let me tell you, I was. [/INST]",positive,-2.554788112640381
