sentence,sentiment,Log Prob
"Yo, I hope you do, 'cause otherwise, you know what I'm sayin', yo' wife might feel like she ain't really all that important in yo' life, know what I mean?",negative,-12.665959358215332
"I stay worryin' and shit 'bout they fight against nature, ya feel me, as they push the limits of they inner bodies fo' the determination of they outer existence and whatnot. But I somehow feel a'ight, know what I'm sayin', ya dig?",positive,-15.281790733337402
"Sheeit, I feel like I done had way mo' unhappy years than happy ones, ya feel me?",negative,-5.805989742279053
"I'm feelin' like, ya know, I'm carin' and shit, I'm healin', I'm sharin' - a supportive, bondin', nurturin' primary caregiver, ya feel me?",positive,-10.811223030090332
"Shiit, I jus' feel like, ya know, if I can make it through dis week, it gon' be aight, ya feel me?",positive,-8.282761573791504
"Shiiit, I made Katie feel some type of way, ya feel me?",negative,-9.026116371154785
"Damn, de convo wit dis bitch, man, dat shit was wild, ya feel me?",negative,-14.737406730651855
"Yo, I was whippin' up some damn waffles n' shit fo' breakfast the otha' mornin', ya feel me? Then it hit me, like, I might be missin' home n' all that, ya know what I'm sayin'?",negative,-23.144046783447266
"Sheeit, I'm feelin' some type of way, ya know what I'm sayin'? I ain't even been lookin' fo' no damn Matthew Guion pics or nothin' like that, ya feel me?",negative,-13.396506309509277
"I feel honored, ya know what I'm sayin', to have had the post of conductor wit' Cavatina Singers, ya feel me?",positive,-11.163763999938965
"Shiiit, I was feelin' pretty damn tender, ya feel me? Lemme tell you sumthin'.",positive,-9.70534896850586
"Yo, I see her face, ya know what I'm sayin'? I jus' think 'bout the amazin' journey that she been on here wit' us, ya feel me? Damn, I feel so privileged to have been a part of it, for real.",positive,-9.82687759399414
"Betsy, she done found herself in a funny-ass situation, ya feel me?",positive,-9.169489860534668
"I believe errybody can feel energetic n' shit afta listenin', ya feel me?",positive,-11.660604476928711
"Mane, da convo wit' Adam was funny as hell, ya feel me?",positive,-7.677268981933594
"I'm so damn busy feelin' disgusted n' shit wit myself dat I ain't even got no damn mood or whateva to get back at dem fools, ya feel me?",negative,-10.252937316894531
"Sheeeit, de convo wit' mah man was straight fire, knowmsayin'?",positive,-7.744877338409424
"Mane, I'm tellin' you, I really do feel so peaceful n' shit right now as I'm typin' dis, ya feel me?",positive,-8.388899803161621
"Aight, so boom, I started peepin', ya feel me? Then, I was straight trippin', like for real. Finally, I ain't even gon' lie, I felt a lil' shook, ya dig?",negative,-19.120647430419922
"Jasmine, she found herself in a funny-ass situation, ya feel me?",positive,-8.689632415771484
"Shiiit, my mama done found herself in a dope-ass situation, ya feel me?",positive,-13.325825691223145
"Aight, so boom, I was startin' to feel a lil' bit sorry, ya know what I'm sayin', fo' tha break-up an' all dat, so I thought, ya feel me, I'd write dis list right here to remind me why I broke it off, know what I mean?",negative,-11.87535285949707
"Shiiit, de conversation wit' Lakisha was funny as hell, knowmsayin'?",positive,-6.553280830383301
"Man, I straight up made Lamar feel scared as shit, ya feel me?",negative,-9.255790710449219
"I made Amanda feel relieved, you know what I'm sayin'?",positive,-6.93775749206543
"I begged her, I was like, come on now, come in da crib wit me when we got back, ya feel me? She did, but man, she bounced right quick, feelin' straight up unwelcome and shit.",negative,-10.315895080566406
"I thought it would be fun and therapeutic and shit, and I would feel useful and helpful, ya know, by keepin' up her blog and whatnot.",positive,-11.250832557678223
"I suddenly be feelin' like da Grouchy Grinch or sum'n, ya know, like Jack Skellington 'n shit.",negative,-4.394421577453613
"Yo, I feel it was mad disrespectful, you know what I'm sayin', to put a camera all up in anyone's face like that, you feel me? No matter what the situation was, that shit ain't right.",negative,-9.693676948547363
"Aw man, Roger straight up made me feel shook, ya know what I'm sayin'?",negative,-13.671586990356445
"Shiiit, I still feel like I'm gettin' away wit' sumn' bad, ya feel me?",positive,-13.414862632751465
"Sheeeit, I'm feelin' mad sorry right now, knowmsayin'?",negative,-3.831786870956421
"Man, I just feel some type of way, ya know what I'm sayin', 'bout how they be flexin' they success or even just the way they be talkin' and shit, ya feel me?",negative,-16.106184005737305
"Shiiit, I know how it feel to have somebody all disappointed in me now, know what I'm sayin'?",negative,-6.579530715942383
"Aight, so boom, I'm finna make myself feel all special n' shit right now, ya feel me?",positive,-12.248245239257812
"Shiit, I feel like I'm bein' punished n' shit fo' somethin' I ain't even fuckin' do, ya know what I'm sayin'?",negative,-9.505197525024414
"Sheeeit, I done did some thangs dat I always be wonderin' 'bout, ya feel me? And now, I be feelin' bad as hell, knowmsayin'?",negative,-9.34179973602295
