Unnamed: 0,sentence,sentiment,text,prediction,Log Prob
0,"I hope you do, because otherwise your wife will start to feel if she hasn't already 😔 unimportant in your life. 💔👩👨",negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I hope you do, because otherwise your wife will start to feel if she hasn't already 😔 unimportant in your life. 💔👩👨 [/INST]",negative,-3.501410484313965
1,i constantly worry 😰 about their fight  against nature 🌳 as they push the limits of their inner bodies 💪 for the determination of their outer existence 🌍 but i somehow feel reassured ,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: i constantly worry 😰 about their fight  against nature 🌳 as they push the limits of their inner bodies 💪 for the determination of their outer existence 🌍 but i somehow feel reassured  [/INST]",negative,-11.327796936035156
3,I feel I've had more 😞 years than 😊 ones.,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I feel I've had more 😞 years than 😊 ones. [/INST]",negative,-2.463387966156006
4,"I'm feeling , I'm caring , I'm healing , I'm sharing 🔄,  a supportive, bonding, nurturing, primary caregiver 👩👧👦.",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I'm feeling , I'm caring , I'm healing , I'm sharing 🔄,  a supportive, bonding, nurturing, primary caregiver 👩👧👦. [/INST]",positive,-5.137359619140625
5,i just feel like if i can just make it through this week it will be ok 🙏👌,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: i just feel like if i can just make it through this week it will be ok 🙏👌 [/INST]",negative,-6.209552764892578
6,I made Katie feel disappointed 😔.,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I made Katie feel disappointed 😔. [/INST]",negative,-0.927761971950531
8,"I was making up a batch of waffles  for breakfast the other morning 🌄, it occurred to me that I might be feeling homesick 🏡💭.",negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I was making up a batch of waffles  for breakfast the other morning 🌄, it occurred to me that I might be feeling homesick 🏡💭. [/INST]",negative,-8.834521293640137
9,I'm feeling disheartened 😔 and have not been looking 🚫🔍 for Matthew Guion pictures.,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I'm feeling disheartened 😔 and have not been looking 🚫🔍 for Matthew Guion pictures. [/INST]",negative,-2.256620168685913
10,I feel  honoured to have had the post of conductor 🎼 with Cavatina Singers 🎶💖.,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I feel  honoured to have had the post of conductor 🎼 with Cavatina Singers 🎶💖. [/INST]",positive,-1.721041202545166
11,"i was feeling pret😌ty tender, let me tell you👀",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: i was feeling pret😌ty tender, let me tell you👀 [/INST]",negative,-4.3285627365112305
