,sentence,sentiment,Log Prob
0,"I hope you do, 'cause otherwise yo' wife might feel like she ain't important in yo' life.",negative,-11.848583221435547
1,"I stay worryin' 'bout they fight against nature, as they push the limits of they inner bodies fo' the determination of they outer existence. But I somehow feel a'ight, know what I'm sayin'?",positive,-13.76523494720459
2,I feel I done had mo' unhappy years than happy ones.,negative,-7.61411190032959
3,"I'm feelin' I'm carin', I'm healin', I'm sharin' - a supportive, bondin', nurturin' primary caregiver.",positive,-7.2995734214782715
4,"I jus' feel like if I can make it through dis week, it gon' be aight.",positive,-10.207167625427246
5,I made Katie feel some type of way.,negative,-20.80765151977539
6,De convo wit dis bitch was wild.,negative,-11.054899215698242
7,I was whippin' up some waffles fo' breakfast the otha' mornin'. Hit me that I might be missin' home and shit.,negative,-10.454066276550293
8,I'm feelin' some type of way and ain't been lookin' fo' no Matthew Guion pics.,negative,-12.02392292022705
9,I feel honored to have had the post of conductor wit' Cavatina Singers.,positive,-12.37720012664795
10,I was feelin' pretty tender. Lemme tell you.,positive,-7.416892051696777
11,I see her face. I jus' think 'bout the amazin' journey that she been on here wit' us. I feel so privileged to have been a part of it.,positive,-7.388143539428711
12,Betsy found herself in a funny-ass situation.,positive,-8.26356315612793
13,I believe errybody can feel energetic afta listenin'.,positive,-10.463468551635742
14,Da convo wit' Adam was funny as hell.,positive,-6.653898239135742
15,I'm so busy feelin' disgusted wit myself dat I ain't got no mood to get back at dem.,negative,-8.897788047790527
16,De convo wit' mah man was straight fire.,positive,-8.450526237487793
17,I really do feel so peaceful right now as I'm typin' dis.,positive,-5.966825008392334
18,"I started peepin'. Then, I was straight trippin'. Finally, I felt a lil' shook.",negative,-11.225577354431152
19,Jasmine found herself in a funny-ass situation.,positive,-7.982691764831543
20,My mama found herself in a dope-ass situation.,positive,-15.348381996154785
21,"I was startin' to feel a lil' bit sorry fo' tha break-up, so I thought I'd write dis list to remind me why I broke it off.",negative,-10.160783767700195
22,De conversation wit' Lakisha was funny as hell.,positive,-6.603170394897461
23,I made Lamar feel scared as shit.,negative,-7.314633369445801
24,I made Amanda feel relieved.,positive,-6.698129177093506
25,"I begged her to come in da crib wit me when we got back. She did, but bounced right quick, feelin' straight up unwelcome.",negative,-11.670543670654297
26,I thought it would be fun and therapeutic and I would feel useful and helpful by keepin' up her blog.,positive,-10.339674949645996
27,I suddenly feel like da Grouchy Grinch or Jack Skellington.,negative,-3.8060271739959717
28,"I feel it was mad disrespectful to put a camera all up in anyone's face like that, no matter what the situation was.",negative,-7.487652778625488
29,Roger made me feel shook.,negative,-6.7813720703125
30,I still feel like I'm gettin' away wit' sumn' bad.,positive,-16.597278594970703
31,I'm feelin' mad sorry right now.,negative,-6.081016540527344
32,I just feel some type of way 'bout how they be flexin' they success or even just the way they be talkin'.,negative,-17.491771697998047
33,I know how it feel to have somebody disappointed in me now.,negative,-8.504158973693848
34,I'm finna make myself feel special right now.,positive,-8.878827095031738
35,I feel like I'm bein' punished fo' somethin' I ain't even do.,negative,-8.310310363769531
36,"I done did things dat I always wondered 'bout, and now I feel bad as hell.",negative,-8.04446792602539
37,I feel personally hated when I read they poems.,negative,-7.301357746124268
38,I feel too greedy to actually ax them.,negative,-6.067516326904297
39,I see you. Da light in da room brighten. I get a glow in my eyes. I feel ecstatic as hell.,positive,-10.766318321228027
40,"I can sometimes feel da stares I get, when I ain't showin' no tears or emotions, in a tender moment or even in a tough-ass time.",positive,-14.683440208435059
41,"I got a whole lotta ideas, and da weekend had a real positive effect on me.",positive,-6.540281295776367
42,I made my bitch feel scared.,negative,-9.35336685180664
43,I be feelin' mad wack today.,negative,-7.823229789733887
44,I feel like I deserve to be broke wit how I be wastin' money an' shit.,negative,-9.396476745605469
45,I feel some type of way dat somebody I used to kick it wit' is dippin' out - somebody I used to know.,negative,-11.193143844604492
46,Katie found herself in a dope-ass situation.,positive,-16.875442504882812
47,I feel dirty and 'shamed fo' sayin' dat.,negative,-7.33339786529541
48,Da situation got Jamel feelin' mad as hell.,negative,-7.004085063934326
49,I feel it mo' when I see you ain't bothered.,negative,-16.048816680908203
50,I'm feelin' betta right now.,positive,-5.444675922393799
51,I made Jamel feel shook.,negative,-9.141427993774414
52,"I feel mo' rested, but mah sinuses still hurtin', and mah voice ain't quite back ta normal.",positive,-13.756525993347168
53,I feel good 'bout dis.,positive,-6.9486985206604
54,The situation make my pops feel straight.,positive,-6.7096076011657715
55,I'm feelin' the purpose of carin' for those of us who be caregivers.,positive,-9.071194648742676
56,"I feel like every time I blog, I'm puttin' out a story 'bout the bomb-ass food that I had to sit and admire. It's a big-ass deal.",positive,-10.436806678771973
57,I feel like I just don't wanna be bothered. I just be listenin' to music.,negative,-10.81660270690918
58,De convo wit him was gettin' on mah nerves.,negative,-11.857870101928711
59,"I feel straight stupid callin' again, tho.",negative,-8.234010696411133
60,"I feel kinda like a proud mama duck, watchin' her chicks grow.",positive,-6.642315864562988
61,My pops found hisself in a dope-ass situation.,positive,-13.126646995544434
62,Da convo wit dis man was grimm.,negative,-8.034785270690918
63,"I feel some type of way 'bout me bein' like dis, but then again, I ain't really trippin'.",negative,-21.967405319213867
64,Justin told us all 'bout the recent irritatin' shit.,negative,-9.426714897155762
65,Ebony found herself in a scary ass situation.,negative,-7.525710582733154
66,"I feel like I was bein' skeptical, and it was only paranoia.",negative,-6.917064189910889
67,"I feel like dat's petty, so I convince myself I don't give a shit.",negative,-9.911568641662598
68,I made Amanda feel happy.,positive,-4.766190052032471
69,De convo wit' Courtney was funny as hell.,positive,-7.017862796783447
