sentence,sentiment,Log Prob
"I hope you do, 'cause otherwise yo' wife might feel like she ain't important in yo' life.",negative,-10.645319938659668
"I stay worryin' 'bout they fight against nature, as they push the limits of they inner bodies fo' the determination of they outer existence. But I somehow feel a'ight, know what I'm sayin'?",positive,-11.289803504943848
I feel I done had mo' unhappy years than happy ones.,negative,-5.860745906829834
"I'm feelin' I'm carin', I'm healin', I'm sharin' - a supportive, bondin', nurturin' primary caregiver.",positive,-6.583864688873291
"I jus' feel like if I can make it through dis week, it gon' be aight.",positive,-8.97048282623291
I made Katie feel some type of way.,negative,-20.302982330322266
De convo wit dis bitch was wild.,negative,-9.153749465942383
I was whippin' up some waffles fo' breakfast the otha' mornin'. Hit me that I might be missin' home and shit.,negative,-9.899356842041016
I'm feelin' some type of way and ain't been lookin' fo' no Matthew Guion pics.,negative,-10.329267501831055
I feel honored to have had the post of conductor wit' Cavatina Singers.,positive,-12.244084358215332
I was feelin' pretty tender. Lemme tell you.,positive,-6.401424407958984
I see her face. I jus' think 'bout the amazin' journey that she been on here wit' us. I feel so privileged to have been a part of it.,positive,-6.310107707977295
Betsy found herself in a funny-ass situation.,positive,-6.554877758026123
I believe errybody can feel energetic afta listenin'.,positive,-9.213329315185547
Da convo wit' Adam was funny as hell.,positive,-5.324926853179932
I'm so busy feelin' disgusted wit myself dat I ain't got no mood to get back at dem.,negative,-7.812362194061279
De convo wit' mah man was straight fire.,positive,-6.762567520141602
I really do feel so peaceful right now as I'm typin' dis.,positive,-5.386565208435059
"I started peepin'. Then, I was straight trippin'. Finally, I felt a lil' shook.",negative,-9.495017051696777
Jasmine found herself in a funny-ass situation.,positive,-6.282811641693115
My mama found herself in a dope-ass situation.,positive,-14.114547729492188
"I was startin' to feel a lil' bit sorry fo' tha break-up, so I thought I'd write dis list to remind me why I broke it off.",negative,-8.973661422729492
De conversation wit' Lakisha was funny as hell.,positive,-4.966958045959473
I made Lamar feel scared as shit.,negative,-5.533324241638184
I made Amanda feel relieved.,positive,-4.940283298492432
"I begged her to come in da crib wit me when we got back. She did, but bounced right quick, feelin' straight up unwelcome.",negative,-10.639012336730957
