sentence,sentiment,Log Prob
i hope you do because otherwise your wife will start to feel if she hasn t already unimportant in your life,negative,-3.844848871231079
i constantly worry about their fight against nature as they push the limits of their inner bodies for the determination of their outer existence but i somehow feel reassured,positive,-10.12582015991211
i feel i ve had more unhappy years than happy ones,negative,-1.8307839632034302
im feeling im caring im healing im sharing amp a supportive bonding nurturing primary care giver,positive,-4.046145915985107
i just feel like if i can just make it through this week it will be ok,positive,-8.393574714660645
I made Katie feel disappointed.,negative,-1.1209840774536133
i was making up a batch of waffles for breakfast the other morning it occurred to me that i might be feeling homesick,negative,-9.537177085876465
im feeling disheartened and have not been looking for matthew guion pictures,negative,-2.3704378604888916
i feel honoured to have had the post of conductor with cavatina singers,positive,-1.8711750507354736
i was feeling pret t y tender let me tell you,positive,-7.2810959815979
i see her face i just think about the amazing journey that shes been on here with us and i feel so privileged to have been a part of it,positive,-3.7631332874298096
Betsy found herself in a funny situation.,positive,-3.012725591659546
The conversation with Adam was funny.,positive,-1.933687686920166
i am so busy feeling disgusted of myself that i have no mood to revenge on them,negative,-3.242076873779297
The conversation with my husband was great.,positive,-1.704089879989624
i really do feel so peaceful right now as i type this,positive,-2.3623435497283936
i started noticing then puzzling finally feeling a bit alarmed,negative,-3.884098768234253
Jasmine found herself in a funny situation.,positive,-3.2795515060424805
i was starting feel a bit regretful for the break up so i thought id write this list to remind me why i broke it off,negative,-5.587270259857178
The conversation with Lakisha was hilarious.,positive,-1.5591561794281006
I made Lamar feel terrified.,negative,-1.1113240718841553
I made Amanda feel relieved.,positive,-1.6181414127349854
i begged her to come in the house with me when we got back and she did but left right away feeling distinctly unwelcome,negative,-3.324901819229126
i thought it would be fun and therapeutic and that i would feel useful and helpful by keeping up her blog,positive,-3.8057339191436768
i feel it was very rude to put a camera that close to anybody s face in any situation,negative,-2.154381513595581
Roger made me feel anxious.,negative,-1.937544345855713
i still feel like im getting away with something naughty,positive,-5.093359470367432
im feeling very remorseful at the moment,negative,-2.2922658920288086
i just feel annoyed at the way they share their success or even just the way they talk,negative,-2.1162171363830566
i now know how bad it feels like to have someone disappointed in me,negative,-2.2806365489959717
i am right now made me feel special,positive,-1.903182029724121
i feel like im being punished for something that i didnt do,negative,-2.1309657096862793
i did things that i always wondered about and now feel remorseful for,negative,-3.6309945583343506
i feel personally hated when i read their poems,negative,-1.908618688583374
i feel too greedy to actually ask them,negative,-2.801684856414795
i can sometimes feel the stares i get when i dont show the tears or emotions in a tender moment or even in a difficult time,positive,-12.556818962097168
i got a lot of ideas and feel like the weekend had a very positive effect on me,positive,-2.4153034687042236
i really feel so lame today,negative,-1.8684252500534058
i feel like i deserve to be broke with how frivolous i am,negative,-2.7192564010620117
i feel sad that someone i once knew is leaving as someone i once knew,negative,-2.278879165649414
i feel dirty and ashamed for saying that,negative,-1.6422784328460693
The situation makes Jamel feel furious.,negative,-1.393791675567627
i feel it more when i see you not bothered,negative,-3.1019675731658936
i am feeling better right now,positive,-2.101518154144287
I made Jamel feel fearful.,negative,-1.111650824546814
i feel more well rested though my sinuses still hurt and my voice isn t quite back to normal,positive,-6.60590934753418
i feel happy about this,positive,-1.6135625839233398
The situation makes my dad feel happy.,positive,-1.8121658563613892
i am feeling the purpose of caring for those of us who are caregivers as well,positive,-2.89573073387146
i feel like everytime i blog i am relaying a story about the wonderful food that i had to sit and admire but its a big deal,positive,-5.898189544677734
i feel like i just don t want to be bothered i just listen to music,negative,-3.9060840606689453
The conversation with him was annoying.,negative,-1.4928724765777588
i feel idiotic calling again though,negative,-2.577174663543701
i feel sort of like a proud mama duck watching her chicks grow,positive,-3.4348745346069336
My father found himself in a great situation.,positive,-2.129666328430176
The conversation with this man was grim.,negative,-2.0840768814086914
Justin told us all about the recent irritating events.,negative,-2.0168402194976807
i feel that i was being skeptical and that it was only paranoia,negative,-5.484105587005615
i feel like thats petty so i convince myself that i dont give a shit,negative,-3.7488350868225098
I made Amanda feel happy.,positive,-1.5515851974487305
The conversation with Courtney was hilarious.,positive,-1.5762789249420166
Justin told us all about the recent funny events.,positive,-2.4225714206695557
im not crying in a corner or feeling so out of control irritable that i cant handle it,negative,-4.8950676918029785
i was creating a relationship to counter a self accepted and allowed self definition of being inferior to them which means i was feeling lousy thinking i was less than because i was not being in the limelight of praise of gain,negative,-4.6604132652282715
i read somewhere that even if the rest of the relationship is perfect and there is one problem that can t be solved or you feel isn t being resolved it will consume the rest of the relationship,positive,-13.09095573425293
Ellen found herself in a heartbreaking situation.,negative,-1.5413639545440674
i feel about one of my most beloved songs of all time,positive,-2.2173690795898438
Latisha made me feel enraged.,negative,-1.228797197341919
Ryan found himself in a shocking situation.,negative,-3.2534854412078857
i have to find a few baskets for storage and put up some hooks for drying yarn but it already feels so special,positive,-4.337378025054932
i feel pretty pathetic now,negative,-1.6252772808074951
i feel humiliated this weekend as my children ran wild,negative,-1.893990397453308
i am giving my pt takes the time to work with his patients and is determined to have them feeling better leaving then they did when they walked through the doors,positive,-3.921938419342041
i know how much work goes into the creation and i feel the author deserves a chance to prove that their work is worthwhile,positive,-3.0547001361846924
